s_over_L,condition,response_normalized
0.236000,altas,0.93874643
0.238000,altas,0.92311635
0.240000,altas,0.90595519
0.242000,altas,0.88735853
0.244000,altas,0.86742847
0.246000,altas,0.84627274
0.248000,altas,0.82400371
0.250000,altas,0.80073740
0.252000,altas,0.77659251
0.254000,altas,0.75168938
0.256000,altas,0.72614904
0.258000,altas,0.70009222
0.260000,altas,0.67363846
0.262000,altas,0.64690518
0.264000,altas,0.62000689
0.266000,altas,0.59305441
0.268000,altas,0.56615415
0.270000,altas,0.53940751
0.272000,altas,0.51291029
0.274000,altas,0.48675226
0.276000,altas,0.46101671
0.278000,altas,0.43578020
0.280000,altas,0.41111229
0.282000,altas,0.38707539
0.284000,altas,0.36372470
0.286000,altas,0.34110820
0.288000,altas,0.31926673
0.290000,altas,0.29823410
0.292000,altas,0.27803730
0.294000,altas,0.25869675
0.296000,altas,0.24022655
0.298000,altas,0.22263487
0.300000,altas,0.20592425
0.302000,altas,0.19009204
0.304000,altas,0.17513079
0.306000,altas,0.16102867
0.308000,altas,0.14776993
0.310000,altas,0.13533528
0.312000,altas,0.12370241
0.314000,altas,0.11284632
0.316000,altas,0.10273981
0.318000,altas,0.09335386
0.320000,altas,0.08465799
0.322000,altas,0.07662063
0.324000,altas,0.06920949
0.326000,altas,0.06239183
0.328000,altas,0.05613476
0.330000,altas,0.05040553
0.332000,altas,0.04517172
0.334000,altas,0.04040148
0.336000,altas,0.03606368
0.338000,altas,0.03212809
0.340000,altas,0.02856550
0.342000,altas,0.02534784
0.344000,altas,0.02244824
0.346000,altas,0.01984109
0.348000,altas,0.01750214
0.350000,altas,0.01540845
0.352000,altas,0.01353844
0.354000,altas,0.01187191
0.356000,altas,0.01038998
0.358000,altas,0.00907509
0.360000,altas,0.00791096
0.362000,altas,0.00688255
0.364000,altas,0.00597602
0.366000,altas,0.00517866
0.368000,altas,0.00447882
0.370000,altas,0.00386592
0.372000,altas,0.00333031
0.374000,altas,0.00286324
0.376000,altas,0.00245682
0.378000,altas,0.00210393
0.380000,altas,0.00179817
0.382000,altas,0.00153381
0.384000,altas,0.00130574
0.386000,altas,0.00110938
0.388000,altas,0.00094070
0.390000,altas,0.00079609
0.392000,altas,0.00067238
0.394000,altas,0.00056677
0.396000,altas,0.00047681
0.398000,altas,0.00040033
0.400000,altas,0.00033546
0.402000,altas,0.00028055
0.404000,altas,0.00023416
0.406000,altas,0.00019506
0.408000,altas,0.00016216
0.410000,altas,0.00013455
0.412000,altas,0.00011142
0.414000,altas,0.00009208
0.416000,altas,0.00007595
0.418000,altas,0.00006252
0.420000,altas,0.00005137
0.422000,altas,0.00004212
0.424000,altas,0.00003447
0.426000,altas,0.00002815
0.428000,altas,0.00002294
0.430000,altas,0.00001866
0.432000,altas,0.00001515
0.434000,altas,0.00001228
0.436000,altas,0.00000993
0.438000,altas,0.00000801
0.440000,altas,0.00000646
0.442000,altas,0.00000519
0.444000,altas,0.00000416
0.446000,altas,0.00000333
0.448000,altas,0.00000266
0.450000,altas,0.00000213
0.452000,altas,0.00000169
0.454000,altas,0.00000134
0.456000,altas,0.00000107
0.458000,altas,0.00000084
0.460000,altas,0.00000067
0.462000,altas,0.00000052
0.464000,altas,0.00000041
0.466000,altas,0.00000032
0.468000,altas,0.00000025
0.470000,altas,0.00000020
0.472000,altas,0.00000015
0.474000,altas,0.00000012
0.476000,altas,0.00000009
0.478000,altas,0.00000007
0.480000,altas,0.00000006
0.482000,altas,0.00000004
0.484000,altas,0.00000003
0.486000,altas,0.00000003
0.488000,altas,0.00000002
0.490000,altas,0.00000002
0.492000,altas,0.00000001
0.494000,altas,0.00000001
0.496000,altas,0.00000001
0.498000,altas,0.00000001
0.500000,altas,0.00000000
0.502000,altas,0.00000000
0.504000,altas,0.00000000
0.506000,altas,0.00000000
0.508000,altas,0.00000000
0.510000,altas,0.00000000
0.512000,altas,0.00000000
0.514000,altas,0.00000000
0.516000,altas,0.00000000
0.518000,altas,0.00000000
0.520000,altas,0.00000000
0.522000,altas,0.00000000
0.524000,altas,0.00000000
0.526000,altas,0.00000000
0.528000,altas,0.00000000
0.530000,altas,0.00000000
0.532000,altas,0.00000000
0.534000,altas,0.00000000
0.536000,altas,0.00000000
0.538000,altas,0.00000000
0.540000,altas,0.00000000
0.542000,altas,0.00000000
0.544000,altas,0.00000000
0.546000,altas,0.00000000
0.548000,altas,0.00000000
0.550000,altas,0.00000000
0.552000,altas,0.00000000
0.554000,altas,0.00000000
0.556000,altas,0.00000000
0.558000,altas,0.00000000
0.560000,altas,0.00000000
0.562000,altas,0.00000000
0.564000,altas,0.00000000
0.566000,altas,0.00000000
0.568000,altas,0.00000000
0.570000,altas,0.00000000
0.572000,altas,0.00000000
0.574000,altas,0.00000000
0.576000,altas,0.00000000
0.578000,altas,0.00000000
0.580000,altas,0.00000000
0.582000,altas,0.00000000
0.584000,altas,0.00000000
0.586000,altas,0.00000000
0.588000,altas,0.00000000
0.590000,altas,0.00000000
0.592000,altas,0.00000000
0.594000,altas,0.00000000
0.596000,altas,0.00000000
0.598000,altas,0.00000000
0.600000,altas,0.00000000
0.602000,altas,0.00000000
0.604000,altas,0.00000000
0.606000,altas,0.00000000
0.608000,altas,0.00000000
0.610000,altas,0.00000000
0.612000,altas,0.00000000
0.614000,altas,0.00000000
0.616000,altas,0.00000000
0.618000,altas,0.00000000
0.620000,altas,0.00000000
0.622000,altas,0.00000000
0.624000,altas,0.00000000
0.626000,altas,0.00000000
0.628000,altas,0.00000000
0.630000,altas,0.00000000
0.632000,altas,0.00000000
0.634000,altas,0.00000000
0.636000,altas,0.00000000
0.638000,altas,0.00000000
0.640000,altas,0.00000000
0.642000,altas,0.00000000
0.644000,altas,0.00000000
0.646000,altas,0.00000000
0.648000,altas,0.00000000
0.650000,altas,0.00000000
0.652000,altas,0.00000000
0.654000,altas,0.00000000
0.656000,altas,0.00000000
0.658000,altas,0.00000000
0.660000,altas,0.00000000
0.662000,altas,0.00000000
0.664000,altas,0.00000000
0.666000,altas,0.00000000
0.668000,altas,0.00000000
0.670000,altas,0.00000000
0.672000,altas,0.00000000
0.674000,altas,0.00000000
0.676000,altas,0.00000000
0.678000,altas,0.00000000
0.680000,altas,0.00000000
0.682000,altas,0.00000000
0.684000,altas,0.00000000
0.686000,altas,0.00000000
0.688000,altas,0.00000000
0.690000,altas,0.00000000
0.692000,altas,0.00000000
0.694000,altas,0.00000000
0.696000,altas,0.00000000
0.698000,altas,0.00000000
0.700000,altas,0.00000000
0.702000,altas,0.00000000
0.704000,altas,0.00000000
0.706000,altas,0.00000000
0.708000,altas,0.00000000
0.710000,altas,0.00000000
0.712000,altas,0.00000000
0.714000,altas,0.00000000
0.716000,altas,0.00000000
0.718000,altas,0.00000000
0.720000,altas,0.00000000
0.722000,altas,0.00000000
0.724000,altas,0.00000000
0.726000,altas,0.00000000
0.728000,altas,0.00000000
0.730000,altas,0.00000000
0.732000,altas,0.00000000
0.734000,altas,0.00000000
0.736000,altas,0.00000000
0.738000,altas,0.00000000
0.740000,altas,0.00000000
0.742000,altas,0.00000000
0.744000,altas,0.00000000
0.746000,altas,0.00000000
0.748000,altas,0.00000000
0.750000,altas,0.00000000
0.752000,altas,0.00000000
0.754000,altas,0.00000000
0.756000,altas,0.00000000
0.758000,altas,0.00000000
0.760000,altas,0.00000000
0.762000,altas,0.00000000
0.764000,altas,0.00000000
0.766000,altas,0.00000000
0.768000,altas,0.00000000
0.770000,altas,0.00000000
0.772000,altas,0.00000000
0.774000,altas,0.00000000
0.776000,altas,0.00000000
0.778000,altas,0.00000000
0.780000,altas,0.00000000
0.782000,altas,0.00000000
0.784000,altas,0.00000000
0.786000,altas,0.00000000
0.788000,altas,0.00000000
0.790000,altas,0.00000000
0.792000,altas,0.00000000
0.794000,altas,0.00000000
0.796000,altas,0.00000000
0.798000,altas,0.00000000
0.800000,altas,0.00000000
0.802000,altas,0.00000000
0.804000,altas,0.00000000
0.806000,altas,0.00000000
0.808000,altas,0.00000000
0.810000,altas,0.00000000
0.812000,altas,0.00000000
0.814000,altas,0.00000000
0.816000,altas,0.00000000
0.818000,altas,0.00000000
0.820000,altas,0.00000000
0.822000,altas,0.00000000
0.824000,altas,0.00000000
0.826000,altas,0.00000000
0.828000,altas,0.00000000
0.830000,altas,0.00000000
0.832000,altas,0.00000000
0.834000,altas,0.00000000
0.836000,altas,0.00000000
0.838000,altas,0.00000000
0.840000,altas,0.00000000
0.842000,altas,0.00000000
0.844000,altas,0.00000000
0.846000,altas,0.00000000
0.848000,altas,0.00000000
0.850000,altas,0.00000000
0.852000,altas,0.00000000
0.854000,altas,0.00000000
0.856000,altas,0.00000000
0.858000,altas,0.00000000
0.860000,altas,0.00000000
0.862000,altas,0.00000000
0.864000,altas,0.00000000
0.866000,altas,0.00000000
0.868000,altas,0.00000000
0.870000,altas,0.00000000
0.872000,altas,0.00000000
0.874000,altas,0.00000000
0.876000,altas,0.00000000
0.878000,altas,0.00000000
0.880000,altas,0.00000000
0.882000,altas,0.00000000
0.884000,altas,0.00000000
0.886000,altas,0.00000000
0.888000,altas,0.00000000
0.890000,altas,0.00000000
0.892000,altas,0.00000000
0.894000,altas,0.00000000
0.896000,altas,0.00000000
0.898000,altas,0.00000000
0.900000,altas,0.00000000
0.902000,altas,0.00000000
0.904000,altas,0.00000000
0.906000,altas,0.00000000
0.908000,altas,0.00000000
0.910000,altas,0.00000000
0.912000,altas,0.00000000
0.914000,altas,0.00000000
0.916000,altas,0.00000000
0.918000,altas,0.00000000
0.920000,altas,0.00000000
0.922000,altas,0.00000000
0.924000,altas,0.00000000
0.926000,altas,0.00000000
0.928000,altas,0.00000000
0.930000,altas,0.00000000
0.932000,altas,0.00000000
0.934000,altas,0.00000000
0.936000,altas,0.00000000
0.938000,altas,0.00000000
0.940000,altas,0.00000000
0.942000,altas,0.00000000
0.944000,altas,0.00000000
0.946000,altas,0.00000000
0.948000,altas,0.00000000
0.950000,altas,0.00000000
0.952000,altas,0.00000000
0.954000,altas,0.00000000
0.956000,altas,0.00000000
0.958000,altas,0.00000000
0.960000,altas,0.00000000
0.962000,altas,0.00000000
0.964000,altas,0.00000000
0.966000,altas,0.00000000
0.968000,altas,0.00000000
0.970000,altas,0.00000000
0.972000,altas,0.00000000
0.974000,altas,0.00000000
0.976000,altas,0.00000000
0.978000,altas,0.00000000
0.980000,altas,0.00000000
0.982000,altas,0.00000000
0.984000,altas,0.00000000
0.986000,altas,0.00000000
0.988000,altas,0.00000000
0.990000,altas,0.00000000
0.992000,altas,0.00000000
0.994000,altas,0.00000000
0.996000,altas,0.00000000
0.998000,altas,0.00000000
1.000000,altas,0.00000000
0.000000,medias,0.00929572
0.002000,medias,0.00963567
0.004000,medias,0.00998666
0.006000,medias,0.01034900
0.008000,medias,0.01072301
0.010000,medias,0.01110900
0.012000,medias,0.01150728
0.014000,medias,0.01191820
0.016000,medias,0.01234208
0.018000,medias,0.01277927
0.020000,medias,0.01323012
0.022000,medias,0.01369497
0.024000,medias,0.01417420
0.026000,medias,0.01466816
0.028000,medias,0.01517724
0.030000,medias,0.01570181
0.032000,medias,0.01624227
0.034000,medias,0.01679900
0.036000,medias,0.01737241
0.038000,medias,0.01796291
0.040000,medias,0.01857091
0.042000,medias,0.01919682
0.044000,medias,0.01984109
0.046000,medias,0.02050415
0.048000,medias,0.02118643
0.050000,medias,0.02188838
0.052000,medias,0.02261046
0.054000,medias,0.02335313
0.056000,medias,0.02411686
0.058000,medias,0.02490211
0.060000,medias,0.02570937
0.062000,medias,0.02653913
0.064000,medias,0.02739188
0.066000,medias,0.02826812
0.068000,medias,0.02916834
0.070000,medias,0.03009307
0.072000,medias,0.03104283
0.074000,medias,0.03201812
0.076000,medias,0.03301948
0.078000,medias,0.03404745
0.080000,medias,0.03510257
0.082000,medias,0.03618537
0.084000,medias,0.03729641
0.086000,medias,0.03843625
0.088000,medias,0.03960543
0.090000,medias,0.04080454
0.092000,medias,0.04203413
0.094000,medias,0.04329478
0.096000,medias,0.04458707
0.098000,medias,0.04591157
0.100000,medias,0.04726888
0.102000,medias,0.04865958
0.104000,medias,0.05008426
0.106000,medias,0.05154352
0.108000,medias,0.05303796
0.110000,medias,0.05456817
0.112000,medias,0.05613476
0.114000,medias,0.05773834
0.116000,medias,0.05937950
0.118000,medias,0.06105886
0.120000,medias,0.06277703
0.122000,medias,0.06453461
0.124000,medias,0.06633222
0.126000,medias,0.06817046
0.128000,medias,0.07004995
0.130000,medias,0.07197130
0.132000,medias,0.07393511
0.134000,medias,0.07594199
0.136000,medias,0.07799256
0.138000,medias,0.08008741
0.140000,medias,0.08222714
0.142000,medias,0.08441235
0.144000,medias,0.08664365
0.146000,medias,0.08892162
0.148000,medias,0.09124685
0.150000,medias,0.09361992
0.152000,medias,0.09604141
0.154000,medias,0.09851191
0.156000,medias,0.10103196
0.158000,medias,0.10360215
0.160000,medias,0.10622301
0.162000,medias,0.10889510
0.164000,medias,0.11161896
0.166000,medias,0.11439512
0.168000,medias,0.11722410
0.170000,medias,0.12010641
0.172000,medias,0.12304257
0.174000,medias,0.12603305
0.176000,medias,0.12907836
0.178000,medias,0.13217895
0.180000,medias,0.13533528
0.182000,medias,0.13854781
0.184000,medias,0.14181697
0.186000,medias,0.14514318
0.188000,medias,0.14852684
0.190000,medias,0.15196834
0.192000,medias,0.15546807
0.194000,medias,0.15902639
0.196000,medias,0.16264363
0.198000,medias,0.16632013
0.200000,medias,0.17005620
0.202000,medias,0.17385213
0.204000,medias,0.17770819
0.206000,medias,0.18162464
0.208000,medias,0.18560171
0.210000,medias,0.18963962
0.212000,medias,0.19373856
0.214000,medias,0.19789870
0.216000,medias,0.20212020
0.218000,medias,0.20640317
0.220000,medias,0.21074774
0.222000,medias,0.21515397
0.224000,medias,0.21962192
0.226000,medias,0.22415163
0.228000,medias,0.22874311
0.230000,medias,0.23339633
0.232000,medias,0.23811124
0.234000,medias,0.24288779
0.236000,medias,0.24772587
0.238000,medias,0.25262534
0.240000,medias,0.25758606
0.242000,medias,0.26260785
0.244000,medias,0.26769048
0.246000,medias,0.27283373
0.248000,medias,0.27803730
0.250000,medias,0.28330091
0.252000,medias,0.28862421
0.254000,medias,0.29400684
0.256000,medias,0.29944840
0.258000,medias,0.30494847
0.260000,medias,0.31050658
0.262000,medias,0.31612224
0.264000,medias,0.32179492
0.266000,medias,0.32752406
0.268000,medias,0.33330906
0.270000,medias,0.33914929
0.272000,medias,0.34504410
0.274000,medias,0.35099278
0.276000,medias,0.35699461
0.278000,medias,0.36304881
0.280000,medias,0.36915459
0.282000,medias,0.37531110
0.284000,medias,0.38151748
0.286000,medias,0.38777281
0.288000,medias,0.39407617
0.290000,medias,0.40042655
0.292000,medias,0.40682297
0.294000,medias,0.41326435
0.296000,medias,0.41974962
0.298000,medias,0.42627766
0.300000,medias,0.43284731
0.302000,medias,0.43945738
0.304000,medias,0.44610665
0.306000,medias,0.45279385
0.308000,medias,0.45951768
0.310000,medias,0.46627682
0.312000,medias,0.47306990
0.314000,medias,0.47989553
0.316000,medias,0.48675226
0.318000,medias,0.49363863
0.320000,medias,0.50055313
0.322000,medias,0.50749425
0.324000,medias,0.51446041
0.326000,medias,0.52145001
0.328000,medias,0.52846142
0.330000,medias,0.53549299
0.332000,medias,0.54254302
0.334000,medias,0.54960980
0.336000,medias,0.55669156
0.338000,medias,0.56378653
0.340000,medias,0.57089291
0.342000,medias,0.57800886
0.344000,medias,0.58513250
0.346000,medias,0.59226197
0.348000,medias,0.59939533
0.350000,medias,0.60653066
0.352000,medias,0.61366598
0.354000,medias,0.62079932
0.356000,medias,0.62792866
0.358000,medias,0.63505197
0.360000,medias,0.64216720
0.362000,medias,0.64927228
0.364000,medias,0.65636512
0.366000,medias,0.66344361
0.368000,medias,0.67050563
0.370000,medias,0.67754903
0.372000,medias,0.68457167
0.374000,medias,0.69157137
0.376000,medias,0.69854595
0.378000,medias,0.70549321
0.380000,medias,0.71241096
0.382000,medias,0.71929697
0.384000,medias,0.72614904
0.386000,medias,0.73296492
0.388000,medias,0.73974238
0.390000,medias,0.74647919
0.392000,medias,0.75317309
0.394000,medias,0.75982185
0.396000,medias,0.76642322
0.398000,medias,0.77297494
0.400000,medias,0.77947478
0.402000,medias,0.78592049
0.404000,medias,0.79230983
0.406000,medias,0.79864056
0.408000,medias,0.80491047
0.410000,medias,0.81111733
0.412000,medias,0.81725893
0.414000,medias,0.82333307
0.416000,medias,0.82933755
0.418000,medias,0.83527021
0.420000,medias,0.84112888
0.422000,medias,0.84691142
0.424000,medias,0.85261569
0.426000,medias,0.85823959
0.428000,medias,0.86378102
0.430000,medias,0.86923792
0.432000,medias,0.87460822
0.434000,medias,0.87988991
0.436000,medias,0.88508099
0.438000,medias,0.89017947
0.440000,medias,0.89518342
0.442000,medias,0.90009090
0.444000,medias,0.90490004
0.446000,medias,0.90960896
0.448000,medias,0.91421584
0.450000,medias,0.91871889
0.452000,medias,0.92311635
0.454000,medias,0.92740648
0.456000,medias,0.93158760
0.458000,medias,0.93565806
0.460000,medias,0.93961625
0.462000,medias,0.94346058
0.464000,medias,0.94718954
0.466000,medias,0.95080163
0.468000,medias,0.95429540
0.470000,medias,0.95766946
0.472000,medias,0.96092243
0.474000,medias,0.96405301
0.476000,medias,0.96705993
0.478000,medias,0.96994197
0.480000,medias,0.97269797
0.482000,medias,0.97532679
0.484000,medias,0.97782736
0.486000,medias,0.98019867
0.488000,medias,0.98243975
0.490000,medias,0.98454967
0.492000,medias,0.98652756
0.494000,medias,0.98837262
0.496000,medias,0.99008409
0.498000,medias,0.99166126
0.500000,medias,0.99310348
0.502000,medias,0.99441015
0.504000,medias,0.99558073
0.506000,medias,0.99661474
0.508000,medias,0.99751175
0.510000,medias,0.99827139
0.512000,medias,0.99889335
0.514000,medias,0.99937736
0.516000,medias,0.99972322
0.518000,medias,0.99993080
0.520000,medias,1.00000000
0.522000,medias,0.99933906
0.524000,medias,0.99735887
0.526000,medias,0.99406726
0.528000,medias,0.98947724
0.530000,medias,0.98360693
0.532000,medias,0.97647937
0.534000,medias,0.96812246
0.536000,medias,0.95856870
0.538000,medias,0.94785502
0.540000,medias,0.93602256
0.542000,medias,0.92311635
0.544000,medias,0.90918507
0.546000,medias,0.89428073
0.548000,medias,0.87845836
0.550000,medias,0.86177563
0.552000,medias,0.84429257
0.554000,medias,0.82607114
0.556000,medias,0.80717492
0.558000,medias,0.78766872
0.560000,medias,0.76761820
0.562000,medias,0.74708953
0.564000,medias,0.72614904
0.566000,medias,0.70486283
0.568000,medias,0.68329647
0.570000,medias,0.66151466
0.572000,medias,0.63958091
0.574000,medias,0.61755727
0.576000,medias,0.59550404
0.578000,medias,0.57347952
0.580000,medias,0.55153977
0.582000,medias,0.52973844
0.584000,medias,0.50812653
0.586000,medias,0.48675226
0.588000,medias,0.46566093
0.590000,medias,0.44489483
0.592000,medias,0.42449311
0.594000,medias,0.40449174
0.596000,medias,0.38492347
0.598000,medias,0.36581782
0.600000,medias,0.34720106
0.602000,medias,0.32909627
0.604000,medias,0.31152335
0.606000,medias,0.29449910
0.608000,medias,0.27803730
0.610000,medias,0.26214881
0.612000,medias,0.24684164
0.614000,medias,0.23212114
0.616000,medias,0.21799007
0.618000,medias,0.20444874
0.620000,medias,0.19149520
0.622000,medias,0.17912535
0.624000,medias,0.16733314
0.626000,medias,0.15611067
0.628000,medias,0.14544840
0.630000,medias,0.13533528
0.632000,medias,0.12575893
0.634000,medias,0.11670578
0.636000,medias,0.10816124
0.638000,medias,0.10010981
0.640000,medias,0.09253528
0.642000,medias,0.08542083
0.644000,medias,0.07874917
0.646000,medias,0.07250265
0.648000,medias,0.06666340
0.650000,medias,0.06121344
0.652000,medias,0.05613476
0.654000,medias,0.05140942
0.656000,medias,0.04701963
0.658000,medias,0.04294785
0.660000,medias,0.03917684
0.662000,medias,0.03568972
0.664000,medias,0.03247002
0.666000,medias,0.02950175
0.668000,medias,0.02676940
0.670000,medias,0.02425801
0.672000,medias,0.02195319
0.674000,medias,0.01984109
0.676000,medias,0.01790851
0.678000,medias,0.01614280
0.680000,medias,0.01453196
0.682000,medias,0.01306457
0.684000,medias,0.01172983
0.686000,medias,0.01051754
0.688000,medias,0.00941808
0.690000,medias,0.00842241
0.692000,medias,0.00752204
0.694000,medias,0.00670905
0.696000,medias,0.00597602
0.698000,medias,0.00531605
0.700000,medias,0.00472271
0.702000,medias,0.00419006
0.704000,medias,0.00371256
0.706000,medias,0.00328514
0.708000,medias,0.00290308
0.710000,medias,0.00256206
0.712000,medias,0.00225812
0.714000,medias,0.00198760
0.716000,medias,0.00174718
0.718000,medias,0.00153381
0.720000,medias,0.00134472
0.722000,medias,0.00117738
0.724000,medias,0.00102950
0.726000,medias,0.00089901
0.728000,medias,0.00078402
0.730000,medias,0.00068284
0.732000,medias,0.00059392
0.734000,medias,0.00051591
0.736000,medias,0.00044754
0.738000,medias,0.00038773
0.740000,medias,0.00033546
0.742000,medias,0.00028986
0.744000,medias,0.00025012
0.746000,medias,0.00021555
0.748000,medias,0.00018551
0.750000,medias,0.00015945
0.752000,medias,0.00013686
0.754000,medias,0.00011732
0.756000,medias,0.00010044
0.758000,medias,0.00008587
0.760000,medias,0.00007332
0.762000,medias,0.00006252
0.764000,medias,0.00005324
0.766000,medias,0.00004528
0.768000,medias,0.00003846
0.770000,medias,0.00003262
0.772000,medias,0.00002763
0.774000,medias,0.00002338
0.776000,medias,0.00001975
0.778000,medias,0.00001666
0.780000,medias,0.00001404
0.782000,medias,0.00001182
0.784000,medias,0.00000993
0.786000,medias,0.00000833
0.788000,medias,0.00000699
0.790000,medias,0.00000585
0.792000,medias,0.00000489
0.794000,medias,0.00000408
0.796000,medias,0.00000340
0.798000,medias,0.00000283
0.800000,medias,0.00000236
0.802000,medias,0.00000196
0.804000,medias,0.00000162
0.806000,medias,0.00000134
0.808000,medias,0.00000111
0.810000,medias,0.00000092
0.812000,medias,0.00000076
0.814000,medias,0.00000062
0.816000,medias,0.00000051
0.818000,medias,0.00000042
0.820000,medias,0.00000035
0.822000,medias,0.00000028
0.824000,medias,0.00000023
0.826000,medias,0.00000019
0.828000,medias,0.00000015
0.830000,medias,0.00000013
0.832000,medias,0.00000010
0.834000,medias,0.00000008
0.836000,medias,0.00000007
0.838000,medias,0.00000006
0.840000,medias,0.00000004
0.842000,medias,0.00000004
0.844000,medias,0.00000003
0.846000,medias,0.00000002
0.848000,medias,0.00000002
0.850000,medias,0.00000002
0.852000,medias,0.00000001
0.854000,medias,0.00000001
0.856000,medias,0.00000001
0.858000,medias,0.00000001
0.860000,medias,0.00000001
0.862000,medias,0.00000000
0.864000,medias,0.00000000
0.866000,medias,0.00000000
0.868000,medias,0.00000000
0.870000,medias,0.00000000
0.872000,medias,0.00000000
0.874000,medias,0.00000000
0.876000,medias,0.00000000
0.878000,medias,0.00000000
0.880000,medias,0.00000000
0.882000,medias,0.00000000
0.884000,medias,0.00000000
0.886000,medias,0.00000000
0.888000,medias,0.00000000
0.890000,medias,0.00000000
0.892000,medias,0.00000000
0.894000,medias,0.00000000
0.896000,medias,0.00000000
0.898000,medias,0.00000000
0.900000,medias,0.00000000
0.902000,medias,0.00000000
0.904000,medias,0.00000000
0.906000,medias,0.00000000
0.908000,medias,0.00000000
0.910000,medias,0.00000000
0.912000,medias,0.00000000
0.914000,medias,0.00000000
0.916000,medias,0.00000000
0.918000,medias,0.00000000
0.920000,medias,0.00000000
0.922000,medias,0.00000000
0.924000,medias,0.00000000
0.926000,medias,0.00000000
0.928000,medias,0.00000000
0.930000,medias,0.00000000
0.932000,medias,0.00000000
0.934000,medias,0.00000000
0.936000,medias,0.00000000
0.938000,medias,0.00000000
0.940000,medias,0.00000000
0.942000,medias,0.00000000
0.944000,medias,0.00000000
0.946000,medias,0.00000000
0.948000,medias,0.00000000
0.950000,medias,0.00000000
0.952000,medias,0.00000000
0.954000,medias,0.00000000
0.956000,medias,0.00000000
0.958000,medias,0.00000000
0.960000,medias,0.00000000
0.962000,medias,0.00000000
0.964000,medias,0.00000000
0.966000,medias,0.00000000
0.968000,medias,0.00000000
0.970000,medias,0.00000000
0.972000,medias,0.00000000
0.974000,medias,0.00000000
0.976000,medias,0.00000000
0.978000,medias,0.00000000
0.980000,medias,0.00000000
0.982000,medias,0.00000000
0.984000,medias,0.00000000
0.986000,medias,0.00000000
0.988000,medias,0.00000000
0.990000,medias,0.00000000
