filter,frequency_hz,gain_db,model
Pasa bajos,108.08641363093813,-8.090086358736631e-08,Butterworth analog order 4
Pasa bajos,108.39815459097467,-8.278647867475307e-08,Butterworth analog order 4
Pasa bajos,108.71079466888274,-8.471604491592084e-08,Butterworth analog order 4
Pasa bajos,109.02433645788261,-8.669058546235113e-08,Butterworth analog order 4
Pasa bajos,109.33878255867359,-8.871114371640408e-08,Butterworth analog order 4
Pasa bajos,109.65413557945612,-9.077879779623068e-08,Butterworth analog order 4
Pasa bajos,109.97039813595316,-9.289464510653322e-08,Butterworth analog order 4
Pasa bajos,110.28757285143195,-9.505980908885778e-08,Butterworth analog order 4
Pasa bajos,110.60566235672538,-9.727543632861179e-08,Butterworth analog order 4
Pasa bajos,110.92466929025447,-9.954270716266646e-08,Butterworth analog order 4
Pasa bajos,111.24459629804986,-1.0186282121444468e-07,Butterworth analog order 4
Pasa bajos,111.56544603377388,-1.0423701089450587e-07,Butterworth analog order 4
Pasa bajos,111.88722115874222,-1.0666653947189106e-07,Butterworth analog order 4
Pasa bajos,112.20992434194659,-1.0915269625248565e-07,Butterworth analog order 4
Pasa bajos,112.53355826007646,-1.1169679561469211e-07,Butterworth analog order 4
Pasa bajos,112.85812559754149,-1.1430019340299715e-07,Butterworth analog order 4
Pasa bajos,113.1836290464933,-1.1696427342738721e-07,Butterworth analog order 4
Pasa bajos,113.51007130684853,-1.1969044360603873e-07,Butterworth analog order 4
Pasa bajos,113.83745508631075,-1.2248015525186782e-07,Butterworth analog order 4
Pasa bajos,114.16578310039316,-1.2533488957194565e-07,Butterworth analog order 4
Pasa bajos,114.49505807244066,-1.2825616056048118e-07,Butterworth analog order 4
Pasa bajos,114.82528273365307,-1.312455207847862e-07,Butterworth analog order 4
Pasa bajos,115.15645982310745,-1.343045555993105e-07,Butterworth analog order 4
Pasa bajos,115.48859208778094,-1.3743488989593458e-07,Butterworth analog order 4
Pasa bajos,115.82168228257308,-1.406381871396422e-07,Butterworth analog order 4
Pasa bajos,116.15573317032946,-1.4391614261822845e-07,Butterworth analog order 4
Pasa bajos,116.49074752186404,-1.4727049887153944e-07,Butterworth analog order 4
Pasa bajos,116.82672811598248,-1.507030408698352e-07,Butterworth analog order 4
Pasa bajos,117.16367773950462,-1.542155854061877e-07,Butterworth analog order 4
Pasa bajos,117.50159918728843,-1.578100003830307e-07,Butterworth analog order 4
Pasa bajos,117.84049526225256,-1.6148819324023004e-07,Butterworth analog order 4
Pasa bajos,118.18036877539996,-1.6525211674104917e-07,Butterworth analog order 4
Pasa bajos,118.52122254584063,-1.691037670434941e-07,Butterworth analog order 4
Pasa bajos,118.86305940081581,-1.7304519334358881e-07,Butterworth analog order 4
Pasa bajos,119.20588217572096,-1.770784824461357e-07,Butterworth analog order 4
Pasa bajos,119.54969371412902,-1.8120577901559304e-07,Butterworth analog order 4
Pasa bajos,119.89449686781465,-1.854292730398182e-07,Butterworth analog order 4
Pasa bajos,120.24029449677745,-1.8975120947334266e-07,Butterworth analog order 4
Pasa bajos,120.58708946926578,-1.9417387859409762e-07,Butterworth analog order 4
Pasa bajos,120.93488466180064,-1.9869962950399922e-07,Butterworth analog order 4
Pasa bajos,121.28368295919911,-2.03330866271639e-07,Butterworth analog order 4
Pasa bajos,121.63348725459898,-2.080700469679568e-07,Butterworth analog order 4
Pasa bajos,121.98430044948235,-2.1291968848787873e-07,Butterworth analog order 4
Pasa bajos,122.33612545369937,-2.178823617286801e-07,Butterworth analog order 4
Pasa bajos,122.68896518549312,-2.2296070316191595e-07,Butterworth analog order 4
Pasa bajos,123.04282257152325,-2.2815741290476635e-07,Butterworth analog order 4
Pasa bajos,123.3977005468906,-2.334752431481073e-07,Butterworth analog order 4
Pasa bajos,123.75360205516101,-2.3891702033604355e-07,Butterworth analog order 4
Pasa bajos,124.11053004839044,-2.444856326296516e-07,Butterworth analog order 4
Pasa bajos,124.468487487149,-2.5018403762160054e-07,Butterworth analog order 4
Pasa bajos,124.82747734054578,-2.5601525751451506e-07,Butterworth analog order 4
Pasa bajos,125.18750258625292,-2.619823897285787e-07,Butterworth analog order 4
Pasa bajos,125.54856621053109,-2.6808860497287936e-07,Butterworth analog order 4
Pasa bajos,125.91067120825376,-2.7433714242377293e-07,Butterworth analog order 4
Pasa bajos,126.2738205829323,-2.8073131840383113e-07,Butterworth analog order 4
Pasa bajos,126.63801734674034,-2.8727452541751525e-07,Butterworth analog order 4
Pasa bajos,127.0032645205396,-2.9397024275877906e-07,Butterworth analog order 4
Pasa bajos,127.36956513390435,-3.008220220461577e-07,Butterworth analog order 4
Pasa bajos,127.73692222514684,-3.078334997590255e-07,Butterworth analog order 4
Pasa bajos,128.10533884134202,-3.1500839723759795e-07,Butterworth analog order 4
Pasa bajos,128.47481803835345,-3.2235052646889645e-07,Butterworth analog order 4
Pasa bajos,128.84536288085837,-3.2986378622944057e-07,Butterworth analog order 4
Pasa bajos,129.21697644237312,-3.375521620852486e-07,Butterworth analog order 4
Pasa bajos,129.5896618052783,-3.4541973410645867e-07,Butterworth analog order 4
Pasa bajos,129.963422060845,-3.5347068265329543e-07,Butterworth analog order 4
Pasa bajos,130.33826030926002,-3.6170928259010595e-07,Butterworth analog order 4
Pasa bajos,130.7141796596518,-3.701399013567065e-07,Butterworth analog order 4
Pasa bajos,131.09118323011558,-3.7876702307657103e-07,Butterworth analog order 4
Pasa bajos,131.46927414774026,-3.875952196270081e-07,Butterworth analog order 4
Pasa bajos,131.84845554863367,-3.966291834262973e-07,Butterworth analog order 4
Pasa bajos,132.22873057794888,-4.0587371007579593e-07,Butterworth analog order 4
Pasa bajos,132.61010238990977,-4.153337012529232e-07,Butterworth analog order 4
Pasa bajos,132.99257414783793,-4.2501418689069486e-07,Butterworth analog order 4
Pasa bajos,133.37614902417843,-4.349203001052095e-07,Butterworth analog order 4
Pasa bajos,133.76083020052647,-4.450573061254762e-07,Butterworth analog order 4
Pasa bajos,134.14662086765304,-4.5543057818522893e-07,Butterworth analog order 4
Pasa bajos,134.53352422553235,-4.6604563127439114e-07,Butterworth analog order 4
Pasa bajos,134.92154348336774,-4.769080951379082e-07,Butterworth analog order 4
Pasa bajos,135.3106818596187,-4.880237374196098e-07,Butterworth analog order 4
Pasa bajos,135.70094258202687,-4.993984626978851e-07,Butterworth analog order 4
Pasa bajos,136.09232888764367,-5.110383047710654e-07,Butterworth analog order 4
Pasa bajos,136.48484402285675,-5.229494459439766e-07,Butterworth analog order 4
Pasa bajos,136.87849124341696,-5.351382093133226e-07,Butterworth analog order 4
Pasa bajos,137.27327381446491,-5.476110616606707e-07,Butterworth analog order 4
Pasa bajos,137.669195010559,-5.603746346676599e-07,Butterworth analog order 4
Pasa bajos,138.0662581157018,-5.734356921288688e-07,Butterworth analog order 4
Pasa bajos,138.46446642336775,-5.868011733465576e-07,Butterworth analog order 4
Pasa bajos,138.86382323652984,-6.00478173844121e-07,Butterworth analog order 4
Pasa bajos,139.2643318676878,-6.144739559736947e-07,Butterworth analog order 4
Pasa bajos,139.66599563889514,-6.287959469875051e-07,Butterworth analog order 4
Pasa bajos,140.06881788178694,-6.434517506098028e-07,Butterworth analog order 4
Pasa bajos,140.47280193760682,-6.584491460725398e-07,Butterworth analog order 4
Pasa bajos,140.87795115723566,-6.737960996873049e-07,Butterworth analog order 4
Pasa bajos,141.28426890121867,-6.895007542377248e-07,Butterworth analog order 4
Pasa bajos,141.6917585397937,-7.05571451159003e-07,Butterworth analog order 4
Pasa bajos,142.10042345291853,-7.220167160730118e-07,Butterworth analog order 4
Pasa bajos,142.5102670302998,-7.388452828964863e-07,Butterworth analog order 4
Pasa bajos,142.9212926714206,-7.560660870907372e-07,Butterworth analog order 4
Pasa bajos,143.3335037855684,-7.736882685546394e-07,Butterworth analog order 4
Pasa bajos,143.74690379186418,-7.917211812679145e-07,Butterworth analog order 4
Pasa bajos,144.16149611928995,-8.101744019700838e-07,Butterworth analog order 4
Pasa bajos,144.5772842067177,-8.290577243745117e-07,Butterworth analog order 4
Pasa bajos,144.99427150293783,-8.48381176526307e-07,Butterworth analog order 4
Pasa bajos,145.41246146668723,-8.681550111590568e-07,Butterworth analog order 4
Pasa bajos,145.8318575666789,-8.883897298030216e-07,Butterworth analog order 4
Pasa bajos,146.2524632816302,-9.090960731418692e-07,Butterworth analog order 4
Pasa bajos,146.6742821002914,-9.302850345132685e-07,Butterworth analog order 4
Pasa bajos,147.09731752147525,-9.519678618375544e-07,Butterworth analog order 4
Pasa bajos,147.52157305408568,-9.741560682253396e-07,Butterworth analog order 4
Pasa bajos,147.9470522171469,-9.968614300488702e-07,Butterworth analog order 4
Pasa bajos,148.37375853983283,-1.0200960014069495e-06,Butterworth analog order 4
Pasa bajos,148.80169556149565,-1.0438721189465868e-06,Butterworth analog order 4
Pasa bajos,149.23086683169615,-1.0682024047559907e-06,Butterworth analog order 4
Pasa bajos,149.66127591023272,-1.0930997711862207e-06,Butterworth analog order 4
Pasa bajos,150.0929263671704,-1.1185774411020772e-06,Butterworth analog order 4
Pasa bajos,150.52582178287142,-1.1446489363101848e-06,Butterworth analog order 4
Pasa bajos,150.95996574802422,-1.1713280987742122e-06,Butterworth analog order 4
Pasa bajos,151.39536186367366,-1.1986290906148872e-06,Butterworth analog order 4
Pasa bajos,151.8320137412502,-1.2265664095392524e-06,Butterworth analog order 4
Pasa bajos,152.2699250026007,-1.2551548801617334e-06,Butterworth analog order 4
Pasa bajos,152.70909928001808,-1.2844096848626386e-06,Butterworth analog order 4
Pasa bajos,153.14954021627153,-1.3143463531805715e-06,Butterworth analog order 4
Pasa bajos,153.59125146463614,-1.3449807743487097e-06,Butterworth analog order 4
Pasa bajos,154.03423668892427,-1.3763292146527189e-06,Butterworth analog order 4
Pasa bajos,154.47849956351516,-1.4084083164664467e-06,Butterworth analog order 4
Pasa bajos,154.92404377338585,-1.441235110788201e-06,Butterworth analog order 4
Pasa bajos,155.37087301414098,-1.4748270201337558e-06,Butterworth analog order 4
Pasa bajos,155.81899099204455,-1.5092018807159086e-06,Butterworth analog order 4
Pasa bajos,156.26840142404987,-1.544377942444504e-06,Butterworth analog order 4
Pasa bajos,156.71910803783084,-1.5803738766410816e-06,Butterworth analog order 4
Pasa bajos,157.17111457181207,-1.6172087924324688e-06,Butterworth analog order 4
Pasa bajos,157.6244247752011,-1.6549022492870705e-06,Butterworth analog order 4
Pasa bajos,158.07904240801858,-1.69347425122893e-06,Butterworth analog order 4
Pasa bajos,158.53497124113,-1.732945282517883e-06,Butterworth analog order 4
Pasa bajos,158.99221505627617,-1.7733362893273635e-06,Butterworth analog order 4
Pasa bajos,159.45077764610562,-1.8146687221748524e-06,Butterworth analog order 4
Pasa bajos,159.91066281420544,-1.8569645185640166e-06,Butterworth analog order 4
Pasa bajos,160.3718743751331,-1.9002461309502448e-06,Butterworth analog order 4
Pasa bajos,160.83441615444747,-1.9445365440985847e-06,Butterworth analog order 4
Pasa bajos,161.29829198874154,-1.989859258690212e-06,Butterworth analog order 4
Pasa bajos,161.76350572567353,-2.0362383472534775e-06,Butterworth analog order 4
Pasa bajos,162.2300612239992,-2.0836984261984468e-06,Butterworth analog order 4
Pasa bajos,162.69796235360315,-2.1322646914970705e-06,Butterworth analog order 4
Pasa bajos,163.16721299553197,-2.1819629254335272e-06,Butterworth analog order 4
Pasa bajos,163.6378170420257,-2.232819508176203e-06,Butterworth analog order 4
Pasa bajos,164.1097783965505,-2.284861441885939e-06,Butterworth analog order 4
Pasa bajos,164.58310097383028,-2.3381163593950336e-06,Butterworth analog order 4
Pasa bajos,165.05778869988032,-2.3926125242073e-06,Butterworth analog order 4
Pasa bajos,165.533845512039,-2.4483788719642202e-06,Butterworth analog order 4
Pasa bajos,166.01127535900093,-2.505445002730383e-06,Butterworth analog order 4
Pasa bajos,166.49008220084892,-2.5638412166736766e-06,Butterworth analog order 4
Pasa bajos,166.97027000908795,-2.623598511172376e-06,Butterworth analog order 4
Pasa bajos,167.4518427666773,-2.684748613602357e-06,Butterworth analog order 4
Pasa bajos,167.93480446806404,-2.7473239851944817e-06,Butterworth analog order 4
Pasa bajos,168.4191591192155,-2.811357842249892e-06,Butterworth analog order 4
Pasa bajos,168.90491073765335,-2.8768841850699214e-06,Butterworth analog order 4
Pasa bajos,169.39206335248645,-2.943937796991855e-06,Butterworth analog order 4
Pasa bajos,169.88062100444446,-3.0125542742831823e-06,Butterworth analog order 4
Pasa bajos,170.37058774591077,-3.08277004446392e-06,Butterworth analog order 4
Pasa bajos,170.86196764095706,-3.1546223836646115e-06,Butterworth analog order 4
Pasa bajos,171.35476476537656,-3.2281494378416426e-06,Butterworth analog order 4
Pasa bajos,171.84898320671732,-3.3033902391709247e-06,Butterworth analog order 4
Pasa bajos,172.34462706431714,-3.380384728227546e-06,Butterworth analog order 4
Pasa bajos,172.84170044933683,-3.4591737838800576e-06,Butterworth analog order 4
Pasa bajos,173.34020748479463,-3.5397992338982023e-06,Butterworth analog order 4
Pasa bajos,173.84015230560047,-3.6223038752039314e-06,Butterworth analog order 4
Pasa bajos,174.34153905858952,-3.7067315134089842e-06,Butterworth analog order 4
Pasa bajos,174.84437190255775,-3.793126965708016e-06,Butterworth analog order 4
Pasa bajos,175.34865500829594,-3.881536098487534e-06,Butterworth analog order 4
Pasa bajos,175.8543925586235,-3.972005842755302e-06,Butterworth analog order 4
Pasa bajos,176.3615887484245,-4.064584231749295e-06,Butterworth analog order 4
Pasa bajos,176.87024778468165,-4.159320408652494e-06,Butterworth analog order 4
Pasa bajos,177.3803738865113,-4.256264671916477e-06,Butterworth analog order 4
Pasa bajos,177.89197128519874,-4.355468481047581e-06,Butterworth analog order 4
Pasa bajos,178.40504422423248,-4.456984502894835e-06,Butterworth analog order 4
Pasa bajos,178.91959695934057,-4.560866631901064e-06,Butterworth analog order 4
Pasa bajos,179.4356337585254,-4.667170013246965e-06,Butterworth analog order 4
Pasa bajos,179.95315890209847,-4.775951081424466e-06,Butterworth analog order 4
Pasa bajos,180.47217668271702,-4.8872675872381425e-06,Butterworth analog order 4
Pasa bajos,180.99269140541895,-5.001178625770977e-06,Butterworth analog order 4
Pasa bajos,181.5147073876587,-5.117744668207451e-06,Butterworth analog order 4
Pasa bajos,182.03822895934312,-5.23702759751395e-06,Butterworth analog order 4
Pasa bajos,182.56326046286682,-5.359090734475912e-06,Butterworth analog order 4
Pasa bajos,183.08980625314925,-5.4839988849501974e-06,Butterworth analog order 4
Pasa bajos,183.6178706976702,-5.611818357223313e-06,Butterworth analog order 4
Pasa bajos,184.1474581765055,-5.742617005406506e-06,Butterworth analog order 4
Pasa bajos,184.6785730823645,-5.876464271866535e-06,Butterworth analog order 4
Pasa bajos,185.21121982062576,-6.013431208441266e-06,Butterworth analog order 4
Pasa bajos,185.7454028093739,-6.153590526585094e-06,Butterworth analog order 4
Pasa bajos,186.28112647943556,-6.297016635942481e-06,Butterworth analog order 4
Pasa bajos,186.81839527441727,-6.443785680028502e-06,Butterworth analog order 4
Pasa bajos,187.3572136507415,-6.593975568052116e-06,Butterworth analog order 4
Pasa bajos,187.89758607768414,-6.747666037597941e-06,Butterworth analog order 4
Pasa bajos,188.4395170374106,-6.904938677770624e-06,Butterworth analog order 4
Pasa bajos,188.98301102501435,-7.065876978376063e-06,Butterworth analog order 4
Pasa bajos,189.52807254855324,-7.230566379102678e-06,Butterworth analog order 4
Pasa bajos,190.07470612908747,-7.399094310023745e-06,Butterworth analog order 4
Pasa bajos,190.62291630071616,-7.571550236921388e-06,Butterworth analog order 4
Pasa bajos,191.1727076106162,-7.748025713360919e-06,Butterworth analog order 4
Pasa bajos,191.72408461907918,-7.928614424086231e-06,Butterworth analog order 4
Pasa bajos,192.2770518995496,-8.113412240951502e-06,Butterworth analog order 4
Pasa bajos,192.831614038662,-8.302517263423669e-06,Butterworth analog order 4
Pasa bajos,193.38777563628025,-8.49602988994346e-06,Butterworth analog order 4
Pasa bajos,193.94554130553482,-8.694052843963002e-06,Butterworth analog order 4
Pasa bajos,194.5049156728615,-8.89669125398588e-06,Butterworth analog order 4
Pasa bajos,195.065903378039,-9.10405269985572e-06,Butterworth analog order 4
Pasa bajos,195.62850907422853,-9.31624725325886e-06,Butterworth analog order 4
Pasa bajos,196.19273742801178,-9.53338757030079e-06,Butterworth analog order 4
Pasa bajos,196.75859311942978,-9.755588927187252e-06,Butterworth analog order 4
Pasa bajos,197.32608084202116,-9.982969277120626e-06,Butterworth analog order 4
Pasa bajos,197.89520530286214,-1.0215649336126204e-05,Butterworth analog order 4
Pasa bajos,198.46597122260474,-1.0453752625483748e-05,Butterworth analog order 4
Pasa bajos,199.03838333551653,-1.0697405548874918e-05,Butterworth analog order 4
Pasa bajos,199.61244638951885,-1.094673745313717e-05,Butterworth analog order 4
Pasa bajos,200.18816514622762,-1.120188069962533e-05,Butterworth analog order 4
Pasa bajos,200.76554438099203,-1.1462970744252196e-05,Butterworth analog order 4
Pasa bajos,201.34458888293372,-1.1730146188599323e-05,Butterworth analog order 4
Pasa bajos,201.9253034549876,-1.2003548865743726e-05,Butterworth analog order 4
Pasa bajos,202.50769291394093,-1.2283323923191656e-05,Butterworth analog order 4
Pasa bajos,203.09176209047348,-1.2569619881704243e-05,Butterworth analog order 4
Pasa bajos,203.67751582919774,-1.286258872787471e-05,Butterworth analog order 4
Pasa bajos,204.2649589886984,-1.3162385991276419e-05,Butterworth analog order 4
Pasa bajos,204.85409644157374,-1.3469170831254273e-05,Butterworth analog order 4
Pasa bajos,205.44493307447559,-1.3783106101536663e-05,Butterworth analog order 4
Pasa bajos,206.03747378814904,-1.4104358467885586e-05,Butterworth analog order 4
Pasa bajos,206.63172349747455,-1.4433098469815771e-05,Butterworth analog order 4
Pasa bajos,207.22768713150774,-1.4769500629566059e-05,Butterworth analog order 4
Pasa bajos,207.82536963352052,-1.5113743535033963e-05,Butterworth analog order 4
Pasa bajos,208.42477596104237,-1.5466009931389343e-05,Butterworth analog order 4
Pasa bajos,209.02591108590045,-1.5826486826188768e-05,Butterworth analog order 4
Pasa bajos,209.62877999426232,-1.6195365587739718e-05,Butterworth analog order 4
Pasa bajos,210.23338768667648,-1.657284204346492e-05,Butterworth analog order 4
Pasa bajos,210.83973917811332,-1.6959116583088423e-05,Butterworth analog order 4
Pasa bajos,211.447839498008,-1.735439426953652e-05,Butterworth analog order 4
Pasa bajos,212.05769369030116,-1.7758884942124105e-05,Butterworth analog order 4
Pasa bajos,212.66930681348123,-1.8172803336134815e-05,Butterworth analog order 4
Pasa bajos,213.28268394062636,-1.8596369186007763e-05,Butterworth analog order 4
Pasa bajos,213.89783015944576,-1.9029807350703967e-05,Butterworth analog order 4
Pasa bajos,214.51475057232318,-1.9473347928465354e-05,Butterworth analog order 4
Pasa bajos,215.1334502963586,-1.992722638411023e-05,Butterworth analog order 4
Pasa bajos,215.75393446340996,-2.0391683664757003e-05,Butterworth analog order 4
Pasa bajos,216.37620822013707,-2.086696633965632e-05,Butterworth analog order 4
Pasa bajos,217.00027672804347,-2.135332671784386e-05,Butterworth analog order 4
Pasa bajos,217.62614516351937,-2.1851022996651883e-05,Butterworth analog order 4
Pasa bajos,218.25381871788488,-2.2360319387077098e-05,Butterworth analog order 4
Pasa bajos,218.88330259743216,-2.2881486253613746e-05,Butterworth analog order 4
Pasa bajos,219.51460202346996,-2.3414800273373505e-05,Butterworth analog order 4
Pasa bajos,220.14772223236616,-2.396054456241845e-05,Butterworth analog order 4
Pasa bajos,220.78266847559067,-2.4519008842596184e-05,Butterworth analog order 4
Pasa bajos,221.4194460197603,-2.509048957848097e-05,Butterworth analog order 4
Pasa bajos,222.05806014668144,-2.5675290156745765e-05,Butterworth analog order 4
Pasa bajos,222.69851615339448,-2.6273721025032646e-05,Butterworth analog order 4
Pasa bajos,223.3408193522167,-2.6886099871325483e-05,Butterworth analog order 4
Pasa bajos,223.98497507078778,-2.7512751785965007e-05,Butterworth analog order 4
Pasa bajos,224.63098865211307,-2.815400944391517e-05,Butterworth analog order 4
Pasa bajos,225.27886545460834,-2.881021325906434e-05,Butterworth analog order 4
Pasa bajos,225.92861085214332,-2.948171159252937e-05,Butterworth analog order 4
Pasa bajos,226.58023023408765,-3.016886092238689e-05,Butterworth analog order 4
Pasa bajos,227.23372900535463,-3.087202602594137e-05,Butterworth analog order 4
Pasa bajos,227.88911258644669,-3.159158019092347e-05,Butterworth analog order 4
Pasa bajos,228.54638641349908,-3.232790540933107e-05,Butterworth analog order 4
Pasa bajos,229.20555593832668,-3.308139256452035e-05,Butterworth analog order 4
Pasa bajos,229.8666266284682,-3.385244165783506e-05,Butterworth analog order 4
Pasa bajos,230.52960396723185,-3.4641462010163724e-05,Butterworth analog order 4
Pasa bajos,231.19449345374005,-3.544887248953433e-05,Butterworth analog order 4
Pasa bajos,231.86130060297646,-3.627510171749442e-05,Butterworth analog order 4
Pasa bajos,232.53003094583062,-3.7120588305386e-05,Butterworth analog order 4
Pasa bajos,233.20069002914445,-3.798578109640719e-05,Butterworth analog order 4
Pasa bajos,233.8732834157573,-3.8871139386459244e-05,Butterworth analog order 4
Pasa bajos,234.54781668455342,-3.977713317971024e-05,Butterworth analog order 4
Pasa bajos,235.2242954305074,-4.070424343451627e-05,Butterworth analog order 4
Pasa bajos,235.90272526473092,-4.1652962317058004e-05,Butterworth analog order 4
Pasa bajos,236.58311181451847,-4.2623793467514486e-05,Butterworth analog order 4
Pasa bajos,237.2654607233954,-4.36172522623805e-05,Butterworth analog order 4
Pasa bajos,237.94977765116377,-4.46338660893211e-05,Butterworth analog order 4
Pasa bajos,238.63606827394977,-4.567417462781316e-05,Butterworth analog order 4
Pasa bajos,239.32433828424988,-4.673873013653829e-05,Butterworth analog order 4
Pasa bajos,240.01459339097948,-4.782809774656273e-05,Butterworth analog order 4
Pasa bajos,240.70683931951953,-4.8942855754518435e-05,Butterworth analog order 4
Pasa bajos,241.40108181176325,-5.0083595944715276e-05,Butterworth analog order 4
Pasa bajos,242.09732662616534,-5.125092388714612e-05,Butterworth analog order 4
Pasa bajos,242.79557953778863,-5.244545926828057e-05,Butterworth analog order 4
Pasa bajos,243.4958463383523,-5.366783621414531e-05,Butterworth analog order 4
Pasa bajos,244.1981328362802,-5.4918703630763896e-05,Butterworth analog order 4
Pasa bajos,244.90244485674788,-5.619872555327702e-05,Butterworth analog order 4
Pasa bajos,245.60878824173264,-5.750858148831391e-05,Butterworth analog order 4
Pasa bajos,246.31716885006102,-5.8848966779509465e-05,Butterworth analog order 4
Pasa bajos,247.02759255745679,-6.022059297688029e-05,Butterworth analog order 4
Pasa bajos,247.74006525659107,-6.16241882177746e-05,Butterworth analog order 4
Pasa bajos,248.45459285713028,-6.306049760589519e-05,Butterworth analog order 4
Pasa bajos,249.1711812857855,-6.453028360961121e-05,Butterworth analog order 4
Pasa bajos,249.88983648636165,-6.603432647280814e-05,Butterworth analog order 4
Pasa bajos,250.61056441980597,-6.75734246170609e-05,Butterworth analog order 4
Pasa bajos,251.3333710642589,-6.914839507756101e-05,Butterworth analog order 4
Pasa bajos,252.05826241510297,-7.076007392940263e-05,Butterworth analog order 4
Pasa bajos,252.78524448501167,-7.240931673412213e-05,Butterworth analog order 4
Pasa bajos,253.51432330400092,-7.409699899299047e-05,Butterworth analog order 4
Pasa bajos,254.24550491947812,-7.582401661284472e-05,Butterworth analog order 4
Pasa bajos,254.97879539629238,-7.75912863786727e-05,Butterworth analog order 4
Pasa bajos,255.71420081678528,-7.939974644162988e-05,Butterworth analog order 4
Pasa bajos,256.4517272808402,-8.125035682056005e-05,Butterworth analog order 4
Pasa bajos,257.19138090593447,-8.314409990641233e-05,Butterworth analog order 4
Pasa bajos,257.93316782718927,-8.50819809878768e-05,Butterworth analog order 4
Pasa bajos,258.67709419741993,-8.70650287770237e-05,Butterworth analog order 4
Pasa bajos,259.4231661871884,-8.90942959696625e-05,Butterworth analog order 4
Pasa bajos,260.1713899848532,-9.117085978834677e-05,Butterworth analog order 4
Pasa bajos,260.9217717966215,-9.329582256299208e-05,Butterworth analog order 4
Pasa bajos,261.6743178466004,-9.547031231342702e-05,Butterworth analog order 4
Pasa bajos,262.4290343768476,-9.769548335219973e-05,Butterworth analog order 4
Pasa bajos,263.185927647425,-9.997251689510363e-05,Butterworth analog order 4
Pasa bajos,263.94500393644955,-0.00010230262167942284,Butterworth analog order 4
Pasa bajos,264.70626954014466,-0.00010468703461593449,Butterworth analog order 4
Pasa bajos,265.4697307728941,-0.00010712702144959551,Butterworth analog order 4
Pasa bajos,266.23539396729296,-0.0001096238774086628,Butterworth analog order 4
Pasa bajos,267.00326547420127,-0.00011217892792518048,Butterworth analog order 4
Pasa bajos,267.77335166279505,-0.00011479352930339877,Butterworth analog order 4
Pasa bajos,268.5456589206211,-0.00011746906947209707,Butterworth analog order 4
Pasa bajos,269.3201936536488,-0.00012020696869544694,Butterworth analog order 4
Pasa bajos,270.0969622863238,-0.00012300868034367135,Butterworth analog order 4
Pasa bajos,270.8759712616201,-0.00012587569165599648,Butterworth analog order 4
Pasa bajos,271.65722704109544,-0.00012880952452482675,Butterworth analog order 4
Pasa bajos,272.44073610494337,-0.00013181173632235898,Butterworth analog order 4
Pasa bajos,273.2265049520479,-0.0001348839207059895,Butterworth analog order 4
Pasa bajos,274.01454010003624,-0.0001380277084806263,Butterworth analog order 4
Pasa bajos,274.80484808533424,-0.0001412447684465452,Butterworth analog order 4
Pasa bajos,275.59743546322,-0.00014453680830511635,Butterworth analog order 4
Pasa bajos,276.3923088078783,-0.00014790557554911159,Butterworth analog order 4
Pasa bajos,277.18947471245434,-0.00015135285839931072,Butterworth analog order 4
