t_s,signal_sine,signal_harmonic
0.01725,-0.9876883405951378,-0.5350566334030082
0.0175,-1.0,-0.5015568278463085
0.01775,-0.9876883405951379,-0.535056633403007
0.018,-0.9510565162951538,-0.6260825844508424
0.01825,-0.8910065241883685,-0.748332831889357
0.0185,-0.8090169943749477,-0.8645696544084318
0.01875,-0.7071067811865472,-0.934997526317783
0.019,-0.5877852522924735,-0.9262940124211926
0.01925,-0.4539904997395464,-0.8193161070474255
0.0195,-0.3090169943749479,-0.6137912404852789
0.01975,-0.15643446504023048,-0.32895761775670984
0.02,-4.898587196589413e-16,-1.0497748472431506e-15
0.02025,0.15643446504023126,0.32895761775670945
0.0205,0.3090169943749486,0.6137912404852789
0.02075,0.45399049973954714,0.8193161070474259
0.021,0.5877852522924741,0.9262940124211937
0.02125,0.7071067811865478,0.9349975263177843
0.0215,0.8090169943749471,0.8645696544084351
0.02175,0.8910065241883672,0.7483328318893598
0.022,0.9510565162951534,0.6260825844508431
0.02225,0.9876883405951375,0.5350566334030087
0.0225,1.0,0.5015568278463085
0.02275,0.9876883405951377,0.5350566334030075
0.023,0.9510565162951538,0.6260825844508411
0.02325,0.8910065241883677,0.7483328318893575
0.0235,0.8090169943749478,0.8645696544084331
0.02375,0.7071067811865474,0.9349975263177819
0.024,0.5877852522924721,0.9262940124211917
0.02425,0.4539904997395465,0.8193161070474253
0.0245,0.3090169943749463,0.6137912404852784
0.02475,0.1564344650402306,0.3289576177567088
0.025,-1.164033439826574e-15,-1.7655876461026069e-15
0.02525,-0.15643446504023115,-0.3289576177567079
0.0255,-0.3090169943749451,-0.6137912404852748
0.02575,-0.4539904997395454,-0.8193161070474241
0.026,-0.5877852522924726,-0.9262940124211927
0.02625,-0.7071067811865477,-0.9349975263177853
0.0265,-0.8090169943749481,-0.8645696544084349
0.02675,-0.8910065241883671,-0.7483328318893584
0.027,-0.9510565162951534,-0.6260825844508443
0.02725,-0.9876883405951378,-0.5350566334030082
0.0275,-1.0,-0.5015568278463085
0.02775,-0.9876883405951374,-0.5350566334030067
0.028,-0.9510565162951538,-0.6260825844508421
0.02825,-0.8910065241883678,-0.7483328318893588
0.0285,-0.8090169943749468,-0.8645696544084306
0.02875,-0.7071067811865461,-0.9349975263177818
0.029,-0.5877852522924737,-0.9262940124211937
0.02925,-0.45399049973954664,-0.8193161070474257
0.0295,-0.3090169943749498,-0.6137912404852826
0.02975,-0.15643446504023248,-0.32895761775671195
0.03,-7.347880794884119e-16,-1.5746622708647259e-15
0.03025,0.156434465040231,0.3289576177567064
0.0305,0.3090169943749484,0.6137912404852786
0.03075,0.4539904997395453,0.8193161070474243
0.031,0.5877852522924725,0.9262940124211931
0.03125,0.7071067811865476,0.9349975263177843
0.0315,0.809016994374948,0.8645696544084336
0.03175,0.8910065241883687,0.7483328318893615
0.032,0.9510565162951533,0.6260825844508432
0.03225,0.9876883405951378,0.5350566334030077
0.0325,1.0,0.5015568278463085
0.03275,0.9876883405951374,0.5350566334030071
0.033,0.9510565162951528,0.6260825844508423
0.03325,0.8910065241883678,0.7483328318893573
0.0335,0.8090169943749469,0.864569654408432
0.03375,0.7071067811865462,0.9349975263177828
0.034,0.5877852522924709,0.9262940124211915
0.03425,0.45399049973954675,0.8193161070474256
0.0345,0.30901699437494656,0.6137912404852788
0.03475,0.15643446504022906,0.32895761775670507
0.035,-2.6954609193973537e-15,-2.8605982251950024e-15
0.03525,-0.15643446504022737,-0.3289576177567042
0.0355,-0.3090169943749449,-0.6137912404852743
0.03575,-0.4539904997395452,-0.8193161070474235
0.036,-0.5877852522924725,-0.9262940124211927
0.03625,-0.7071067811865476,-0.9349975263177855
0.0365,-0.8090169943749459,-0.8645696544084359
0.03675,-0.891006524188367,-0.7483328318893586
0.037,-0.9510565162951533,-0.6260825844508445
0.03725,-0.9876883405951378,-0.5350566334030097
0.0375,-1.0,-0.5015568278463085
0.03775,-0.987688340595138,-0.535056633403007
0.038,-0.9510565162951539,-0.6260825844508396
0.03825,-0.8910065241883679,-0.7483328318893586
0.0385,-0.8090169943749469,-0.8645696544084305
0.03875,-0.7071067811865464,-0.9349975263177797
0.039,-0.5877852522924739,-0.9262940124211937
0.03925,-0.45399049973954686,-0.8193161070474259
0.0395,-0.3090169943749467,-0.6137912404852798
0.03975,-0.1564344650402292,-0.32895761775670657
