tau_E,R_dB
0.002951209227,25.3
0.002884031503,25.4
0.002818382931,25.5
0.002754228703,25.6
0.002691534804,25.7
0.002630267992,25.8
0.002570395783,25.9
0.002511886432,26
0.002454708916,26.1
0.002398832919,26.2
0.002344228815,26.3
0.002290867653,26.4
0.002238721139,26.5
0.002187761624,26.6
0.00213796209,26.7
0.002089296131,26.8
0.002041737945,26.9
0.001995262315,27
0.0019498446,27.1
0.001905460718,27.2
0.001862087137,27.3
0.001819700859,27.4
0.00177827941,27.5
0.001737800829,27.6
0.001698243652,27.7
0.001659586907,27.8
0.001621810097,27.9
0.001584893192,28
0.001548816619,28.1
0.001513561248,28.2
0.001479108388,28.3
0.001445439771,28.4
0.001412537545,28.5
0.001380384265,28.6
0.001348962883,28.7
0.001318256739,28.8
0.001288249552,28.9
0.001258925412,29
0.001230268771,29.1
0.001202264435,29.2
0.001174897555,29.3
0.001148153621,29.4
0.001122018454,29.5
0.001096478196,29.6
0.001071519305,29.7
0.001047128548,29.8
0.001023292992,29.9
0.001,30
0.000977237221,30.1
0.000954992586,30.2
0.0009332543008,30.3
0.0009120108394,30.4
0.0008912509381,30.5
0.00087096359,30.6
0.0008511380382,30.7
0.0008317637711,30.8
0.0008128305162,30.9
0.0007943282347,31
0.0007762471166,31.1
0.000758577575,31.2
0.0007413102413,31.3
0.0007244359601,31.4
0.0007079457844,31.5
0.0006918309709,31.6
0.0006760829754,31.7
0.000660693448,31.8
0.000645654229,31.9
0.0006309573445,32
0.0006165950019,32.1
0.0006025595861,32.2
0.0005888436554,32.3
0.0005754399373,32.4
0.0005623413252,32.5
0.0005495408739,32.6
0.0005370317964,32.7
0.0005248074602,32.8
0.000512861384,32.9
0.0005011872336,33
0.0004897788194,33.1
0.0004786300923,33.2
0.0004677351413,33.3
0.0004570881896,33.4
0.0004466835922,33.5
0.0004365158322,33.6
0.0004265795188,33.7
0.0004168693835,33.8
0.0004073802778,33.9
0.0003981071706,34
0.000389045145,34.1
0.0003801893963,34.2
0.0003715352291,34.3
0.0003630780548,34.4
0.0003548133892,34.5
0.0003467368505,34.6
0.0003388441561,34.7
0.0003311311215,34.8
0.0003235936569,34.9
0.000316227766,35
0.0003090295433,35.1
0.000301995172,35.2
0.0002951209227,35.3
0.0002884031503,35.4
0.0002818382931,35.5
0.0002754228703,35.6
0.0002691534804,35.7
0.0002630267992,35.8
0.0002570395783,35.9
0.0002511886432,36
0.0002454708916,36.1
0.0002398832919,36.2
0.0002344228815,36.3
0.0002290867653,36.4
0.0002238721139,36.5
0.0002187761624,36.6
0.000213796209,36.7
0.0002089296131,36.8
0.0002041737945,36.9
0.0001995262315,37
0.00019498446,37.1
0.0001905460718,37.2
0.0001862087137,37.3
0.0001819700859,37.4
0.000177827941,37.5
0.0001737800829,37.6
0.0001698243652,37.7
0.0001659586907,37.8
0.0001621810097,37.9
0.0001584893192,38
0.0001548816619,38.1
0.0001513561248,38.2
0.0001479108388,38.3
0.0001445439771,38.4
0.0001412537545,38.5
0.0001380384265,38.6
0.0001348962883,38.7
0.0001318256739,38.8
0.0001288249552,38.9
0.0001258925412,39
0.0001230268771,39.1
0.0001202264435,39.2
0.0001174897555,39.3
0.0001148153621,39.4
0.0001122018454,39.5
0.0001096478196,39.6
0.0001071519305,39.7
0.0001047128548,39.8
0.0001023292992,39.9
0.0001,40
9.77237221e-05,40.1
9.54992586e-05,40.2
9.332543008e-05,40.3
9.120108394e-05,40.4
8.912509381e-05,40.5
8.7096359e-05,40.6
8.511380382e-05,40.7
8.317637711e-05,40.8
8.128305162e-05,40.9
7.943282347e-05,41
7.762471166e-05,41.1
7.58577575e-05,41.2
7.413102413e-05,41.3
7.244359601e-05,41.4
7.079457844e-05,41.5
6.918309709e-05,41.6
6.760829754e-05,41.7
6.60693448e-05,41.8
6.45654229e-05,41.9
6.309573445e-05,42
6.165950019e-05,42.1
6.025595861e-05,42.2
5.888436554e-05,42.3
5.754399373e-05,42.4
5.623413252e-05,42.5
5.495408739e-05,42.6
5.370317964e-05,42.7
5.248074602e-05,42.8
5.12861384e-05,42.9
5.011872336e-05,43
4.897788194e-05,43.1
4.786300923e-05,43.2
4.677351413e-05,43.3
4.570881896e-05,43.4
4.466835922e-05,43.5
4.365158322e-05,43.6
4.265795188e-05,43.7
4.168693835e-05,43.8
4.073802778e-05,43.9
3.981071706e-05,44
3.89045145e-05,44.1
3.801893963e-05,44.2
3.715352291e-05,44.3
3.630780548e-05,44.4
3.548133892e-05,44.5
3.467368505e-05,44.6
3.388441561e-05,44.7
3.311311215e-05,44.8
3.235936569e-05,44.9
3.16227766e-05,45
3.090295433e-05,45.1
3.01995172e-05,45.2
2.951209227e-05,45.3
2.884031503e-05,45.4
2.818382931e-05,45.5
2.754228703e-05,45.6
2.691534804e-05,45.7
2.630267992e-05,45.8
2.570395783e-05,45.9
2.511886432e-05,46
2.454708916e-05,46.1
2.398832919e-05,46.2
2.344228815e-05,46.3
2.290867653e-05,46.4
2.238721139e-05,46.5
2.187761624e-05,46.6
2.13796209e-05,46.7
2.089296131e-05,46.8
2.041737945e-05,46.9
1.995262315e-05,47
1.9498446e-05,47.1
1.905460718e-05,47.2
1.862087137e-05,47.3
1.819700859e-05,47.4
1.77827941e-05,47.5
1.737800829e-05,47.6
1.698243652e-05,47.7
1.659586907e-05,47.8
1.621810097e-05,47.9
1.584893192e-05,48
1.548816619e-05,48.1
1.513561248e-05,48.2
1.479108388e-05,48.3
1.445439771e-05,48.4
1.412537545e-05,48.5
1.380384265e-05,48.6
1.348962883e-05,48.7
1.318256739e-05,48.8
1.288249552e-05,48.9
1.258925412e-05,49
1.230268771e-05,49.1
1.202264435e-05,49.2
1.174897555e-05,49.3
1.148153621e-05,49.4
1.122018454e-05,49.5
1.096478196e-05,49.6
1.071519305e-05,49.7
1.047128548e-05,49.8
1.023292992e-05,49.9
1e-05,50
9.77237221e-06,50.1
9.54992586e-06,50.2
9.332543008e-06,50.3
9.120108394e-06,50.4
8.912509381e-06,50.5
8.7096359e-06,50.6
8.511380382e-06,50.7
8.317637711e-06,50.8
8.128305162e-06,50.9
7.943282347e-06,51
7.762471166e-06,51.1
7.58577575e-06,51.2
7.413102413e-06,51.3
7.244359601e-06,51.4
7.079457844e-06,51.5
6.918309709e-06,51.6
6.760829754e-06,51.7
6.60693448e-06,51.8
6.45654229e-06,51.9
6.309573445e-06,52
6.165950019e-06,52.1
6.025595861e-06,52.2
5.888436554e-06,52.3
5.754399373e-06,52.4
5.623413252e-06,52.5
5.495408739e-06,52.6
5.370317964e-06,52.7
5.248074602e-06,52.8
5.12861384e-06,52.9
5.011872336e-06,53
4.897788194e-06,53.1
4.786300923e-06,53.2
4.677351413e-06,53.3
4.570881896e-06,53.4
4.466835922e-06,53.5
4.365158322e-06,53.6
4.265795188e-06,53.7
4.168693835e-06,53.8
4.073802778e-06,53.9
3.981071706e-06,54
3.89045145e-06,54.1
3.801893963e-06,54.2
3.715352291e-06,54.3
3.630780548e-06,54.4
3.548133892e-06,54.5
3.467368505e-06,54.6
3.388441561e-06,54.7
3.311311215e-06,54.8
3.235936569e-06,54.9
3.16227766e-06,55
3.090295433e-06,55.1
3.01995172e-06,55.2
2.951209227e-06,55.3
2.884031503e-06,55.4
2.818382931e-06,55.5
2.754228703e-06,55.6
2.691534804e-06,55.7
2.630267992e-06,55.8
2.570395783e-06,55.9
2.511886432e-06,56
2.454708916e-06,56.1
2.398832919e-06,56.2
2.344228815e-06,56.3
2.290867653e-06,56.4
2.238721139e-06,56.5
2.187761624e-06,56.6
2.13796209e-06,56.7
2.089296131e-06,56.8
2.041737945e-06,56.9
1.995262315e-06,57
1.9498446e-06,57.1
1.905460718e-06,57.2
1.862087137e-06,57.3
1.819700859e-06,57.4
1.77827941e-06,57.5
1.737800829e-06,57.6
1.698243652e-06,57.7
1.659586907e-06,57.8
1.621810097e-06,57.9
1.584893192e-06,58
1.548816619e-06,58.1
1.513561248e-06,58.2
1.479108388e-06,58.3
1.445439771e-06,58.4
1.412537545e-06,58.5
1.380384265e-06,58.6
1.348962883e-06,58.7
1.318256739e-06,58.8
1.288249552e-06,58.9
1.258925412e-06,59
1.230268771e-06,59.1
1.202264435e-06,59.2
1.174897555e-06,59.3
1.148153621e-06,59.4
1.122018454e-06,59.5
1.096478196e-06,59.6
1.071519305e-06,59.7
1.047128548e-06,59.8
1.023292992e-06,59.9
1e-06,60
