t_s,p_Pa,L_fast_dB_SPL
0.028375,2.56797904979e-05,1.67058880105
0.0285,5.68559907986e-07,1.66624824644
0.028625,1.20406800912e-06,1.66191603207
0.02875,1.95908434452e-05,1.66041567587
0.028875,6.71172604669e-05,1.689331362
0.029,1.1192959655e-05,1.6859106745
0.029125,6.4154711256e-05,1.71178781227
0.02925,0.000105454872288,1.78814141033
0.029375,5.42774023686e-05,1.8049483272
0.0295,0.0001026643382,1.8755145608
0.029625,2.91917804315e-05,1.87717796887
0.02975,7.24056283723e-05,1.90964170938
0.029875,5.65358744296e-05,1.92760927665
0.03,0.00010048248594,1.99306811797
0.030125,0.000100572511062,2.05761328827
0.03025,3.76980487076e-05,2.06287181362
0.030375,4.38100445435e-05,2.07147542333
0.0305,-6.23630291587e-06,2.06739468005
0.030625,4.02386010952e-05,2.07396468117
0.03075,1.58405003519e-05,2.0713121706
0.030875,-3.10857588234e-05,2.0734796255
0.031,-2.52219620863e-05,2.07342154426
0.031125,-2.12795228925e-05,2.07212909621
0.03125,-1.75937138313e-05,2.06987227152
0.031375,7.06942327287e-06,2.06586638527
0.0315,-2.3346866796e-05,2.06520157946
0.031625,-4.8094100234e-05,2.07644788529
0.03175,-6.05207191575e-05,2.09670150478
0.031875,-5.0179059431e-05,2.10920366952
0.032,-7.66753441115e-05,2.14397859696
0.032125,-3.66989004832e-05,2.14855644828
0.03225,-2.73650286095e-05,2.14917062736
0.032375,-5.74077910806e-05,2.16659861819
0.0325,-6.34704340644e-05,2.18874673324
0.032625,-4.28658872816e-06,2.18452437095
0.03275,-7.35121614597e-05,2.21553542421
0.032875,-2.39539157302e-05,2.21493318843
0.033,-3.11624606489e-05,2.21692011841
0.033125,-2.90739960271e-05,2.21808504135
0.03325,-1.61875605749e-05,2.21544979193
0.033375,4.17616051212e-05,2.22246696247
0.0335,3.36693514994e-05,2.22549958548
0.033625,2.50710125099e-05,2.22524482856
0.03375,4.80203437085e-05,2.23588210764
0.033875,1.46989484252e-05,2.23294151046
0.034,7.93535213918e-06,2.22900759953
0.034125,7.80485542074e-05,2.264092005
0.03425,8.25178363921e-05,2.30344502362
0.034375,7.63460172214e-05,2.336196935
0.0345,2.34520227815e-05,2.33534144044
0.034625,5.18166407128e-05,2.34800031825
0.03475,4.95505235785e-05,2.35916204193
0.034875,7.85775994055e-05,2.39360572466
0.035,6.7189884866e-05,2.4174323013
0.035125,6.20255527851e-05,2.43697542596
0.03525,5.77967994036e-05,2.45328715673
0.035375,6.07625484702e-05,2.4716819546
0.0355,2.0097282787e-05,2.46982170745
0.035625,-1.76599498048e-06,2.46549794655
0.03575,6.11029042808e-06,2.46138488317
0.035875,-2.5043079447e-05,2.46090547706
0.036,-4.93406871532e-07,2.45656403283
0.036125,-5.69336554845e-05,2.47217486661
0.03625,-1.34681859479e-05,2.46894695154
0.036375,-3.26246905657e-05,2.47114754089
0.0365,-4.72768483219e-05,2.4805272292
0.036625,-3.30240516403e-05,2.48287103446
0.03675,-8.39054888714e-05,2.5214901649
0.036875,-7.70344770377e-05,2.55306962367
0.037,-5.9533143286e-05,2.57006130229
0.037125,-7.65633077795e-05,2.60081138993
0.03725,-3.74334498563e-05,2.60482374844
0.037375,-4.73499008109e-05,2.61382921757
0.0375,-4.73447936231e-05,2.62280420963
0.037625,-2.46437555796e-05,2.62206617618
0.03775,-1.45805478096e-05,2.61898569659
0.037875,-4.84364189864e-05,2.62856440147
0.038,-6.49004749184e-06,2.62447124277
0.038125,4.31738581217e-05,2.63117883633
0.03825,2.69157023502e-05,2.63112750337
0.038375,3.51886889482e-05,2.63411733116
0.0385,7.20875265469e-05,2.66044451459
0.038625,9.93379999724e-05,2.71380999737
0.03875,6.9248666758e-05,2.73726372078
0.038875,2.11943271521e-05,2.73551809027
0.039,4.05311454963e-05,2.74067009362
0.039125,3.04889789999e-05,2.7416961285
0.03925,3.96313285104e-05,2.74641876747
0.039375,8.98689150684e-05,2.78844167532
0.0395,0.000101795587305,2.84293028504
0.039625,5.82193736956e-05,2.85767833749
0.03975,9.41427562923e-05,2.90291080575
0.039875,0.000105094298747,2.9596272105
0.04,3.97963925359e-05,2.96397850102
0.040125,2.54687608421e-06,2.95967116501
0.04025,8.2332321688e-06,2.95570069463
0.040375,2.27183189176e-05,2.95419555058
0.0405,-1.60370059079e-05,2.9512674146
0.040625,-2.57477642621e-06,2.94696096971
0.04075,-1.45207843791e-05,2.9437799214
0.040875,-3.25185212097e-05,2.94526516557
0.041,-5.80646590182e-05,2.95947081363
0.041125,-5.42244968625e-05,2.97125580586
0.04125,-9.65000254332e-05,3.01765063413
0.041375,-1.62310241195e-05,3.01473591504
0.0415,-5.24976762373e-05,3.02532096384
0.041625,-9.45807027798e-05,3.06912895032
0.04175,-9.49381922645e-05,3.1128153683
0.041875,-7.6663334458e-05,3.13953812372
0.042,-3.16589522685e-05,3.14047618504
0.042125,-2.40596391317e-05,3.13918337878
0.04225,-6.4041491947e-05,3.15641127314
0.042375,-7.18390992797e-05,3.17908740233
0.0425,-3.36134609467e-05,3.18064326515
0.042625,-4.52018781461e-05,3.18695786429
0.04275,-1.61161928468e-05,3.18396918211
0.042875,-3.11579099876e-05,3.1846894715
0.043,2.03523262486e-05,3.18250721742
0.043125,5.44863712735e-05,3.19363436118
0.04325,1.50313343719e-05,3.19046770609
0.043375,2.59906492521e-05,3.18964322466
0.0435,7.70846019535e-05,3.21615833952
0.043625,5.39116418068e-05,3.22684470617
0.04375,6.63258440524e-05,3.24517369155
0.043875,5.98809995163e-05,3.25924191361
0.044,9.57378522317e-05,3.30165576198
0.044125,5.10759844866e-05,3.31054244882
0.04425,5.64165995821e-05,3.32230209175
0.044375,4.17441053409e-05,3.32675871872
0.0445,5.77505903531e-05,3.33922461442
0.044625,5.20434478598e-05,3.34849831523
0.04475,8.19899560574e-05,3.37780107209
0.044875,4.04960408872e-05,3.38163481876
0.045,-6.46746753717e-06,3.37750043638
0.045125,3.02584379329e-05,3.37772475505
0.04525,2.82044877584e-05,3.37735013321
0.045375,-4.76699310101e-05,3.38433455684
0.0455,-2.81907934475e-05,3.38395005771
0.045625,-5.13917394929e-05,3.39274954759
0.04575,-8.78277600409e-05,3.42660269554
0.045875,-3.93228079678e-05,3.42988385802
0.046,-1.38372389284e-05,3.42648498445
0.046125,-8.29839009785e-05,3.45599424528
0.04625,-5.67492823154e-05,3.46740834336
0.046375,-8.89268251781e-05,3.50155472742
0.0465,-5.27307775025e-05,3.51067785313
0.046625,-5.84989614462e-05,3.52286758284
0.04675,-2.46717509358e-05,3.52146166416
0.046875,-4.99220290998e-05,3.52913524207
0.047,-5.43133029518e-05,3.53898713571
0.047125,-4.30290732093e-05,3.54353869939
0.04725,5.09606515261e-06,3.53932050767
0.047375,-1.35848787719e-05,3.53586487535
0.0475,-1.08523794589e-06,3.53152759821
0.047625,-1.12225125068e-05,3.52779130393
0.04775,6.73395215846e-05,3.5452561444
0.047875,6.25142675695e-05,3.55963887732
0.048,6.87672534512e-05,3.57787010079
0.048125,9.40539899711e-05,3.6154846325
0.04825,4.16689921041e-05,3.61933782343
0.048375,6.49569460504e-05,3.63486794427
0.0485,3.85992616272e-05,3.63752765082
0.048625,7.57203877308e-05,3.6600548614
0.04875,4.10703045853e-05,3.66359321409
0.048875,7.59187728744e-05,3.6860998404
0.049,4.68770783083e-05,3.69196023434
0.049125,3.87858972456e-05,3.69459550201
0.04925,3.73102079763e-05,3.69670634297
0.049375,6.49482779851e-05,3.71188115393
0.0495,5.43442929501e-05,3.721164566
0.049625,5.80101225189e-05,3.73231185069
0.04975,1.11687220323e-05,3.72854261079
0.049875,-2.69872276235e-05,3.72755114252
0.05,-2.599390543e-05,3.72631829464
0.050125,-1.00669508008e-05,3.72244209754
0.05025,-3.43889160825e-05,3.72354746267
0.050375,-7.06719233531e-05,3.74216241787
0.0505,-5.02817197146e-05,3.74940633992
0.050625,-1.71116353787e-05,3.74640466699
0.05075,-4.42443110126e-05,3.75102707832
0.050875,-6.94990947544e-05,3.76874859755
0.051,-7.13205609017e-05,3.78754433794
0.051125,-5.01200871446e-05,3.79459446686
0.05125,-6.80430386873e-05,3.81119274098
0.051375,-5.32404386961e-05,3.81963377685
0.0515,-2.81546739772e-05,3.81886274202
0.051625,-7.20563808758e-05,3.83786685861
0.05175,-2.37456064375e-05,3.83605434656
0.051875,-6.22057505783e-05,3.84905461924
0.052,-3.61055250214e-05,3.85054467031
0.052125,-8.37373795297e-07,3.84620486401
0.05225,1.64217937461e-05,3.84307001612
0.052375,-2.33534494828e-05,3.84117170797
0.0525,-1.16876354442e-05,3.8374414619
0.052625,1.58138482698e-05,3.83422109461
0.05275,8.421154925e-05,3.8616230873
0.052875,-5.05324735919e-06,3.85739414504
0.053,3.33466996955e-05,3.85801780308
0.053125,4.53603327495e-05,3.86285887965
0.05325,5.07114180434e-05,3.86997881723
0.053375,0.000124215835692,3.93385125217
0.0535,7.54354615674e-05,3.95442332034
0.053625,5.67033211304e-05,3.96410898181
0.05375,0.000101249738853,4.00423867394
0.053875,6.58134019923e-05,4.01856865265
0.054,8.06537356609e-05,4.04214708135
0.054125,4.84859721747e-05,4.04786084963
0.05425,6.57250142315e-05,4.06195508892
0.054375,4.27380815807e-05,4.06539227599
0.0545,1.71487108691e-05,4.06230190284
0.054625,4.89434788125e-05,4.0681587397
0.05475,-7.56749857931e-07,4.06381823286
0.054875,-1.10718055721e-05,4.05999764868
0.055,-3.11964013834e-05,4.05980370213
0.055125,-4.22985020021e-05,4.06308558076
0.05525,-6.85427654474e-05,4.07872085995
0.055375,-7.16692541863e-05,4.0961373066
0.0555,-0.000104101262484,4.13739362124
0.055625,-7.9380311979e-05,4.15937219765
0.05575,-9.32958184525e-05,4.1911636365
0.055875,-0.000104615919774,4.231878064
0.056,-8.85152075555e-05,4.25953794583
0.056125,-0.000105355649852,4.3001783971
0.05625,-8.30488733049e-05,4.32358162517
0.056375,-7.62595386335e-05,4.34251997274
0.0565,-3.75077274168e-05,4.34379591127
0.056625,-9.02368388236e-05,4.37186513014
0.05675,-3.79597444886e-05,4.37323849418
0.056875,-4.11025174834e-05,4.37559469595
0.057,-1.38712533768e-05,4.37201484027
0.057125,-9.8472682533e-06,4.36805679933
0.05725,1.95142826663e-05,4.3652265982
0.057375,3.76255050274e-05,4.36650839056
0.0575,7.13627998966e-05,4.38235953691
0.057625,0.000109725461342,4.42543503439
0.05775,7.01588215947e-05,4.44034956375
0.057875,8.25010863386e-05,4.46252209415
0.058,1.91444794557e-05,4.45960378943
0.058125,9.37899954732e-05,4.48934783608
0.05825,5.14996238743e-05,4.49524024714
0.058375,5.79720014412e-05,4.50384541538
0.0585,0.000100836885885,4.53848278341
0.058625,3.5648136127e-05,4.53899187709
0.05875,4.56741959808e-05,4.54261026898
0.058875,5.92996049154e-05,4.55166760412
0.059,3.77300633738e-05,4.55274315635
0.059125,5.9802016792e-05,4.56199645214
0.05925,6.215463008e-06,4.55780029225
0.059375,1.06601025889e-05,4.55388952539
0.0595,-1.38592888278e-05,4.55027771607
0.059625,2.08547655334e-05,4.5475914622
0.05975,-3.16026058327e-05,4.5470542461
0.059875,-2.56305157652e-05,4.54521525068
0.06,-5.001730477e-05,4.55040430171
0.060125,-1.10153923714e-05,4.54652360792
0.06025,-6.5979328531e-05,4.55874889758
0.060375,-5.00838850782e-05,4.56393361047
0.0605,-3.64599794297e-05,4.56463644958
0.060625,-5.79658305443e-05,4.57303395535
0.06075,-5.47037436598e-05,4.58001777123
0.060875,-7.92874188805e-05,4.59939738896
0.061,-0.000113779239288,4.64354986922
0.061125,-3.91409658518e-05,4.64491597761
0.06125,-8.2346867513e-05,4.66577782983
0.061375,-3.84390237897e-05,4.66691304189
0.0615,-7.09960537e-05,4.68122467969
0.061625,-3.32116741089e-05,4.68095738368
0.06175,-2.50105035016e-05,4.67892637064
0.061875,2.84104548554e-05,4.67756781869
0.062,1.04314444632e-05,4.67362745506
0.062125,5.66331311064e-06,4.66940328221
0.06225,5.36067619928e-05,4.67569951943
0.062375,8.72098980094e-06,4.67163808149
0.0625,5.39542725172e-05,4.67806699556
0.062625,3.7424351122e-05,4.67890231732
0.06275,6.15286188917e-05,4.6885393477
0.062875,6.85495983771e-05,4.70150379856
0.063,9.67228310911e-05,4.7314481793
0.063125,0.00011087324266,4.77179558207
0.06325,0.000117687745093,4.81730998349
0.063375,8.87663056681e-05,4.84110541926
0.0635,6.34175148679e-05,4.85106898962
0.063625,4.22154361419e-05,4.85305687357
0.06375,4.50492427299e-05,4.85591920232
0.063875,6.58604665888e-05,4.86695179008
0.064,8.16731711551e-06,4.86284510696
0.064125,3.83160456282e-05,4.86370401687
0.06425,1.95010531386e-05,4.86070885459
0.064375,-2.42469634043e-05,4.85845078978
0.0645,-2.48247399871e-05,4.85629438025
0.064625,-3.42372321286e-05,4.85611151198
0.06475,-4.76015484791e-05,4.8598069838
0.064875,-4.14148550075e-05,4.86154495487
0.065,-9.06581295492e-05,4.88625208021
0.065125,-7.64038586481e-05,4.90244531474
0.06525,-4.54166701162e-05,4.90534281827
0.065375,-5.25582002163e-05,4.91068719504
0.0655,-8.36238758175e-05,4.93079601385
0.065625,-2.67607873703e-05,4.92895188753
0.06575,-5.47569839797e-05,4.935065829
0.065875,-7.93924840433e-05,4.95264573757
0.066,-9.51578123195e-05,4.97963552239
0.066125,-5.76253012296e-05,4.98673800335
0.06625,-3.09895054496e-05,4.98570280015
0.066375,3.40231687065e-06,4.98139975036
0.0665,-6.04679605519e-06,4.97718294351
0.066625,8.45232487586e-06,4.97308669532
0.06675,-1.29624855767e-05,4.96932448865
0.066875,3.36039466358e-05,4.96888630393
0.067,4.07724659494e-05,4.97029112925
0.067125,6.26013580689e-05,4.97948146365
0.06725,3.38647026015e-05,4.97909482635
0.067375,4.93577373455e-05,4.98315271505
0.0675,8.22815513242e-05,5.0020942432
0.067625,4.40264778419e-05,5.0044013865
0.06775,7.45149968436e-05,5.01907087715
0.067875,8.10857022111e-05,5.03715647482
0.068,7.66979772358e-05,5.05280265661
0.068125,6.52592596978e-05,5.06288830124
0.06825,4.21987996324e-05,5.06457028037
0.068375,5.35771690364e-05,5.06993151195
0.0685,5.17311274378e-05,5.07462506848
0.068625,4.27213596255e-05,5.07644042816
0.06875,2.24409937056e-05,5.07379688734
0.068875,4.39492718115e-05,5.07597231547
0.069,1.43426912314e-06,5.07163631458
0.069125,-3.97543543404e-05,5.07263016322
0.06925,-2.12683540741e-05,5.06981503013
0.069375,1.70361512287e-05,5.0664530512
0.0695,-2.41157774511e-05,5.06407708827
0.069625,-5.74749883209e-05,5.07090105548
0.06975,-6.2601179762e-05,5.07978187374
0.069875,-8.78543369932e-05,5.10139215808
0.07,-5.04543027718e-05,5.10558359174
0.070125,-7.94629878312e-05,5.12235883096
0.07025,-8.30634580527e-05,5.14099726284
0.070375,-4.73965190668e-05,5.14411814234
0.0705,-1.93554000882e-05,5.14101991772
0.070625,-5.25756876291e-05,5.14585924635
0.07075,-3.26410010274e-05,5.14505387614
0.070875,-2.75607804627e-05,5.14323379028
0.071,-9.0932639032e-05,5.16628684668
0.071125,-2.93524658964e-05,5.16479137478
0.07125,-1.66978852736e-05,5.16137044752
0.071375,-4.11634947506e-05,5.16263215475
0.0715,5.50894537524e-06,5.15838962761
0.071625,3.67048068869e-05,5.15850658561
0.07175,5.22559194403e-05,5.16319826316
0.071875,-3.70642480276e-06,5.15890076791
0.072,9.12555041376e-05,5.18204905864
0.072125,3.02577726542e-05,5.18072092239
0.07225,4.4847834652e-05,5.18300046565
0.072375,8.97410102679e-05,5.20509990177
0.0725,6.6415180654e-05,5.2151862332
0.072625,6.25638003438e-05,5.22362032374
0.07275,5.49324650908e-05,5.22911173251
0.072875,5.33476717995e-05,5.23403277543
0.073,4.90728008208e-05,5.23752102999
0.073125,6.20281433816e-05,5.24567325141
0.07325,3.0719343969e-05,5.24439258668
0.073375,4.60556562045e-05,5.2469317901
0.0735,2.88902292746e-05,5.2452966347
0.073625,3.26444410373e-05,5.24441194772
0.07375,-2.37074924704e-05,5.24189365596
0.073875,7.39196608355e-06,5.23772823763
0.074,-8.83735448344e-06,5.23363927339
0.074125,-2.8413884562e-05,5.23192361493
0.07425,-4.28447686572e-05,5.23355440585
0.074375,-6.23358709549e-05,5.24184224817
0.0745,-5.91788441574e-05,5.2488630595
0.074625,-7.52835880451e-05,5.26286597921
0.07475,-0.000112082210206,5.29895316882
0.074875,-6.59881635168e-05,5.30855081021
0.075,-6.15925519231e-05,5.31632881407
0.075125,-8.47526453736e-05,5.33486663678
0.07525,-6.82138364019e-05,5.34529642759
0.075375,-4.60845123174e-05,5.34768611915
0.0755,-4.07593853884e-05,5.34860776816
0.075625,-4.01633780081e-05,5.3493755848
0.07575,-7.11086405796e-05,5.36103000907
0.075875,-4.42632448662e-05,5.36287599321
0.076,-1.32823692307e-05,5.35909046142
0.076125,-1.96526364913e-05,5.35596879033
0.07625,-1.10923976656e-06,5.35162973951
0.076375,6.91843219416e-05,5.3624236906
0.0765,1.52876781755e-06,5.35808813131
0.076625,1.09671818623e-05,5.35412564188
0.07675,2.59062111524e-05,5.35190706873
0.076875,5.73555436123e-05,5.35797245404
0.077,7.19592037164e-06,5.35379330728
0.077125,5.82490963221e-05,5.36018046626
0.07725,7.32486513234e-05,5.37276825956
