s_over_L,weak_response,higher_level_response
0.138000,0.00022377,0.11296674
0.140000,0.00024153,0.11525293
0.142000,0.00026061,0.11757420
0.144000,0.00028109,0.11993081
0.146000,0.00030306,0.12232300
0.148000,0.00032664,0.12475104
0.150000,0.00035193,0.12721517
0.152000,0.00037903,0.12971562
0.154000,0.00040807,0.13225262
0.156000,0.00043918,0.13482642
0.158000,0.00047249,0.13743722
0.160000,0.00050815,0.14008524
0.162000,0.00054629,0.14277069
0.164000,0.00058709,0.14549377
0.166000,0.00063070,0.14825468
0.168000,0.00067730,0.15105361
0.170000,0.00072709,0.15389072
0.172000,0.00078025,0.15676620
0.174000,0.00083700,0.15968021
0.176000,0.00089754,0.16263291
0.178000,0.00096212,0.16562444
0.180000,0.00103097,0.16865495
0.182000,0.00110434,0.17172456
0.184000,0.00118251,0.17483339
0.186000,0.00126575,0.17798157
0.188000,0.00135437,0.18116919
0.190000,0.00144865,0.18439634
0.192000,0.00154894,0.18766312
0.194000,0.00165558,0.19096960
0.196000,0.00176891,0.19431584
0.198000,0.00188931,0.19770189
0.200000,0.00201718,0.20112781
0.202000,0.00215292,0.20459361
0.204000,0.00229696,0.20809933
0.206000,0.00244975,0.21164497
0.208000,0.00261175,0.21523054
0.210000,0.00278346,0.21885602
0.212000,0.00296538,0.22252139
0.214000,0.00315805,0.22622662
0.216000,0.00336201,0.22997165
0.218000,0.00357785,0.23375642
0.220000,0.00380616,0.23758087
0.222000,0.00404757,0.24144491
0.224000,0.00430274,0.24534844
0.226000,0.00457233,0.24929135
0.228000,0.00485705,0.25327352
0.230000,0.00515762,0.25729480
0.232000,0.00547481,0.26135506
0.234000,0.00580940,0.26545413
0.236000,0.00616221,0.26959182
0.238000,0.00653406,0.27376794
0.240000,0.00692585,0.27798230
0.242000,0.00733846,0.28223467
0.244000,0.00777283,0.28652481
0.246000,0.00822993,0.29085249
0.248000,0.00871075,0.29521742
0.250000,0.00921631,0.29961935
0.252000,0.00974768,0.30405797
0.254000,0.01030594,0.30853297
0.256000,0.01089223,0.31304404
0.258000,0.01150769,0.31759084
0.260000,0.01215352,0.32217300
0.262000,0.01283093,0.32679018
0.264000,0.01354119,0.33144197
0.266000,0.01428559,0.33612799
0.268000,0.01506544,0.34084782
0.270000,0.01588209,0.34560102
0.272000,0.01673695,0.35038716
0.274000,0.01763141,0.35520577
0.276000,0.01856694,0.36005637
0.278000,0.01954502,0.36493847
0.280000,0.02056716,0.36985157
0.282000,0.02163490,0.37479514
0.284000,0.02274982,0.37976863
0.286000,0.02391352,0.38477150
0.288000,0.02512762,0.38980317
0.290000,0.02639379,0.39486305
0.292000,0.02771370,0.39995055
0.294000,0.02908906,0.40506503
0.296000,0.03052161,0.41020588
0.298000,0.03201308,0.41537243
0.300000,0.03356526,0.42056402
0.302000,0.03517993,0.42577997
0.304000,0.03685890,0.43101958
0.306000,0.03860399,0.43628214
0.308000,0.04041703,0.44156693
0.310000,0.04229987,0.44687320
0.312000,0.04425437,0.45220018
0.314000,0.04628238,0.45754712
0.316000,0.04838577,0.46291322
0.318000,0.05056641,0.46829767
0.320000,0.05282615,0.47369967
0.322000,0.05516686,0.47911837
0.324000,0.05759038,0.48455294
0.326000,0.06009856,0.49000251
0.328000,0.06269323,0.49546621
0.330000,0.06537620,0.50094314
0.332000,0.06814925,0.50643242
0.334000,0.07101416,0.51193311
0.336000,0.07397267,0.51744430
0.338000,0.07702647,0.52296504
0.340000,0.08017726,0.52849438
0.342000,0.08342665,0.53403134
0.344000,0.08677624,0.53957496
0.346000,0.09022758,0.54512424
0.348000,0.09378215,0.55067817
0.350000,0.09744140,0.55623574
0.352000,0.10120671,0.56179592
0.354000,0.10507938,0.56735768
0.356000,0.10906066,0.57291996
0.358000,0.11315173,0.57848172
0.360000,0.11735368,0.58404187
0.362000,0.12166751,0.58959935
0.364000,0.12609417,0.59515305
0.366000,0.13063447,0.60070189
0.368000,0.13528917,0.60624476
0.370000,0.14005889,0.61178054
0.372000,0.14494418,0.61730811
0.374000,0.14994546,0.62282634
0.376000,0.15506303,0.62833409
0.378000,0.16029710,0.63383022
0.380000,0.16564774,0.63931356
0.382000,0.17111487,0.64478297
0.384000,0.17669833,0.65023728
0.386000,0.18239779,0.65567531
0.388000,0.18821279,0.66109590
0.390000,0.19414273,0.66649786
0.392000,0.20018686,0.67188000
0.394000,0.20634427,0.67724115
0.396000,0.21261393,0.68258009
0.398000,0.21899461,0.68789566
0.400000,0.22548496,0.69318663
0.402000,0.23208345,0.69845182
0.404000,0.23878839,0.70369001
0.406000,0.24559790,0.70890002
0.408000,0.25250998,0.71408063
0.410000,0.25952241,0.71923063
0.412000,0.26663283,0.72434884
0.414000,0.27383869,0.72943403
0.416000,0.28113727,0.73448501
0.418000,0.28852568,0.73950057
0.420000,0.29600085,0.74447952
0.422000,0.30355953,0.74942066
0.424000,0.31119831,0.75432280
0.426000,0.31891358,0.75918473
0.428000,0.32670157,0.76400528
0.430000,0.33455835,0.76878326
0.432000,0.34247979,0.77351749
0.434000,0.35046162,0.77820681
0.436000,0.35849939,0.78285003
0.438000,0.36658847,0.78744601
0.440000,0.37472409,0.79199358
0.442000,0.38290131,0.79649160
0.444000,0.39111506,0.80093892
0.446000,0.39936008,0.80533443
0.448000,0.40763099,0.80967698
0.450000,0.41592226,0.81396547
0.452000,0.42422824,0.81819880
0.454000,0.43254313,0.82237586
0.456000,0.44086102,0.82649558
0.458000,0.44917586,0.83055688
0.460000,0.45748151,0.83455869
0.462000,0.46577173,0.83849998
0.464000,0.47404015,0.84237970
0.466000,0.48228035,0.84619682
0.468000,0.49048580,0.84995033
0.470000,0.49864991,0.85363924
0.472000,0.50676602,0.85726256
0.474000,0.51482741,0.86081932
0.476000,0.52282731,0.86430857
0.478000,0.53075892,0.86772937
0.480000,0.53861540,0.87108079
0.482000,0.54638991,0.87436192
0.484000,0.55407558,0.87757189
0.486000,0.56166554,0.88070981
0.488000,0.56915293,0.88377482
0.490000,0.57653093,0.88676609
0.492000,0.58379272,0.88968281
0.494000,0.59093155,0.89252416
0.496000,0.59794069,0.89528936
0.498000,0.60481350,0.89797766
0.500000,0.61154339,0.90058831
0.502000,0.61812386,0.90312058
0.504000,0.62454850,0.90557378
0.506000,0.63081101,0.90794721
0.508000,0.63690520,0.91024023
0.510000,0.64282500,0.91245218
0.512000,0.64856447,0.91458245
0.514000,0.65411782,0.91663044
0.516000,0.65947941,0.91859559
0.518000,0.66464377,0.92047733
0.520000,0.66960558,0.92227513
0.522000,0.67435972,0.92398850
0.524000,0.67890126,0.92561694
0.526000,0.68322546,0.92716001
0.528000,0.68732778,0.92861725
0.530000,0.69120392,0.92998826
0.532000,0.69484976,0.93127265
0.534000,0.69826146,0.93247006
0.536000,0.70143537,0.93358014
0.538000,0.70436811,0.93460259
0.540000,0.70705653,0.93553710
0.542000,0.70949776,0.93638342
0.544000,0.71168915,0.93714130
0.546000,0.71362836,0.93781053
0.548000,0.71531328,0.93839091
0.550000,0.71674209,0.93888228
0.552000,0.71791323,0.93928451
0.554000,0.71882545,0.93959747
0.556000,0.71947774,0.93982108
0.558000,0.71986940,0.93995527
0.560000,0.72000000,0.94000000
0.562000,0.71928924,0.93973983
0.564000,0.71716117,0.93895975
0.566000,0.71362836,0.93766105
0.568000,0.70871165,0.93584588
0.570000,0.70243991,0.93351727
0.572000,0.69484976,0.93067905
0.574000,0.68598527,0.92733591
0.576000,0.67589743,0.92349336
0.578000,0.66464377,0.91915772
0.580000,0.65228774,0.91433609
0.582000,0.63889814,0.90903633
0.584000,0.62454850,0.90326708
0.586000,0.60931637,0.89703768
0.588000,0.59328267,0.89035817
0.590000,0.57653093,0.88323927
0.592000,0.55914661,0.87569234
0.594000,0.54121635,0.86772937
0.596000,0.52282731,0.85936289
0.598000,0.50406640,0.85060604
0.600000,0.48501969,0.84147241
0.602000,0.46577173,0.83197613
0.604000,0.44640496,0.82213173
0.606000,0.42699917,0.81195416
0.608000,0.40763099,0.80145875
0.610000,0.38837341,0.79066115
0.612000,0.36929541,0.77957730
0.614000,0.35046162,0.76822339
0.616000,0.33193203,0.75661584
0.618000,0.31376175,0.74477124
0.620000,0.29600085,0.73270629
0.622000,0.27869428,0.72043782
0.624000,0.26188178,0.70798271
0.626000,0.24559790,0.69535784
0.628000,0.22987204,0.68258009
0.630000,0.21472855,0.66966630
0.632000,0.20018686,0.65663319
0.634000,0.18626166,0.64349737
0.636000,0.17296312,0.63027529
0.638000,0.16029710,0.61698321
0.640000,0.14826546,0.60363717
0.642000,0.13686627,0.59025294
0.644000,0.12609417,0.57684603
0.646000,0.11594064,0.56343161
0.648000,0.10639435,0.55002455
0.650000,0.09744140,0.53663934
0.652000,0.08906573,0.52329007
0.654000,0.08124935,0.50999044
0.656000,0.07397267,0.49675374
0.658000,0.06721478,0.48359278
0.660000,0.06095375,0.47051995
0.662000,0.05516686,0.45754712
0.664000,0.04983083,0.44468571
0.666000,0.04492212,0.43194662
0.668000,0.04041703,0.41934025
0.670000,0.03629198,0.40687647
0.672000,0.03252364,0.39456464
0.674000,0.02908906,0.38241359
0.676000,0.02596585,0.37043160
0.678000,0.02313222,0.35862643
0.680000,0.02056716,0.34700531
0.682000,0.01825045,0.33557493
0.684000,0.01616273,0.32434145
0.686000,0.01428559,0.31331051
0.688000,0.01260154,0.30248722
0.690000,0.01109408,0.29187619
0.692000,0.00974768,0.28148150
0.694000,0.00854777,0.27130675
0.696000,0.00748078,0.26135506
0.698000,0.00653406,0.25162906
0.700000,0.00569589,0.24213090
0.702000,0.00495544,0.23286231
0.704000,0.00430274,0.22382457
0.706000,0.00372863,0.21501852
0.708000,0.00322475,0.20644461
0.710000,0.00278346,0.19810287
0.712000,0.00239782,0.18999298
0.714000,0.00206153,0.18211424
0.716000,0.00176891,0.17446561
0.718000,0.00151483,0.16704570
0.720000,0.00129468,0.15985283
0.722000,0.00110434,0.15288502
0.724000,0.00094013,0.14613999
0.726000,0.00079876,0.13961523
0.728000,0.00067730,0.13330795
0.730000,0.00057318,0.12721517
0.732000,0.00048411,0.12133366
0.734000,0.00040807,0.11566001
0.736000,0.00034330,0.11019065
0.738000,0.00028824,0.10492182
0.740000,0.00024153,0.09984963
0.742000,0.00020199,0.09497005
0.744000,0.00016860,0.09027893
0.746000,0.00014044,0.08577204
0.748000,0.00011676,0.08144503
0.750000,0.00009688,0.07729351
0.752000,0.00008022,0.07331300
0.754000,0.00006630,0.06949900
0.756000,0.00005468,0.06584695
0.758000,0.00004502,0.06235228
0.760000,0.00003698,0.05901041
0.762000,0.00003032,0.05581673
0.764000,0.00002482,0.05276668
0.766000,0.00002027,0.04985568
0.768000,0.00001652,0.04707921
0.770000,0.00001344,0.04443275
0.772000,0.00001091,0.04191184
0.774000,0.00000884,0.03951208
0.776000,0.00000715,0.03722911
0.778000,0.00000577,0.03505863
0.780000,0.00000465,0.03299641
0.782000,0.00000374,0.03103832
0.784000,0.00000300,0.02918026
0.786000,0.00000240,0.02741824
0.788000,0.00000192,0.02574837
0.790000,0.00000153,0.02416681
0.792000,0.00000122,0.02266984
0.794000,0.00000097,0.02125383
0.796000,0.00000077,0.01991524
0.798000,0.00000061,0.01865063
0.800000,0.00000048,0.01745665
0.802000,0.00000038,0.01633007
0.804000,0.00000030,0.01526773
0.806000,0.00000023,0.01426660
0.808000,0.00000018,0.01332374
0.810000,0.00000014,0.01243631
0.812000,0.00000011,0.01160156
0.814000,0.00000009,0.01081685
0.816000,0.00000007,0.01007963
0.818000,0.00000005,0.00938746
0.820000,0.00000004,0.00873798
0.822000,0.00000003,0.00812894
0.824000,0.00000002,0.00755816
0.826000,0.00000002,0.00702356
0.828000,0.00000001,0.00652317
0.830000,0.00000001,0.00605508
0.832000,0.00000001,0.00561746
0.834000,0.00000001,0.00520859
0.836000,0.00000000,0.00482680
0.838000,0.00000000,0.00447053
0.840000,0.00000000,0.00413826
0.842000,0.00000000,0.00382856
0.844000,0.00000000,0.00354008
0.846000,0.00000000,0.00327153
0.848000,0.00000000,0.00302167
0.850000,0.00000000,0.00278936
0.852000,0.00000000,0.00257347
0.854000,0.00000000,0.00237299
0.856000,0.00000000,0.00218691
0.858000,0.00000000,0.00201431
0.860000,0.00000000,0.00185430
0.862000,0.00000000,0.00170606
0.864000,0.00000000,0.00156880
0.866000,0.00000000,0.00144178
0.868000,0.00000000,0.00132432
0.870000,0.00000000,0.00121575
0.872000,0.00000000,0.00111546
0.874000,0.00000000,0.00102289
0.876000,0.00000000,0.00093747
0.878000,0.00000000,0.00085871
0.880000,0.00000000,0.00078614
0.882000,0.00000000,0.00071930
0.884000,0.00000000,0.00065777
0.886000,0.00000000,0.00060118
0.888000,0.00000000,0.00054915
0.890000,0.00000000,0.00050135
0.892000,0.00000000,0.00045745
0.894000,0.00000000,0.00041717
0.896000,0.00000000,0.00038022
0.898000,0.00000000,0.00034636
0.900000,0.00000000,0.00031533
0.902000,0.00000000,0.00028693
0.904000,0.00000000,0.00026094
0.906000,0.00000000,0.00023717
0.908000,0.00000000,0.00021545
0.910000,0.00000000,0.00019561
0.912000,0.00000000,0.00017750
0.914000,0.00000000,0.00016097
0.916000,0.00000000,0.00014591
0.918000,0.00000000,0.00013218
0.920000,0.00000000,0.00011967
0.922000,0.00000000,0.00010829
0.924000,0.00000000,0.00009794
0.926000,0.00000000,0.00008853
0.928000,0.00000000,0.00007998
0.930000,0.00000000,0.00007221
0.932000,0.00000000,0.00006516
0.934000,0.00000000,0.00005877
0.936000,0.00000000,0.00005298
0.938000,0.00000000,0.00004773
0.940000,0.00000000,0.00004297
0.942000,0.00000000,0.00003867
0.944000,0.00000000,0.00003478
0.946000,0.00000000,0.00003126
0.948000,0.00000000,0.00002809
0.950000,0.00000000,0.00002522
0.952000,0.00000000,0.00002263
0.954000,0.00000000,0.00002030
0.956000,0.00000000,0.00001820
0.958000,0.00000000,0.00001630
0.960000,0.00000000,0.00001460
0.962000,0.00000000,0.00001307
0.964000,0.00000000,0.00001169
0.966000,0.00000000,0.00001045
0.968000,0.00000000,0.00000933
0.970000,0.00000000,0.00000833
0.972000,0.00000000,0.00000744
0.974000,0.00000000,0.00000663
0.976000,0.00000000,0.00000591
0.978000,0.00000000,0.00000527
0.980000,0.00000000,0.00000469
0.982000,0.00000000,0.00000418
0.984000,0.00000000,0.00000372
0.986000,0.00000000,0.00000330
0.988000,0.00000000,0.00000293
0.990000,0.00000000,0.00000261
0.992000,0.00000000,0.00000231
0.994000,0.00000000,0.00000205
0.996000,0.00000000,0.00000182
0.998000,0.00000000,0.00000161
1.000000,0.00000000,0.00000143
