t_s,sine_mPa,random_mPa
0.0185,-1.34499702393,0.983035126471
0.01875,-1.41421356237,1.43813853804
0.019,-1.34499702393,1.05073686988
0.01925,-1.14412280564,0.661642257271
0.0195,-0.831253875555,0.557181285119
0.01975,-0.437016024449,0.280064990218
0.02,-1.15315600609e-15,-0.329919482202
0.02025,0.437016024449,-0.687226688849
0.0205,0.831253875555,-0.314240296494
0.02075,1.14412280564,0.317138050838
0.021,1.34499702393,0.255120082477
0.02125,1.41421356237,-0.645965748449
0.0215,1.34499702393,-1.36533974986
0.02175,1.14412280564,-0.981064371164
0.022,0.831253875555,0.0561569675249
0.02225,0.437016024449,0.498384605431
0.0225,1.79109458511e-15,-0.0190618057373
0.02275,-0.437016024449,-0.536199535473
0.023,-0.831253875555,-0.0914695172754
0.02325,-1.14412280564,1.00684489224
0.0235,-1.34499702393,1.5054363194
0.02375,-1.41421356237,0.685254615905
0.024,-1.34499702393,-0.74029073372
0.02425,-1.14412280564,-1.42119726118
0.0245,-0.831253875555,-0.881319119979
0.02475,-0.437016024449,0.210374129218
0.025,3.5247574392e-15,1.07633485065
0.02525,0.437016024449,1.44593917544
0.0255,0.831253875555,1.26979822261
0.02575,1.14412280564,0.587107165921
0.026,1.34499702393,-0.325933541241
0.02625,1.41421356237,-1.16472207568
0.0265,1.34499702393,-1.76734913469
0.02675,1.14412280564,-1.77478772371
0.027,0.831253875555,-0.663654098073
0.02725,0.437016024449,1.31825041777
0.0275,-2.88681886018e-15,2.72973700385
0.02775,-0.437016024449,2.23906426898
0.028,-0.831253875555,0.235724207592
0.02825,-1.14412280564,-1.52224279622
0.0285,-1.34499702393,-1.86848138045
0.02875,-1.41421356237,-1.20443643256
0.029,-1.34499702393,-0.501255748745
0.02925,-1.14412280564,-0.119350768051
0.0295,-0.831253875555,0.0778204694963
0.02975,-0.437016024449,0.111594154661
0.03,-1.84592085108e-15,-0.056027830095
0.03025,0.437016024449,-0.140076938605
0.0305,0.831253875555,0.277412143843
0.03075,1.14412280564,1.12853869611
0.031,1.34499702393,1.72826826029
0.03125,1.41421356237,1.41428684581
0.0315,1.34499702393,0.242141820554
0.03175,1.14412280564,-0.994315873519
0.032,0.831253875555,-1.38871011259
0.03225,0.437016024449,-0.628283554634
0.0325,-2.54043643769e-15,0.739452297341
0.03275,-0.437016024449,1.66351491092
0.033,-0.831253875555,1.40593176784
0.03325,-1.14412280564,0.213359408773
0.0335,-1.34499702393,-0.93781208612
0.03375,-1.41421356237,-1.37400520935
0.034,-1.34499702393,-1.24217703206
0.03425,-1.14412280564,-0.918412095387
0.0345,-0.831253875555,-0.396604183223
0.03475,-0.437016024449,0.389046667321
0.035,7.856288462e-15,0.999591445455
0.03525,0.437016024449,0.773973924476
0.0355,0.831253875555,-0.295706121733
0.03575,1.14412280564,-1.33095331682
0.036,1.34499702393,-1.43901958803
0.03625,1.41421356237,-0.639684326985
0.0365,1.34499702393,0.32276257515
0.03675,1.14412280564,0.884976633322
0.037,0.831253875555,1.03126003219
0.03725,0.437016024449,0.959269397077
0.0375,-2.1940540152e-15,0.843857449304
0.03775,-0.437016024449,0.864353450121
0.038,-0.831253875555,1.0326389176
0.03825,-1.14412280564,0.971097135159
0.0385,-1.34499702393,0.262909620454
0.03875,-1.41421356237,-0.87621107523
0.039,-1.34499702393,-1.64825435065
0.03925,-1.14412280564,-1.5395354881
0.0395,-0.831253875555,-0.811064973045
0.03975,-0.437016024449,-0.0443607766333
0.04,-2.53868569607e-15,0.418395197482
0.04025,0.437016024449,0.535896484818
0.0405,0.831253875555,0.502461232443
0.04075,1.14412280564,0.638976713427
0.041,1.34499702393,0.932816980926
0.04125,1.41421356237,0.79034838499
0.0415,1.34499702393,-0.244869559186
0.04175,1.14412280564,-1.62400423223
0.042,0.831253875555,-2.17896160789
0.04225,0.437016024449,-1.39173850646
0.0425,-1.8476715927e-15,0.0857504455116
0.04275,-0.437016024449,1.17145534166
0.043,-0.831253875555,1.36469614345
0.04325,-1.14412280564,0.978577693744
0.0435,-1.34499702393,0.490138902752
0.04375,-1.41421356237,-0.0551105060085
0.044,-1.34499702393,-0.713774004475
0.04425,-1.14412280564,-1.02372346044
0.0445,-0.831253875555,-0.368522042863
0.04475,-0.437016024449,1.01669857523
0.045,-2.88506811856e-15,1.99915213922
0.04525,0.437016024449,1.7390415066
0.0455,0.831253875555,0.580820028867
0.04575,1.14412280564,-0.446884720386
0.046,1.34499702393,-0.769469088346
0.04625,1.41421356237,-0.669535656768
0.0465,1.34499702393,-0.669000856567
0.04675,1.14412280564,-0.775275112762
0.047,0.831253875555,-0.527438988005
0.04725,0.437016024449,0.228413370935
0.0475,-1.50128917021e-15,0.925293384042
0.04775,-0.437016024449,0.921646280931
0.048,-0.831253875555,0.340102220602
0.04825,-1.14412280564,-0.175864407311
0.0485,-1.34499702393,-0.464524752863
0.04875,-1.41421356237,-1.06657328909
0.049,-1.34499702393,-2.2110766449
0.04925,-1.14412280564,-3.00893525565
0.0495,-0.831253875555,-2.23113934382
0.04975,-0.437016024449,0.106224982489
