s_over_L,condition,response_normalized_common_scale
0.204000,nivel_debil,0.00229696
0.206000,nivel_debil,0.00244975
0.208000,nivel_debil,0.00261175
0.210000,nivel_debil,0.00278346
0.212000,nivel_debil,0.00296538
0.214000,nivel_debil,0.00315805
0.216000,nivel_debil,0.00336201
0.218000,nivel_debil,0.00357785
0.220000,nivel_debil,0.00380616
0.222000,nivel_debil,0.00404757
0.224000,nivel_debil,0.00430274
0.226000,nivel_debil,0.00457233
0.228000,nivel_debil,0.00485705
0.230000,nivel_debil,0.00515762
0.232000,nivel_debil,0.00547481
0.234000,nivel_debil,0.00580940
0.236000,nivel_debil,0.00616221
0.238000,nivel_debil,0.00653406
0.240000,nivel_debil,0.00692585
0.242000,nivel_debil,0.00733846
0.244000,nivel_debil,0.00777283
0.246000,nivel_debil,0.00822993
0.248000,nivel_debil,0.00871075
0.250000,nivel_debil,0.00921631
0.252000,nivel_debil,0.00974768
0.254000,nivel_debil,0.01030594
0.256000,nivel_debil,0.01089223
0.258000,nivel_debil,0.01150769
0.260000,nivel_debil,0.01215352
0.262000,nivel_debil,0.01283093
0.264000,nivel_debil,0.01354119
0.266000,nivel_debil,0.01428559
0.268000,nivel_debil,0.01506544
0.270000,nivel_debil,0.01588209
0.272000,nivel_debil,0.01673695
0.274000,nivel_debil,0.01763141
0.276000,nivel_debil,0.01856694
0.278000,nivel_debil,0.01954502
0.280000,nivel_debil,0.02056716
0.282000,nivel_debil,0.02163490
0.284000,nivel_debil,0.02274982
0.286000,nivel_debil,0.02391352
0.288000,nivel_debil,0.02512762
0.290000,nivel_debil,0.02639379
0.292000,nivel_debil,0.02771370
0.294000,nivel_debil,0.02908906
0.296000,nivel_debil,0.03052161
0.298000,nivel_debil,0.03201308
0.300000,nivel_debil,0.03356526
0.302000,nivel_debil,0.03517993
0.304000,nivel_debil,0.03685890
0.306000,nivel_debil,0.03860399
0.308000,nivel_debil,0.04041703
0.310000,nivel_debil,0.04229987
0.312000,nivel_debil,0.04425437
0.314000,nivel_debil,0.04628238
0.316000,nivel_debil,0.04838577
0.318000,nivel_debil,0.05056641
0.320000,nivel_debil,0.05282615
0.322000,nivel_debil,0.05516686
0.324000,nivel_debil,0.05759038
0.326000,nivel_debil,0.06009856
0.328000,nivel_debil,0.06269323
0.330000,nivel_debil,0.06537620
0.332000,nivel_debil,0.06814925
0.334000,nivel_debil,0.07101416
0.336000,nivel_debil,0.07397267
0.338000,nivel_debil,0.07702647
0.340000,nivel_debil,0.08017726
0.342000,nivel_debil,0.08342665
0.344000,nivel_debil,0.08677624
0.346000,nivel_debil,0.09022758
0.348000,nivel_debil,0.09378215
0.350000,nivel_debil,0.09744140
0.352000,nivel_debil,0.10120671
0.354000,nivel_debil,0.10507938
0.356000,nivel_debil,0.10906066
0.358000,nivel_debil,0.11315173
0.360000,nivel_debil,0.11735368
0.362000,nivel_debil,0.12166751
0.364000,nivel_debil,0.12609417
0.366000,nivel_debil,0.13063447
0.368000,nivel_debil,0.13528917
0.370000,nivel_debil,0.14005889
0.372000,nivel_debil,0.14494418
0.374000,nivel_debil,0.14994546
0.376000,nivel_debil,0.15506303
0.378000,nivel_debil,0.16029710
0.380000,nivel_debil,0.16564774
0.382000,nivel_debil,0.17111487
0.384000,nivel_debil,0.17669833
0.386000,nivel_debil,0.18239779
0.388000,nivel_debil,0.18821279
0.390000,nivel_debil,0.19414273
0.392000,nivel_debil,0.20018686
0.394000,nivel_debil,0.20634427
0.396000,nivel_debil,0.21261393
0.398000,nivel_debil,0.21899461
0.400000,nivel_debil,0.22548496
0.402000,nivel_debil,0.23208345
0.404000,nivel_debil,0.23878839
0.406000,nivel_debil,0.24559790
0.408000,nivel_debil,0.25250998
0.410000,nivel_debil,0.25952241
0.412000,nivel_debil,0.26663283
0.414000,nivel_debil,0.27383869
0.416000,nivel_debil,0.28113727
0.418000,nivel_debil,0.28852568
0.420000,nivel_debil,0.29600085
0.422000,nivel_debil,0.30355953
0.424000,nivel_debil,0.31119831
0.426000,nivel_debil,0.31891358
0.428000,nivel_debil,0.32670157
0.430000,nivel_debil,0.33455835
0.432000,nivel_debil,0.34247979
0.434000,nivel_debil,0.35046162
0.436000,nivel_debil,0.35849939
0.438000,nivel_debil,0.36658847
0.440000,nivel_debil,0.37472409
0.442000,nivel_debil,0.38290131
0.444000,nivel_debil,0.39111506
0.446000,nivel_debil,0.39936008
0.448000,nivel_debil,0.40763099
0.450000,nivel_debil,0.41592226
0.452000,nivel_debil,0.42422824
0.454000,nivel_debil,0.43254313
0.456000,nivel_debil,0.44086102
0.458000,nivel_debil,0.44917586
0.460000,nivel_debil,0.45748151
0.462000,nivel_debil,0.46577173
0.464000,nivel_debil,0.47404015
0.466000,nivel_debil,0.48228035
0.468000,nivel_debil,0.49048580
0.470000,nivel_debil,0.49864991
0.472000,nivel_debil,0.50676602
0.474000,nivel_debil,0.51482741
0.476000,nivel_debil,0.52282731
0.478000,nivel_debil,0.53075892
0.480000,nivel_debil,0.53861540
0.482000,nivel_debil,0.54638991
0.484000,nivel_debil,0.55407558
0.486000,nivel_debil,0.56166554
0.488000,nivel_debil,0.56915293
0.490000,nivel_debil,0.57653093
0.492000,nivel_debil,0.58379272
0.494000,nivel_debil,0.59093155
0.496000,nivel_debil,0.59794069
0.498000,nivel_debil,0.60481350
0.500000,nivel_debil,0.61154339
0.502000,nivel_debil,0.61812386
0.504000,nivel_debil,0.62454850
0.506000,nivel_debil,0.63081101
0.508000,nivel_debil,0.63690520
0.510000,nivel_debil,0.64282500
0.512000,nivel_debil,0.64856447
0.514000,nivel_debil,0.65411782
0.516000,nivel_debil,0.65947941
0.518000,nivel_debil,0.66464377
0.520000,nivel_debil,0.66960558
0.522000,nivel_debil,0.67435972
0.524000,nivel_debil,0.67890126
0.526000,nivel_debil,0.68322546
0.528000,nivel_debil,0.68732778
0.530000,nivel_debil,0.69120392
0.532000,nivel_debil,0.69484976
0.534000,nivel_debil,0.69826146
0.536000,nivel_debil,0.70143537
0.538000,nivel_debil,0.70436811
0.540000,nivel_debil,0.70705653
0.542000,nivel_debil,0.70949776
0.544000,nivel_debil,0.71168915
0.546000,nivel_debil,0.71362836
0.548000,nivel_debil,0.71531328
0.550000,nivel_debil,0.71674209
0.552000,nivel_debil,0.71791323
0.554000,nivel_debil,0.71882545
0.556000,nivel_debil,0.71947774
0.558000,nivel_debil,0.71986940
0.560000,nivel_debil,0.72000000
0.562000,nivel_debil,0.71928924
0.564000,nivel_debil,0.71716117
0.566000,nivel_debil,0.71362836
0.568000,nivel_debil,0.70871165
0.570000,nivel_debil,0.70243991
0.572000,nivel_debil,0.69484976
0.574000,nivel_debil,0.68598527
0.576000,nivel_debil,0.67589743
0.578000,nivel_debil,0.66464377
0.580000,nivel_debil,0.65228774
0.582000,nivel_debil,0.63889814
0.584000,nivel_debil,0.62454850
0.586000,nivel_debil,0.60931637
0.588000,nivel_debil,0.59328267
0.590000,nivel_debil,0.57653093
0.592000,nivel_debil,0.55914661
0.594000,nivel_debil,0.54121635
0.596000,nivel_debil,0.52282731
0.598000,nivel_debil,0.50406640
0.600000,nivel_debil,0.48501969
0.602000,nivel_debil,0.46577173
0.604000,nivel_debil,0.44640496
0.606000,nivel_debil,0.42699917
0.608000,nivel_debil,0.40763099
0.610000,nivel_debil,0.38837341
0.612000,nivel_debil,0.36929541
0.614000,nivel_debil,0.35046162
0.616000,nivel_debil,0.33193203
0.618000,nivel_debil,0.31376175
0.620000,nivel_debil,0.29600085
0.622000,nivel_debil,0.27869428
0.624000,nivel_debil,0.26188178
0.626000,nivel_debil,0.24559790
0.628000,nivel_debil,0.22987204
0.630000,nivel_debil,0.21472855
0.632000,nivel_debil,0.20018686
0.634000,nivel_debil,0.18626166
0.636000,nivel_debil,0.17296312
0.638000,nivel_debil,0.16029710
0.640000,nivel_debil,0.14826546
0.642000,nivel_debil,0.13686627
0.644000,nivel_debil,0.12609417
0.646000,nivel_debil,0.11594064
0.648000,nivel_debil,0.10639435
0.650000,nivel_debil,0.09744140
0.652000,nivel_debil,0.08906573
0.654000,nivel_debil,0.08124935
0.656000,nivel_debil,0.07397267
0.658000,nivel_debil,0.06721478
0.660000,nivel_debil,0.06095375
0.662000,nivel_debil,0.05516686
0.664000,nivel_debil,0.04983083
0.666000,nivel_debil,0.04492212
0.668000,nivel_debil,0.04041703
0.670000,nivel_debil,0.03629198
0.672000,nivel_debil,0.03252364
0.674000,nivel_debil,0.02908906
0.676000,nivel_debil,0.02596585
0.678000,nivel_debil,0.02313222
0.680000,nivel_debil,0.02056716
0.682000,nivel_debil,0.01825045
0.684000,nivel_debil,0.01616273
0.686000,nivel_debil,0.01428559
0.688000,nivel_debil,0.01260154
0.690000,nivel_debil,0.01109408
0.692000,nivel_debil,0.00974768
0.694000,nivel_debil,0.00854777
0.696000,nivel_debil,0.00748078
0.698000,nivel_debil,0.00653406
0.700000,nivel_debil,0.00569589
0.702000,nivel_debil,0.00495544
0.704000,nivel_debil,0.00430274
0.706000,nivel_debil,0.00372863
0.708000,nivel_debil,0.00322475
0.710000,nivel_debil,0.00278346
0.712000,nivel_debil,0.00239782
0.714000,nivel_debil,0.00206153
0.716000,nivel_debil,0.00176891
0.718000,nivel_debil,0.00151483
0.720000,nivel_debil,0.00129468
0.722000,nivel_debil,0.00110434
0.724000,nivel_debil,0.00094013
0.726000,nivel_debil,0.00079876
0.728000,nivel_debil,0.00067730
0.730000,nivel_debil,0.00057318
0.732000,nivel_debil,0.00048411
0.734000,nivel_debil,0.00040807
0.736000,nivel_debil,0.00034330
0.738000,nivel_debil,0.00028824
0.740000,nivel_debil,0.00024153
0.742000,nivel_debil,0.00020199
0.744000,nivel_debil,0.00016860
0.746000,nivel_debil,0.00014044
0.748000,nivel_debil,0.00011676
0.750000,nivel_debil,0.00009688
0.752000,nivel_debil,0.00008022
0.754000,nivel_debil,0.00006630
0.756000,nivel_debil,0.00005468
0.758000,nivel_debil,0.00004502
0.760000,nivel_debil,0.00003698
0.762000,nivel_debil,0.00003032
0.764000,nivel_debil,0.00002482
0.766000,nivel_debil,0.00002027
0.768000,nivel_debil,0.00001652
0.770000,nivel_debil,0.00001344
0.772000,nivel_debil,0.00001091
0.774000,nivel_debil,0.00000884
0.776000,nivel_debil,0.00000715
0.778000,nivel_debil,0.00000577
0.780000,nivel_debil,0.00000465
0.782000,nivel_debil,0.00000374
0.784000,nivel_debil,0.00000300
0.786000,nivel_debil,0.00000240
0.788000,nivel_debil,0.00000192
0.790000,nivel_debil,0.00000153
0.792000,nivel_debil,0.00000122
0.794000,nivel_debil,0.00000097
0.796000,nivel_debil,0.00000077
0.798000,nivel_debil,0.00000061
0.800000,nivel_debil,0.00000048
0.802000,nivel_debil,0.00000038
0.804000,nivel_debil,0.00000030
0.806000,nivel_debil,0.00000023
0.808000,nivel_debil,0.00000018
0.810000,nivel_debil,0.00000014
0.812000,nivel_debil,0.00000011
0.814000,nivel_debil,0.00000009
0.816000,nivel_debil,0.00000007
0.818000,nivel_debil,0.00000005
0.820000,nivel_debil,0.00000004
0.822000,nivel_debil,0.00000003
0.824000,nivel_debil,0.00000002
0.826000,nivel_debil,0.00000002
0.828000,nivel_debil,0.00000001
0.830000,nivel_debil,0.00000001
0.832000,nivel_debil,0.00000001
0.834000,nivel_debil,0.00000001
0.836000,nivel_debil,0.00000000
0.838000,nivel_debil,0.00000000
0.840000,nivel_debil,0.00000000
0.842000,nivel_debil,0.00000000
0.844000,nivel_debil,0.00000000
0.846000,nivel_debil,0.00000000
0.848000,nivel_debil,0.00000000
0.850000,nivel_debil,0.00000000
0.852000,nivel_debil,0.00000000
0.854000,nivel_debil,0.00000000
0.856000,nivel_debil,0.00000000
0.858000,nivel_debil,0.00000000
0.860000,nivel_debil,0.00000000
0.862000,nivel_debil,0.00000000
0.864000,nivel_debil,0.00000000
0.866000,nivel_debil,0.00000000
0.868000,nivel_debil,0.00000000
0.870000,nivel_debil,0.00000000
0.872000,nivel_debil,0.00000000
0.874000,nivel_debil,0.00000000
0.876000,nivel_debil,0.00000000
0.878000,nivel_debil,0.00000000
0.880000,nivel_debil,0.00000000
0.882000,nivel_debil,0.00000000
0.884000,nivel_debil,0.00000000
0.886000,nivel_debil,0.00000000
0.888000,nivel_debil,0.00000000
0.890000,nivel_debil,0.00000000
0.892000,nivel_debil,0.00000000
0.894000,nivel_debil,0.00000000
0.896000,nivel_debil,0.00000000
0.898000,nivel_debil,0.00000000
0.900000,nivel_debil,0.00000000
0.902000,nivel_debil,0.00000000
0.904000,nivel_debil,0.00000000
0.906000,nivel_debil,0.00000000
0.908000,nivel_debil,0.00000000
0.910000,nivel_debil,0.00000000
0.912000,nivel_debil,0.00000000
0.914000,nivel_debil,0.00000000
0.916000,nivel_debil,0.00000000
0.918000,nivel_debil,0.00000000
0.920000,nivel_debil,0.00000000
0.922000,nivel_debil,0.00000000
0.924000,nivel_debil,0.00000000
0.926000,nivel_debil,0.00000000
0.928000,nivel_debil,0.00000000
0.930000,nivel_debil,0.00000000
0.932000,nivel_debil,0.00000000
0.934000,nivel_debil,0.00000000
0.936000,nivel_debil,0.00000000
0.938000,nivel_debil,0.00000000
0.940000,nivel_debil,0.00000000
0.942000,nivel_debil,0.00000000
0.944000,nivel_debil,0.00000000
0.946000,nivel_debil,0.00000000
0.948000,nivel_debil,0.00000000
0.950000,nivel_debil,0.00000000
0.952000,nivel_debil,0.00000000
0.954000,nivel_debil,0.00000000
0.956000,nivel_debil,0.00000000
0.958000,nivel_debil,0.00000000
0.960000,nivel_debil,0.00000000
0.962000,nivel_debil,0.00000000
0.964000,nivel_debil,0.00000000
0.966000,nivel_debil,0.00000000
0.968000,nivel_debil,0.00000000
0.970000,nivel_debil,0.00000000
0.972000,nivel_debil,0.00000000
0.974000,nivel_debil,0.00000000
0.976000,nivel_debil,0.00000000
0.978000,nivel_debil,0.00000000
0.980000,nivel_debil,0.00000000
0.982000,nivel_debil,0.00000000
0.984000,nivel_debil,0.00000000
0.986000,nivel_debil,0.00000000
0.988000,nivel_debil,0.00000000
0.990000,nivel_debil,0.00000000
0.992000,nivel_debil,0.00000000
0.994000,nivel_debil,0.00000000
0.996000,nivel_debil,0.00000000
0.998000,nivel_debil,0.00000000
1.000000,nivel_debil,0.00000000
