level_relative_dB,detection_probability
5.10,0.84553473
5.20,0.84983829
5.30,0.85404265
5.40,0.85814894
5.50,0.86215834
5.60,0.86607211
5.70,0.86989153
5.80,0.87361791
5.90,0.87725263
6.00,0.88079708
6.10,0.88425268
6.20,0.88762089
6.30,0.89090318
6.40,0.89410104
6.50,0.89721598
6.60,0.90024951
6.70,0.90320317
6.80,0.90607850
6.90,0.90887704
7.00,0.91160032
7.10,0.91424990
7.20,0.91682730
7.30,0.91933408
7.40,0.92177174
7.50,0.92414182
7.60,0.92644582
7.70,0.92868525
7.80,0.93086158
7.90,0.93297629
8.00,0.93503083
8.10,0.93702664
8.20,0.93896515
8.30,0.94084775
8.40,0.94267582
8.50,0.94445074
8.60,0.94617384
8.70,0.94784644
8.80,0.94946984
8.90,0.95104532
9.00,0.95257413
9.10,0.95405750
9.20,0.95549664
9.30,0.95689275
9.40,0.95824696
9.50,0.95956044
9.60,0.96083428
9.70,0.96206958
9.80,0.96326741
9.90,0.96442881
10.00,0.96555480
10.10,0.96664639
10.20,0.96770454
10.30,0.96873020
10.40,0.96972431
10.50,0.97068777
10.60,0.97162147
10.70,0.97252627
10.80,0.97340301
10.90,0.97425251
11.00,0.97507557
11.10,0.97587298
11.20,0.97664548
11.30,0.97739383
11.40,0.97811873
11.50,0.97882089
11.60,0.97950099
11.70,0.98015969
11.80,0.98079765
11.90,0.98141548
12.00,0.98201379
12.10,0.98259318
12.20,0.98315423
12.30,0.98369750
12.40,0.98422353
12.50,0.98473285
12.60,0.98522597
12.70,0.98570339
12.80,0.98616561
12.90,0.98661308
13.00,0.98704627
13.10,0.98746562
13.20,0.98787157
13.30,0.98826452
13.40,0.98864488
13.50,0.98901306
13.60,0.98936942
13.70,0.98971435
13.80,0.99004820
13.90,0.99037132
14.00,0.99068404
14.10,0.99098670
14.20,0.99127962
14.30,0.99156309
14.40,0.99183743
14.50,0.99210292
14.60,0.99235984
14.70,0.99260846
14.80,0.99284905
14.90,0.99308186
15.00,0.99330715
