time_ms,direct,isolated_reflection,reverberant_tail
14.05,3.115476952e-05,3.115476952e-05,3.115476952e-05
14.1,1.866446911e-05,1.866446911e-05,1.866446911e-05
14.15,1.104447509e-05,1.104447509e-05,1.104447509e-05
14.2,6.455246907e-06,6.455246907e-06,6.455246907e-06
14.25,3.726653172e-06,3.726653172e-06,3.726653172e-06
14.3,2.125022016e-06,2.125022016e-06,2.125022016e-06
14.35,1.196867933e-06,1.196867933e-06,1.196867933e-06
14.4,6.65836147e-07,6.65836147e-07,6.65836147e-07
14.45,3.658700379e-07,3.658700379e-07,3.658700379e-07
14.5,1.985750415e-07,1.985750415e-07,1.985750415e-07
14.55,1.064537141e-07,1.064537141e-07,1.064537141e-07
14.6,5.636834896e-08,5.636834896e-08,5.636834896e-08
14.65,2.948140319e-08,2.948140319e-08,2.948140319e-08
14.7,1.522997974e-08,1.522997974e-08,1.522997974e-08
14.75,7.771213508e-09,7.771213508e-09,7.771213508e-09
14.8,3.916667425e-09,3.916667425e-09,3.916667425e-09
14.85,1.949767786e-09,1.949767786e-09,1.949767786e-09
14.9,9.587103704e-10,9.587103704e-10,9.587103704e-10
14.95,4.656185771e-10,4.656185771e-10,4.656185771e-10
15,2.233631436e-10,2.233631436e-10,2.233631436e-10
15.05,1.058354271e-10,1.058354271e-10,1.058354271e-10
15.1,4.953235311e-11,4.953235311e-11,4.953235311e-11
15.15,2.289734846e-11,2.289734846e-11,2.289734846e-11
15.2,1.045489718e-11,1.045489718e-11,1.045489718e-11
15.25,4.715119226e-12,4.715119226e-12,4.715119226e-12
15.3,2.100409293e-12,2.100409293e-12,2.100409293e-12
15.35,9.241735251e-13,9.241735251e-13,9.241735251e-13
15.4,4.016441583e-13,4.016441583e-13,4.016441583e-13
15.45,1.724120939e-13,1.724120939e-13,1.724120939e-13
15.5,7.310251819e-14,7.310251819e-14,7.310251819e-14
15.55,3.061507223e-14,3.061507223e-14,3.061507223e-14
15.6,1.266416555e-14,1.266416555e-14,1.266416555e-14
15.65,5.174354859e-15,5.174354859e-15,5.174354859e-15
15.7,2.088210041e-15,2.088210041e-15,2.088210041e-15
15.75,8.323969677e-16,8.323969677e-16,8.323969677e-16
15.8,3.277367472e-16,3.277367472e-16,3.277367472e-16
15.85,1.274553672e-16,1.274553672e-16,1.274553672e-16
15.9,4.895865265e-17,4.895865265e-17,4.895865265e-17
15.95,1.85754407e-17,1.85754407e-17,1.85754407e-17
16,6.961248458e-18,6.961248458e-18,6.961248458e-18
16.05,2.576757109e-18,2.576757109e-18,2.576757109e-18
16.1,9.421025317e-19,9.421025317e-19,9.421025317e-19
16.15,3.402210641e-19,3.402210641e-19,3.402210641e-19
16.2,1.213563668e-19,1.213563668e-19,1.213563668e-19
16.25,4.275651241e-20,4.275651241e-20,4.275651241e-20
16.3,1.487922531e-20,1.487922531e-20,1.487922531e-20
16.35,5.114423732e-21,5.114423732e-21,5.114423732e-21
16.4,1.73640662e-21,1.73640662e-21,1.73640662e-21
16.45,5.822969282e-22,5.822969282e-22,5.822969282e-22
16.5,1.928749848e-22,1.928749848e-22,1.928749848e-22
16.55,6.310236703e-23,6.310236703e-23,6.310236703e-23
16.6,2.03917142e-23,2.03917142e-23,2.03917142e-23
16.65,6.508788515e-24,6.508788515e-24,6.508788515e-24
16.7,2.052035763e-24,2.052035763e-24,2.052035763e-24
16.75,6.390105521e-25,6.390105521e-25,6.390105521e-25
16.8,1.965483824e-25,1.965483824e-25,1.965483824e-25
16.85,5.971305046e-26,5.971305046e-26,5.971305046e-26
16.9,1.791873643e-26,1.791873643e-26,1.791873643e-26
16.95,5.31109225e-27,5.31109225e-27,5.31109225e-27
17,1.554886339e-27,1.554886339e-27,1.554886339e-27
17.05,4.496263872e-28,4.496263872e-28,4.496263872e-28
17.1,1.284231367e-28,1.284231367e-28,1.284231367e-28
17.15,3.623039723e-29,3.623039723e-29,3.623039723e-29
17.2,1.009581207e-29,1.009581207e-29,1.009581207e-29
17.25,2.778739018e-30,2.778739018e-30,2.778739018e-30
17.3,7.554271701e-31,7.554271701e-31,7.554271701e-31
17.35,2.028503596e-31,2.028503596e-31,2.028503596e-31
17.4,5.38018616e-32,5.38018616e-32,5.38018616e-32
17.45,1.409474307e-32,1.409474307e-32,1.409474307e-32
17.5,3.647164601e-33,3.647164601e-33,3.647164601e-33
17.55,9.321630933e-34,9.321630933e-34,9.321630933e-34
17.6,2.353243046e-34,2.353243046e-34,2.353243046e-34
17.65,5.867863513e-35,5.867863513e-35,5.867863513e-35
17.7,1.445212013e-35,1.445212013e-35,1.445212013e-35
17.75,3.515778143e-36,3.515778143e-36,3.515778143e-36
17.8,8.447918213e-37,8.447918213e-37,8.447918213e-37
17.85,2.005008782e-37,2.005008782e-37,2.005008782e-37
17.9,4.70025259e-38,4.70025259e-38,4.70025259e-38
17.95,1.08833966e-38,1.08833966e-38,1.08833966e-38
18,2.489121253e-39,2.489121253e-39,2.489121253e-39
18.05,5.6229729e-40,5.6229729e-40,5.6229729e-40
18.1,1.254654844e-40,1.254654844e-40,1.254654844e-40
18.15,2.765163939e-41,2.765163939e-41,2.765163939e-41
18.2,6.019436551e-42,6.019436551e-42,6.019436551e-42
18.25,1.294282674e-42,1.294282674e-42,1.294282674e-42
18.3,2.748785008e-43,2.748785008e-43,2.748785008e-43
18.35,5.766213908e-44,5.766213908e-44,5.76621391e-44
18.4,1.194755572e-44,1.194755572e-44,1.194755578e-44
18.45,2.445151202e-45,2.445151202e-45,2.445151351e-45
18.5,4.942773562e-46,4.942773562e-46,4.942777697e-46
18.55,9.869020469e-47,9.869020469e-47,9.869135152e-47
18.6,1.946326627e-47,1.946326627e-47,1.946643254e-47
18.65,3.791366238e-48,3.791366238e-48,3.800069204e-48
18.7,7.294811805e-49,7.294811805e-49,7.532965354e-49
18.75,1.386343294e-49,1.386343294e-49,2.035151955e-49
18.8,2.602350678e-50,2.602350678e-50,2.019965003e-49
18.85,4.825020827e-51,4.825020827e-51,4.799908565e-49
18.9,8.836309217e-52,8.836309217e-52,1.278246227e-48
18.95,1.59838339e-52,1.59838339e-52,3.418796809e-48
19,2.855810263e-53,2.855810263e-53,9.108837174e-48
19.05,5.039832258e-54,5.039832258e-54,2.41623996e-47
19.1,8.784987618e-55,8.784987618e-55,6.380991626e-47
19.15,1.512531978e-55,1.512531978e-55,1.67766857e-46
19.2,2.572209373e-56,2.572209373e-56,4.391308712e-46
19.25,4.320623339e-57,4.320623339e-57,1.144330763e-45
19.3,7.168443028e-58,7.168443028e-58,2.968786587e-45
19.35,1.174739599e-58,1.174739599e-58,7.667895536e-45
19.4,1.901501702e-59,1.901501702e-59,1.971710723e-44
19.45,3.040116093e-60,3.040116093e-60,5.047542813e-44
19.5,4.800892239e-61,4.800892239e-61,1.286431384e-43
19.55,7.488452635e-62,7.488452635e-62,3.264096909e-43
19.6,1.153720358e-62,1.153720358e-62,8.245353202e-43
19.65,1.755688098e-63,1.755688098e-63,2.073601442e-42
19.7,2.638958214e-64,2.638958214e-64,5.191718191e-42
19.75,3.91792395e-65,3.91792395e-65,1.294096723e-41
19.8,5.745367715e-66,5.745367715e-66,3.211383463e-41
19.85,8.321813859e-67,8.321813859e-67,7.933912346e-41
19.9,1.190574303e-67,1.190574303e-67,1.951427549e-40
19.95,1.682415853e-68,1.682415853e-68,4.77845244e-40
20,2.348272752e-69,2.348272752e-69,1.164908747e-39
20.05,3.237442512e-70,3.237442512e-70,2.827263892e-39
20.1,4.408531331e-71,4.408531331e-71,6.831413752e-39
20.15,5.929582798e-72,5.929582798e-72,1.643329437e-38
20.2,7.877577483e-73,7.877577483e-73,3.935577621e-38
20.25,1.033712027e-73,1.033712027e-73,9.3834411e-38
20.3,1.339814872e-74,1.339814872e-74,2.22733522e-37
20.35,1.715253678e-75,1.715253678e-75,5.263551043e-37
20.4,2.168953613e-76,2.168953613e-76,1.238345686e-36
20.45,2.709009378e-77,2.709009378e-77,2.900512588e-36
20.5,3.342020369e-78,3.342020369e-78,6.763592221e-36
20.55,4.072358626e-79,4.072358626e-79,1.570181585e-35
20.6,4.901412794e-80,4.901412794e-80,3.629043263e-35
20.65,5.826864023e-81,5.826864023e-81,8.350341054e-35
20.7,6.842059184e-82,6.842059184e-82,1.912872767e-34
20.75,7.935551406e-83,7.935551406e-83,4.362523277e-34
20.8,9.090875956e-84,9.090875956e-84,9.905108391e-34
20.85,1.028661994e-84,1.028661994e-84,2.238981524e-33
20.9,1.1496827e-85,1.1496827e-85,5.038619807e-33
20.95,1.269175377e-86,1.269175377e-86,1.128866205e-32
21,1.383896527e-87,1.383896527e-87,2.517927123e-32
21.05,1.490472408e-88,1.490472408e-88,5.591310916e-32
21.1,1.585559709e-89,1.585559709e-89,1.236100926e-31
21.15,1.666017666e-90,1.666017666e-90,2.720595798e-31
21.2,1.729079423e-91,1.729079423e-91,5.961340335e-31
21.25,1.772509708e-92,1.772509708e-92,1.300449861e-30
21.3,1.794736282e-93,1.794736282e-93,2.824314857e-30
21.35,1.794944406e-94,1.794944406e-94,6.106641308e-30
21.4,1.773126421e-95,1.773126421e-95,1.314502795e-29
21.45,1.73008221e-96,1.73008221e-96,2.81702317e-29
21.5,1.667370522e-97,1.667370522e-97,6.010202799e-29
21.55,1.587215287e-98,1.587215287e-98,1.276608219e-28
21.6,1.492374761e-99,1.492374761e-99,2.699578422e-28
21.65,1.385984246e-100,1.385984246e-100,5.683345553e-28
21.7,1.271384848e-101,1.271384848e-101,1.191192579e-27
21.75,1.151951272e-102,1.151951272e-102,2.485591173e-27
21.8,1.030930827e-103,1.030930827e-103,5.163536118e-27
21.85,9.113040132e-105,9.113040132e-105,1.067909728e-26
21.9,7.956743892e-106,7.956743892e-106,2.198830075e-26
21.95,6.861922611e-107,6.861922611e-107,4.507322122e-26
22,5.845135614e-108,5.845135614e-108,9.198464297e-26
22.05,4.917922806e-109,4.917922806e-109,1.868881908e-25
22.1,4.087023766e-110,4.087023766e-110,3.780229743e-25
22.15,3.354833402e-111,3.354833402e-111,7.612447879e-25
22.2,2.720026238e-112,2.720026238e-112,1.526160721e-24
22.25,2.178279318e-113,2.178279318e-113,3.046113025e-24
22.3,1.723028188e-114,1.723028188e-114,6.052872947e-24
22.35,1.346199846e-115,1.346199846e-115,1.197421094e-23
22.4,1.038879151e-116,1.038879151e-116,2.358316303e-23
22.45,7.918790695e-118,7.918790695e-118,4.624097732e-23
22.5,5.961987175e-119,5.961987175e-119,9.026549288e-23
22.55,4.433651474e-120,4.433651474e-120,1.754229111e-22
22.6,3.256644878e-121,3.256644878e-121,3.394069036e-22
22.65,2.362749043e-122,2.362749043e-122,6.537697654e-22
22.7,1.693179993e-123,1.693179993e-123,1.253714921e-21
22.75,1.198469539e-124,1.198469539e-124,2.393550306e-21
22.8,8.378942534e-126,8.378942534e-126,4.54942099e-21
22.85,5.786151002e-127,5.786151002e-127,8.608738117e-21
22.9,3.946650371e-128,3.946650371e-128,1.621782719e-20
22.95,2.658923763e-129,2.658923763e-129,3.041694851e-20
23,1.769381394e-130,1.769381394e-130,5.679477967e-20
23.05,1.162988356e-131,1.162988356e-131,1.055774086e-19
23.1,7.550359258e-133,7.550359258e-133,1.953904706e-19
23.15,4.84170368e-134,4.84170368e-134,3.600025378e-19
23.2,3.066670644e-135,3.066670644e-135,6.603551178e-19
23.25,1.918555669e-136,1.918555669e-136,1.205922327e-18
