record_type,s_over_L,response
mechanical_curve,0.432000,0.87460822
mechanical_curve,0.434000,0.87988991
mechanical_curve,0.436000,0.88508099
mechanical_curve,0.438000,0.89017947
mechanical_curve,0.440000,0.89518342
mechanical_curve,0.442000,0.90009090
mechanical_curve,0.444000,0.90490004
mechanical_curve,0.446000,0.90960896
mechanical_curve,0.448000,0.91421584
mechanical_curve,0.450000,0.91871889
mechanical_curve,0.452000,0.92311635
mechanical_curve,0.454000,0.92740648
mechanical_curve,0.456000,0.93158760
mechanical_curve,0.458000,0.93565806
mechanical_curve,0.460000,0.93961625
mechanical_curve,0.462000,0.94346058
mechanical_curve,0.464000,0.94718954
mechanical_curve,0.466000,0.95080163
mechanical_curve,0.468000,0.95429540
mechanical_curve,0.470000,0.95766946
mechanical_curve,0.472000,0.96092243
mechanical_curve,0.474000,0.96405301
mechanical_curve,0.476000,0.96705993
mechanical_curve,0.478000,0.96994197
mechanical_curve,0.480000,0.97269797
mechanical_curve,0.482000,0.97532679
mechanical_curve,0.484000,0.97782736
mechanical_curve,0.486000,0.98019867
mechanical_curve,0.488000,0.98243975
mechanical_curve,0.490000,0.98454967
mechanical_curve,0.492000,0.98652756
mechanical_curve,0.494000,0.98837262
mechanical_curve,0.496000,0.99008409
mechanical_curve,0.498000,0.99166126
mechanical_curve,0.500000,0.99310348
mechanical_curve,0.502000,0.99441015
mechanical_curve,0.504000,0.99558073
mechanical_curve,0.506000,0.99661474
mechanical_curve,0.508000,0.99751175
mechanical_curve,0.510000,0.99827139
mechanical_curve,0.512000,0.99889335
mechanical_curve,0.514000,0.99937736
mechanical_curve,0.516000,0.99972322
mechanical_curve,0.518000,0.99993080
mechanical_curve,0.520000,1.00000000
mechanical_curve,0.522000,0.99933906
mechanical_curve,0.524000,0.99735887
mechanical_curve,0.526000,0.99406726
mechanical_curve,0.528000,0.98947724
mechanical_curve,0.530000,0.98360693
mechanical_curve,0.532000,0.97647937
mechanical_curve,0.534000,0.96812246
mechanical_curve,0.536000,0.95856870
mechanical_curve,0.538000,0.94785502
mechanical_curve,0.540000,0.93602256
mechanical_curve,0.542000,0.92311635
mechanical_curve,0.544000,0.90918507
mechanical_curve,0.546000,0.89428073
mechanical_curve,0.548000,0.87845836
mechanical_curve,0.550000,0.86177563
mechanical_curve,0.552000,0.84429257
mechanical_curve,0.554000,0.82607114
mechanical_curve,0.556000,0.80717492
mechanical_curve,0.558000,0.78766872
mechanical_curve,0.560000,0.76761820
mechanical_curve,0.562000,0.74708953
mechanical_curve,0.564000,0.72614904
mechanical_curve,0.566000,0.70486283
mechanical_curve,0.568000,0.68329647
mechanical_curve,0.570000,0.66151466
mechanical_curve,0.572000,0.63958091
mechanical_curve,0.574000,0.61755727
mechanical_curve,0.576000,0.59550404
mechanical_curve,0.578000,0.57347952
mechanical_curve,0.580000,0.55153977
mechanical_curve,0.582000,0.52973844
mechanical_curve,0.584000,0.50812653
mechanical_curve,0.586000,0.48675226
mechanical_curve,0.588000,0.46566093
mechanical_curve,0.590000,0.44489483
mechanical_curve,0.592000,0.42449311
mechanical_curve,0.594000,0.40449174
mechanical_curve,0.596000,0.38492347
mechanical_curve,0.598000,0.36581782
mechanical_curve,0.600000,0.34720106
mechanical_curve,0.602000,0.32909627
mechanical_curve,0.604000,0.31152335
mechanical_curve,0.606000,0.29449910
mechanical_curve,0.608000,0.27803730
mechanical_curve,0.610000,0.26214881
mechanical_curve,0.612000,0.24684164
mechanical_curve,0.614000,0.23212114
mechanical_curve,0.616000,0.21799007
mechanical_curve,0.618000,0.20444874
mechanical_curve,0.620000,0.19149520
mechanical_curve,0.622000,0.17912535
mechanical_curve,0.624000,0.16733314
mechanical_curve,0.626000,0.15611067
mechanical_curve,0.628000,0.14544840
mechanical_curve,0.630000,0.13533528
mechanical_curve,0.632000,0.12575893
mechanical_curve,0.634000,0.11670578
mechanical_curve,0.636000,0.10816124
mechanical_curve,0.638000,0.10010981
mechanical_curve,0.640000,0.09253528
mechanical_curve,0.642000,0.08542083
mechanical_curve,0.644000,0.07874917
mechanical_curve,0.646000,0.07250265
mechanical_curve,0.648000,0.06666340
mechanical_curve,0.650000,0.06121344
mechanical_curve,0.652000,0.05613476
mechanical_curve,0.654000,0.05140942
mechanical_curve,0.656000,0.04701963
mechanical_curve,0.658000,0.04294785
mechanical_curve,0.660000,0.03917684
mechanical_curve,0.662000,0.03568972
mechanical_curve,0.664000,0.03247002
mechanical_curve,0.666000,0.02950175
mechanical_curve,0.668000,0.02676940
mechanical_curve,0.670000,0.02425801
mechanical_curve,0.672000,0.02195319
mechanical_curve,0.674000,0.01984109
mechanical_curve,0.676000,0.01790851
mechanical_curve,0.678000,0.01614280
mechanical_curve,0.680000,0.01453196
mechanical_curve,0.682000,0.01306457
mechanical_curve,0.684000,0.01172983
mechanical_curve,0.686000,0.01051754
mechanical_curve,0.688000,0.00941808
mechanical_curve,0.690000,0.00842241
mechanical_curve,0.692000,0.00752204
mechanical_curve,0.694000,0.00670905
mechanical_curve,0.696000,0.00597602
mechanical_curve,0.698000,0.00531605
mechanical_curve,0.700000,0.00472271
mechanical_curve,0.702000,0.00419006
mechanical_curve,0.704000,0.00371256
mechanical_curve,0.706000,0.00328514
mechanical_curve,0.708000,0.00290308
mechanical_curve,0.710000,0.00256206
mechanical_curve,0.712000,0.00225812
mechanical_curve,0.714000,0.00198760
mechanical_curve,0.716000,0.00174718
mechanical_curve,0.718000,0.00153381
mechanical_curve,0.720000,0.00134472
mechanical_curve,0.722000,0.00117738
mechanical_curve,0.724000,0.00102950
mechanical_curve,0.726000,0.00089901
mechanical_curve,0.728000,0.00078402
mechanical_curve,0.730000,0.00068284
mechanical_curve,0.732000,0.00059392
mechanical_curve,0.734000,0.00051591
mechanical_curve,0.736000,0.00044754
mechanical_curve,0.738000,0.00038773
mechanical_curve,0.740000,0.00033546
mechanical_curve,0.742000,0.00028986
mechanical_curve,0.744000,0.00025012
mechanical_curve,0.746000,0.00021555
mechanical_curve,0.748000,0.00018551
mechanical_curve,0.750000,0.00015945
mechanical_curve,0.752000,0.00013686
mechanical_curve,0.754000,0.00011732
mechanical_curve,0.756000,0.00010044
mechanical_curve,0.758000,0.00008587
mechanical_curve,0.760000,0.00007332
mechanical_curve,0.762000,0.00006252
mechanical_curve,0.764000,0.00005324
mechanical_curve,0.766000,0.00004528
mechanical_curve,0.768000,0.00003846
mechanical_curve,0.770000,0.00003262
mechanical_curve,0.772000,0.00002763
mechanical_curve,0.774000,0.00002338
mechanical_curve,0.776000,0.00001975
mechanical_curve,0.778000,0.00001666
mechanical_curve,0.780000,0.00001404
mechanical_curve,0.782000,0.00001182
mechanical_curve,0.784000,0.00000993
mechanical_curve,0.786000,0.00000833
mechanical_curve,0.788000,0.00000699
mechanical_curve,0.790000,0.00000585
mechanical_curve,0.792000,0.00000489
mechanical_curve,0.794000,0.00000408
mechanical_curve,0.796000,0.00000340
mechanical_curve,0.798000,0.00000283
mechanical_curve,0.800000,0.00000236
mechanical_curve,0.802000,0.00000196
mechanical_curve,0.804000,0.00000162
mechanical_curve,0.806000,0.00000134
mechanical_curve,0.808000,0.00000111
mechanical_curve,0.810000,0.00000092
mechanical_curve,0.812000,0.00000076
mechanical_curve,0.814000,0.00000062
mechanical_curve,0.816000,0.00000051
mechanical_curve,0.818000,0.00000042
mechanical_curve,0.820000,0.00000035
mechanical_curve,0.822000,0.00000028
mechanical_curve,0.824000,0.00000023
mechanical_curve,0.826000,0.00000019
mechanical_curve,0.828000,0.00000015
mechanical_curve,0.830000,0.00000013
mechanical_curve,0.832000,0.00000010
mechanical_curve,0.834000,0.00000008
mechanical_curve,0.836000,0.00000007
mechanical_curve,0.838000,0.00000006
mechanical_curve,0.840000,0.00000004
mechanical_curve,0.842000,0.00000004
mechanical_curve,0.844000,0.00000003
mechanical_curve,0.846000,0.00000002
mechanical_curve,0.848000,0.00000002
mechanical_curve,0.850000,0.00000002
mechanical_curve,0.852000,0.00000001
mechanical_curve,0.854000,0.00000001
mechanical_curve,0.856000,0.00000001
mechanical_curve,0.858000,0.00000001
mechanical_curve,0.860000,0.00000001
mechanical_curve,0.862000,0.00000000
mechanical_curve,0.864000,0.00000000
mechanical_curve,0.866000,0.00000000
mechanical_curve,0.868000,0.00000000
mechanical_curve,0.870000,0.00000000
mechanical_curve,0.872000,0.00000000
mechanical_curve,0.874000,0.00000000
mechanical_curve,0.876000,0.00000000
mechanical_curve,0.878000,0.00000000
mechanical_curve,0.880000,0.00000000
mechanical_curve,0.882000,0.00000000
mechanical_curve,0.884000,0.00000000
mechanical_curve,0.886000,0.00000000
mechanical_curve,0.888000,0.00000000
mechanical_curve,0.890000,0.00000000
mechanical_curve,0.892000,0.00000000
mechanical_curve,0.894000,0.00000000
mechanical_curve,0.896000,0.00000000
mechanical_curve,0.898000,0.00000000
mechanical_curve,0.900000,0.00000000
mechanical_curve,0.902000,0.00000000
mechanical_curve,0.904000,0.00000000
mechanical_curve,0.906000,0.00000000
mechanical_curve,0.908000,0.00000000
mechanical_curve,0.910000,0.00000000
mechanical_curve,0.912000,0.00000000
mechanical_curve,0.914000,0.00000000
mechanical_curve,0.916000,0.00000000
mechanical_curve,0.918000,0.00000000
mechanical_curve,0.920000,0.00000000
mechanical_curve,0.922000,0.00000000
mechanical_curve,0.924000,0.00000000
mechanical_curve,0.926000,0.00000000
mechanical_curve,0.928000,0.00000000
mechanical_curve,0.930000,0.00000000
mechanical_curve,0.932000,0.00000000
mechanical_curve,0.934000,0.00000000
mechanical_curve,0.936000,0.00000000
mechanical_curve,0.938000,0.00000000
mechanical_curve,0.940000,0.00000000
mechanical_curve,0.942000,0.00000000
mechanical_curve,0.944000,0.00000000
mechanical_curve,0.946000,0.00000000
mechanical_curve,0.948000,0.00000000
mechanical_curve,0.950000,0.00000000
mechanical_curve,0.952000,0.00000000
mechanical_curve,0.954000,0.00000000
mechanical_curve,0.956000,0.00000000
mechanical_curve,0.958000,0.00000000
mechanical_curve,0.960000,0.00000000
mechanical_curve,0.962000,0.00000000
mechanical_curve,0.964000,0.00000000
mechanical_curve,0.966000,0.00000000
mechanical_curve,0.968000,0.00000000
mechanical_curve,0.970000,0.00000000
mechanical_curve,0.972000,0.00000000
mechanical_curve,0.974000,0.00000000
mechanical_curve,0.976000,0.00000000
mechanical_curve,0.978000,0.00000000
mechanical_curve,0.980000,0.00000000
mechanical_curve,0.982000,0.00000000
mechanical_curve,0.984000,0.00000000
mechanical_curve,0.986000,0.00000000
mechanical_curve,0.988000,0.00000000
mechanical_curve,0.990000,0.00000000
mechanical_curve,0.992000,0.00000000
mechanical_curve,0.994000,0.00000000
mechanical_curve,0.996000,0.00000000
mechanical_curve,0.998000,0.00000000
mechanical_curve,1.000000,0.00000000
population_sample,0.040000,0.01021311
population_sample,0.060000,0.01484585
population_sample,0.080000,0.02123928
population_sample,0.100000,0.02990623
population_sample,0.120000,0.04144488
population_sample,0.140000,0.05652850
population_sample,0.160000,0.07588421
population_sample,0.180000,0.10025884
population_sample,0.200000,0.13037110
population_sample,0.220000,0.16685044
population_sample,0.240000,0.21016516
population_sample,0.260000,0.26054422
population_sample,0.280000,0.31789925
population_sample,0.300000,0.38175518
population_sample,0.320000,0.45119857
population_sample,0.340000,0.52485320
population_sample,0.360000,0.60089050
population_sample,0.380000,0.67708030
population_sample,0.400000,0.75088318
population_sample,0.420000,0.81958109
population_sample,0.440000,0.88043811
population_sample,0.460000,0.93087870
population_sample,0.480000,0.96866745
population_sample,0.500000,0.99207311
population_sample,0.520000,1.00000000
population_sample,0.540000,0.92678557
population_sample,0.560000,0.73776330
population_sample,0.580000,0.50444447
population_sample,0.600000,0.29625671
population_sample,0.620000,0.14944506
population_sample,0.640000,0.06475204
population_sample,0.660000,0.02409816
population_sample,0.680000,0.00770323
population_sample,0.700000,0.00211505
population_sample,0.720000,0.00049880
population_sample,0.740000,0.00010104
population_sample,0.760000,0.00001758
population_sample,0.780000,0.00000263
population_sample,0.800000,0.00000034
population_sample,0.820000,0.00000004
population_sample,0.840000,0.00000000
population_sample,0.860000,0.00000000
population_sample,0.880000,0.00000000
population_sample,0.900000,0.00000000
population_sample,0.920000,0.00000000
population_sample,0.940000,0.00000000
population_sample,0.960000,0.00000000
