octaves_relative_to_masker,threshold_elevation_dB
-0.6300,8.90622050
-0.6200,9.06963284
-0.6100,9.23604350
-0.6000,9.40550747
-0.5900,9.57808080
-0.5800,9.75382051
-0.5700,9.93278472
-0.5600,10.11503258
-0.5500,10.30062435
-0.5400,10.48962138
-0.5300,10.68208615
-0.5200,10.87808228
-0.5100,11.07767457
-0.5000,11.28092900
-0.4900,11.48791277
-0.4800,11.69869430
-0.4700,11.91334328
-0.4600,12.13193065
-0.4500,12.35452870
-0.4400,12.58121100
-0.4300,12.81205249
-0.4200,13.04712948
-0.4100,13.28651970
-0.4000,13.53030227
-0.3900,13.77855780
-0.3800,14.03136834
-0.3700,14.28881749
-0.3600,14.55099034
-0.3500,14.81797356
-0.3400,15.08985543
-0.3300,15.36672581
-0.3200,15.64867624
-0.3100,15.93579994
-0.3000,16.22819181
-0.2900,16.52594852
-0.2800,16.82916850
-0.2700,17.13795200
-0.2600,17.45240109
-0.2500,17.77261973
-0.2400,18.09871378
-0.2300,18.43079104
-0.2200,18.76896129
-0.2100,19.11333633
-0.2000,19.46403000
-0.1900,19.82115823
-0.1800,20.18483910
-0.1700,20.55519282
-0.1600,20.93234184
-0.1500,21.31641083
-0.1400,21.70752676
-0.1300,22.10581893
-0.1200,22.51141901
-0.1100,22.92446109
-0.1000,23.34508171
-0.0900,23.77341992
-0.0800,24.20961733
-0.0700,24.65381815
-0.0600,25.10616921
-0.0500,25.56682006
-0.0400,26.03592298
-0.0300,26.51363306
-0.0200,27.00010821
-0.0100,27.49550927
0.0000,28.00000000
0.0100,27.69061090
0.0200,27.38464043
0.0300,27.08205081
0.0400,26.78280469
0.0500,26.48686513
0.0600,26.19419558
0.0700,25.90475992
0.0800,25.61852240
0.0900,25.33544771
0.1000,25.05550087
0.1100,24.77864734
0.1200,24.50485293
0.1300,24.23408385
0.1400,23.96630666
0.1500,23.70148830
0.1600,23.43959608
0.1700,23.18059767
0.1800,22.92446109
0.1900,22.67115472
0.2000,22.42064728
0.2100,22.17290786
0.2200,21.92790586
0.2300,21.68561103
0.2400,21.44599347
0.2500,21.20902360
0.2600,20.97467214
0.2700,20.74291018
0.2800,20.51370910
0.2900,20.28704060
0.3000,20.06287670
0.3100,19.84118972
0.3200,19.62195230
0.3300,19.40513736
0.3400,19.19071815
0.3500,18.97866818
0.3600,18.76896129
0.3700,18.56157157
0.3800,18.35647343
0.3900,18.15364155
0.4000,17.95305088
0.4100,17.75467665
0.4200,17.55849439
0.4300,17.36447986
0.4400,17.17260912
0.4500,16.98285847
0.4600,16.79520450
0.4700,16.60962403
0.4800,16.42609415
0.4900,16.24459220
0.5000,16.06509578
0.5100,15.88758273
0.5200,15.71203112
0.5300,15.53841929
0.5400,15.36672581
0.5500,15.19692947
0.5600,15.02900932
0.5700,14.86294462
0.5800,14.69871486
0.5900,14.53629979
0.6000,14.37567933
0.6100,14.21683367
0.6200,14.05974320
0.6300,13.90438851
0.6400,13.75075043
0.6500,13.59880999
0.6600,13.44854843
0.6700,13.29994721
0.6800,13.15298797
0.6900,13.00765257
0.7000,12.86392307
0.7100,12.72178173
0.7200,12.58121100
0.7300,12.44219351
0.7400,12.30471212
0.7500,12.16874984
0.7600,12.03428989
0.7700,11.90131567
0.7800,11.76981077
0.7900,11.63975894
0.8000,11.51114413
0.8100,11.38395047
0.8200,11.25816225
0.8300,11.13376394
0.8400,11.01074018
0.8500,10.88907579
0.8600,10.76875574
0.8700,10.64976518
0.8800,10.53208943
0.8900,10.41571394
0.9000,10.30062435
0.9100,10.18680646
0.9200,10.07424622
0.9300,9.96292972
0.9400,9.85284322
0.9500,9.74397314
0.9600,9.63630603
0.9700,9.52982860
0.9800,9.42452771
0.9900,9.32039034
1.0000,9.21740366
1.0100,9.11555494
1.0200,9.01483160
1.0300,8.91522122
1.0400,8.81671150
1.0500,8.71929027
1.0600,8.62294551
1.0700,8.52766532
1.0800,8.43343793
1.0900,8.34025173
1.1000,8.24809519
1.1100,8.15695695
1.1200,8.06682575
1.1300,7.97769047
1.1400,7.88954009
1.1500,7.80236375
1.1600,7.71615067
1.1700,7.63089020
1.1800,7.54657184
1.1900,7.46318516
1.2000,7.38071987
1.2100,7.29916579
1.2200,7.21851285
1.2300,7.13875109
1.2400,7.05987067
1.2500,6.98186185
1.2600,6.90471499
1.2700,6.82842058
1.2800,6.75296919
1.2900,6.67835151
1.3000,6.60455832
1.3100,6.53158053
1.3200,6.45940910
1.3300,6.38803515
1.3400,6.31744985
1.3500,6.24764448
1.3600,6.17861044
1.3700,6.11033920
1.3800,6.04282234
1.3900,5.97605150
1.4000,5.91001846
1.4100,5.84471505
1.4200,5.78013323
1.4300,5.71626501
1.4400,5.65310250
1.4500,5.59063792
1.4600,5.52886355
1.4700,5.46777176
1.4800,5.40735501
1.4900,5.34760584
1.5000,5.28851688
1.5100,5.23008083
1.5200,5.17229047
1.5300,5.11513867
1.5400,5.05861838
1.5500,5.00272262
1.5600,4.94744448
1.5700,4.89277715
1.5800,4.83871386
1.5900,4.78524796
1.6000,4.73237283
1.6100,4.68008195
1.6200,4.62836887
1.6300,4.57722720
1.6400,4.52665062
1.6500,4.47663289
1.6600,4.42716784
1.6700,4.37824936
1.6800,4.32987141
1.6900,4.28202801
1.7000,4.23471327
1.7100,4.18792134
1.7200,4.14164644
1.7300,4.09588286
1.7400,4.05062495
1.7500,4.00586712
1.7600,3.96160384
1.7700,3.91782966
1.7800,3.87453917
1.7900,3.83172702
1.8000,3.78938793
1.8100,3.74751667
1.8200,3.70610807
1.8300,3.66515702
1.8400,3.62465846
1.8500,3.58460739
1.8600,3.54499888
1.8700,3.50582802
1.8800,3.46708999
1.8900,3.42877999
1.9000,3.39089331
1.9100,3.35342526
1.9200,3.31637121
1.9300,3.27972660
1.9400,3.24348690
1.9500,3.20764763
1.9600,3.17220437
1.9700,3.13715275
1.9800,3.10248843
1.9900,3.06820714
2.0000,3.03430465
