tone_hz,frequency_hz,peak_magnitude
105.0,430.0,0.0044497688819174815
105.0,440.0,0.004269351411219237
105.0,450.0,0.004102033199057961
105.0,460.0,0.003946592500071173
105.0,470.0,0.00380195006315698
105.0,480.0,0.00366714944757842
105.0,490.0,0.00354134047547521
105.0,500.0,0.0034237652572867683
105.0,510.0,0.003313746338882233
105.0,520.0,0.0032106766069745847
105.0,530.0,0.003114010658513917
105.0,540.0,0.003023257394432901
105.0,550.0,0.0029379736417053746
105.0,560.0,0.0028577586425428923
105.0,570.0,0.0027822492776402637
105.0,580.0,0.0027111159130943975
105.0,590.0,0.002644058779084738
105.0,600.0,0.0025808048034621552
105.0,610.0,0.00252110483577064
105.0,620.0,0.0024647312074021453
105.0,630.0,0.002411475581979493
105.0,640.0,0.0023611470570764075
105.0,650.0,0.002313570484171298
105.0,660.0,0.0022685849786137093
105.0,670.0,0.002226042595443771
105.0,680.0,0.002185807150350199
105.0,690.0,0.0021477531679329727
105.0,700.0,0.002111764941905141
105.0,710.0,0.0020777356939329227
105.0,720.0,0.0020455668196048683
105.0,730.0,0.0020151672115098712
105.0,740.0,0.0019864526507301326
105.0,750.0,0.001959345259138483
105.0,760.0,0.0019337730058686874
105.0,770.0,0.001909669262141659
105.0,780.0,0.0018869723993461861
105.0,790.0,0.0018656254258944626
105.0,800.0,0.0018455756589186145
105.0,810.0,0.0018267744273176457
105.0,820.0,0.0018091768031056389
105.0,830.0,0.0017927413583510487
105.0,840.0,0.001777429945308171
105.0,850.0,0.0017632074976370404
105.0,860.0,0.0017500418508284187
105.0,870.0,0.0017379035801889308
105.0,880.0,0.001726765854908745
105.0,890.0,0.0017166043069300585
105.0,900.0,0.0017073969134605703
105.0,910.0,0.0016991238921342067
105.0,920.0,0.0016917676079282362
105.0,930.0,0.001685312491065325
105.0,940.0,0.0016797449652260089
105.0,950.0,0.0016750533854858985
105.0,960.0,0.0016712279854867384
105.0,970.0,0.001668260833413493
105.0,980.0,0.0016661457964358827
105.0,990.0,0.0016648785133343846
105.0,1000.0,0.001664456375095975
