t_s,traffic_relative_dB,hvac_relative_dB,door_relative_dB
9.2,59.2319010087,47.9690112511,44.7908750016
9.25,58.6546665178,47.6530012362,43.3349739142
9.3,57.6553746287,48.2009581801,42.2516840763
9.35,59.550371526,47.53514157,42.1658767283
9.4,59.3838577345,47.9530542059,42.1172465998
9.45,59.1293949074,47.8153924407,41.9604567887
9.5,55.9084914405,47.4624065762,42.0806275466
9.55,60.4287419306,47.657290193,41.292988183
9.6,60.5066483366,47.4105464811,42.0975082817
9.65,57.8199591791,48.1486198036,41.642619348
9.7,58.3022221833,47.8945615468,41.88641496
9.75,57.7793771972,47.8367855058,41.9802050443
9.8,58.4527157063,48.1759233361,41.7095139761
9.85,58.359527712,48.7624280242,41.7718762597
9.9,58.3452114406,47.4401418912,41.961229398
9.95,57.936755071,48.046649649,42.1805749368
10,57.3005955127,48.8131041873,42.008624621
10.05,60.2037392104,47.5532809537,41.911796542
10.1,59.5023465026,48.0260120653,41.7717405057
10.15,59.2344341215,47.5643060269,42.2042371905
10.2,60.2266793423,48.4168511085,41.5831404979
10.25,57.9268217166,47.4421373346,42.0318649668
10.3,59.4792368154,48.411580349,42.3718879885
10.35,58.7637218919,48.2811751949,42.0465918732
10.4,56.4747322903,48.3498680062,42.2813496568
10.45,58.4089703202,48.853758928,42.0092416658
10.5,59.3782367652,47.9624391534,42.1719168069
10.55,59.1255329875,47.4154002086,41.9182720349
10.6,58.2247410057,48.506360384,41.8070697728
10.65,60.260220622,47.68213974,42.1312381281
10.7,57.2054832556,47.2286960519,41.6870942901
10.75,59.6202836545,48.0392869246,41.8722616009
10.8,57.9853658772,47.870672731,42.6526552364
10.85,58.4617113987,48.3274075081,41.9553392367
10.9,58.6039569038,48.2717897731,41.979603936
10.95,61.122423971,47.9354940087,42.1920788189
11,58.6398848614,47.1839813717,42.342601784
11.05,61.2171747809,47.6484352731,42.7894164715
11.1,56.8908515206,47.8310617367,42.0377067474
11.15,57.8333070203,47.6996865842,41.4716461218
11.2,58.760449288,48.5626815769,42.046229621
11.25,59.3460379136,48.1665762506,42.4405034615
11.3,57.687320468,48.4781788642,42.1048184136
11.35,58.6140832554,48.520287197,42.2613360441
11.4,57.9298347196,47.6986517113,41.7559356862
11.45,59.7077712835,49.0240527534,42.068450406
11.5,57.8304280468,47.444762641,42.7042284908
11.55,58.8472762594,47.3742682222,42.2022406955
11.6,58.4382602858,48.4035910798,42.5416057054
11.65,56.1433986764,48.4469439125,41.0394701516
11.7,57.8155445033,47.8876746192,42.0406309788
11.75,58.3608227244,47.9051401013,41.5606671151
11.8,58.2607353136,48.0191102919,42.1120600364
11.85,57.2984169255,48.0294769868,41.8609961343
11.9,60.5836161568,47.9047853471,42.6215911089
11.95,59.217268082,48.2030753099,42.2575712747
12,58.617125017,48.5307228529,41.8804876464
12.05,57.9412274826,47.7263932077,42.2109868636
12.1,58.5502723589,48.9788836506,41.7407578801
12.15,59.2556361554,48.6519996916,41.9283992655
12.2,58.6125287475,48.0290659534,41.1133908721
12.25,58.9181658068,48.0946499372,41.7070706963
12.3,56.6876683508,48.9036493802,41.8069490641
12.35,60.7258812528,47.7201958883,41.9420598448
12.4,58.6456172591,47.7105556046,41.6613453158
12.45,60.8200651594,48.0569659977,42.178902744
12.5,58.2156906593,48.2613112303,42.3286739385
12.55,58.4955134893,47.9626465883,42.0115252672
12.6,60.5696418172,47.7968093711,41.9647209687
12.65,58.3103672672,47.7783085056,42.0937533388
12.7,59.0907173784,47.8785050447,42.644076641
12.75,58.428236435,48.3069386198,41.9419516987
12.8,58.3129430251,48.0249905033,41.7035307778
12.85,56.9377138012,47.761243424,42.040531676
12.9,59.8786083699,48.5453876665,42.4532332173
12.95,59.3797844875,48.4118245426,41.8757726637
13,57.8000980362,48.5237882272,41.9558321801
13.05,60.7367833107,48.4686461867,41.1465927821
13.1,59.8154732978,47.8099154374,41.9028904312
13.15,57.0008898892,47.977940475,42.1702817882
13.2,58.2285817263,47.542589028,42.6776424397
13.25,59.6380743928,48.8493630406,42.0766537296
13.3,57.2612067547,48.3635019115,41.5771928441
13.35,59.2612396444,48.5338342636,41.8737177876
13.4,58.712921066,48.9212733241,42.6173625218
13.45,58.5616705168,47.6147590182,41.8414698619
13.5,58.5381263993,47.0342189889,42.1173460946
13.55,58.536491604,47.9115421007,42.1206097447
13.6,54.2132998571,48.1357698861,41.8493801502
13.65,57.4880614419,47.4886562129,41.9788280522
13.7,59.4519742653,48.3079702814,42.1980333259
13.75,57.426306266,47.6834773212,41.245781091
13.8,58.2576143465,46.9074264836,42.6250673786
13.85,59.2542662447,48.686749657,42.266635532
13.9,59.0794606245,48.1162584431,41.5933910917
13.95,60.9440391351,47.1924090439,41.7156908783
14,61.2641386203,47.8445496878,42.3034844975
14.05,59.3637954143,48.3787744515,42.1569488835
14.1,60.005999184,48.0043538836,42.2870835222
14.15,56.7761839694,47.7016898756,42.1454982303
14.2,56.0848790616,48.2142778098,42.1885585228
14.25,56.3512095899,48.4035484298,42.2828416791
14.3,57.0286124607,48.9017989342,41.9556458691
14.35,58.2272662454,47.5462227955,41.9761959067
14.4,56.2576857392,47.7891393472,42.123256125
14.45,57.7508363945,48.0005080998,41.7138664077
14.5,56.9744956503,47.8137252915,41.1524398817
14.55,55.8325579869,47.5934692321,41.9856250286
14.6,57.4121074818,48.5369835764,41.6214420932
14.65,59.2252049367,47.3369020918,42.073235137
14.7,59.8734675877,48.0032190032,41.9213082938
14.75,59.3817634522,48.9766856267,42.1009306711
14.8,56.4972266048,47.9619174888,41.9294225347
14.85,57.5582380683,48.1248031678,42.4295375118
14.9,56.4122662635,48.1644192572,42.4470157788
14.95,57.2934296881,48.6745466286,42.377421656
15,57.3206630591,48.3070460285,41.7330184118
15.05,61.2476504281,48.1440200984,41.6776210207
15.1,56.5388128881,48.5795146171,41.8743397233
15.15,55.26274199,47.8259682338,42.2053360806
15.2,57.8399022166,47.1652171168,41.9864062293
15.25,55.1920032922,49.0271495801,41.8759802263
15.3,58.68600523,47.9202282025,41.5631676882
15.35,58.6182205017,47.9199111492,42.5216217745
15.4,56.2892715375,47.7387917997,41.9620636927
15.45,55.8081956593,47.6261105004,41.9352733599
15.5,57.5528604106,48.1726569958,42.2910188183
15.55,57.3774384291,47.6708380386,41.3912109342
15.6,56.7210148214,48.1997703588,41.6122475874
15.65,54.4132716446,47.4580726578,42.2957984773
15.7,57.3550205678,48.551851527,41.6863143322
15.75,57.1514915704,47.5295606824,41.9276902413
15.8,58.5240398401,47.6075730177,42.4643135231
15.85,57.6032380901,48.445182506,41.7881859855
15.9,56.9403507973,48.2235076836,42.0053341265
15.95,55.1181742601,47.9987136792,41.4884665621
16,57.2603055755,48.0534267008,42.4618591539
16.05,54.2563883881,47.2851947558,42.2555935382
16.1,58.6246577767,48.1285171499,42.019111706
16.15,56.3211620194,47.8185908917,41.9795270431
16.2,55.5140990504,48.186974685,42.5396382485
16.25,57.5087467299,48.4104628092,42.2292090085
16.3,57.4672076898,48.1649873461,42.9743999015
16.35,54.9968837131,47.1932178956,42.3061748337
16.4,54.6370851999,47.5115208414,42.3298169689
16.45,56.0905969851,48.0420255518,42.6648094566
16.5,57.0674324476,48.8689029255,42.3731233607
16.55,56.5664981154,48.4552508833,42.2439174555
16.6,54.3789034741,47.8551343846,42.0570153516
16.65,56.2101923974,48.171500029,41.4494127769
16.7,59.5320784873,48.0039686029,42.1235190571
16.75,58.0012839871,47.1965882118,42.1720582893
16.8,54.9838643055,48.1906600418,42.472022784
16.85,55.3122666386,48.5623181701,41.5542472403
16.9,55.9367413393,48.6171743265,42.3659318229
16.95,56.8187406007,48.0001519654,41.389456887
17,58.6922676796,47.7605703399,41.8456240925
17.05,56.641316788,47.0943134133,42.0566268042
17.1,57.8833616346,48.3883104332,42.0327267521
17.15,56.1593143442,49.0389126989,42.1520224721
17.2,56.5133871336,48.6934558642,41.5710436705
17.25,56.5753483567,48.1554877377,41.6942090868
17.3,56.0861350075,48.6090542402,42.1210921654
17.35,57.6342426054,48.095235385,42.5010602957
17.4,56.3208901622,49.5151344799,42.5198598878
17.45,57.8004642838,47.898339375,42.075758977
17.5,57.1368853598,48.777038817,41.880792039
17.55,56.1353376508,48.2678468672,42.418825163
17.6,56.8594714992,47.972976668,42.022015688
17.65,55.6846932098,48.995075812,42.0706340721
17.7,54.085712193,48.3375051666,41.7260686725
17.75,57.3520186157,48.1135258275,41.5621997516
17.8,54.1919412508,47.4246032752,42.1967049891
17.85,56.4912425638,47.959579515,41.8098208424
17.9,53.2582798346,47.3307860619,42.7871161271
17.95,56.3377295868,46.9958134453,42.6158529472
18,57.2586388964,47.3067085479,41.7746809948
18.05,55.6342978177,47.778755218,41.6728132419
18.1,58.8379804083,48.4081238365,41.75085559
18.15,55.7996818564,47.8242421402,41.7216566556
18.2,56.7346354437,48.5815189325,41.9810036554
18.25,55.971835023,48.0555410487,42.192558475
18.3,56.7030696733,47.9719326449,41.8681083446
18.35,54.2268551995,48.3986347577,41.9077464975
18.4,57.1475928779,47.9980762637,42.223919091
18.45,56.1350643086,48.676543043,41.8609833747
18.5,53.9869652668,47.8906374074,41.7667315473
18.55,54.5430081084,47.5100074558,41.8387758966
18.6,55.8413940404,48.126741834,42.0564995718
18.65,56.7634283993,47.8676322491,41.9132271417
18.7,54.8712599129,48.1027395907,41.7303423019
18.75,55.0771406372,47.9785913988,41.8995621774
18.8,54.3743731403,48.0297963855,42.3411889445
18.85,53.7319865116,48.6978533664,41.8852315204
18.9,55.4577986287,48.2414113999,41.3239538291
18.95,55.5582417409,48.0881956209,42.2515010818
19,55.3497242767,47.8999510147,41.9597455171
19.05,54.6563236734,48.2022952391,42.9681872869
19.1,54.611250749,47.5136990818,41.8646879028
19.15,57.3240720429,48.7431881191,41.9489574805
19.2,53.5805376792,48.0197394589,41.7530622771
19.25,55.6004841555,47.9675605172,42.17031881
19.3,51.4258225259,48.405969738,41.6358548322
19.35,55.7809292382,47.6792535976,41.9274959317
19.4,53.721913533,47.4589580165,41.9909952858
19.45,56.6148120905,47.3316838334,42.0681102257
19.5,53.2014833655,47.7720760369,42.0661119712
19.55,54.5195123888,46.7454262799,42.1136696437
19.6,53.0408169363,48.7757333713,42.3185632568
19.65,54.1574462105,48.1110813163,42.4026254942
19.7,53.2895445155,48.1944605701,42.1610543513
19.75,55.8282947105,48.5734599655,42.5452351667
19.8,54.5721740529,47.5999285462,41.6137945657
19.85,51.8671565297,48.4453846995,42.0699907196
19.9,54.3678187696,48.0575806198,41.7862045525
19.95,55.1074770656,47.5139733702,41.9566729205
20,55.3985084193,48.8564259158,42.731077688
20.05,54.4031536635,47.8942560032,42.4463926701
20.1,55.1364139411,47.798086637,41.772082309
20.15,56.597371146,48.3454300803,41.9719053517
20.2,55.1424331245,48.3738380842,41.2695452639
20.25,54.495517203,48.0505875568,42.1562310331
20.3,56.4215512467,47.7505871059,42.5198082244
20.35,54.2512415633,48.5945852583,41.9696765049
20.4,53.3479841922,48.172562645,42.2425905712
20.45,53.1752263616,48.2603793505,42.0938238222
20.5,53.8015101692,48.1000331768,41.7080429047
20.55,53.6715702745,47.8753725752,43.2864196988
20.6,55.3988717703,47.6008588468,41.7467442251
20.65,53.9648451246,47.7700003518,42.0786171989
20.7,56.5315457676,47.9773950902,41.989741444
20.75,55.4074490534,48.0233953812,42.7111721089
20.8,53.4346154473,48.297749665,42.3892394665
20.85,53.7014244731,48.4678958565,41.7923030494
20.9,52.8305568345,47.6076532316,41.9781007698
20.95,50.9602452616,48.8206714447,42.1050135207
21,54.3713117842,48.0218798477,42.055126176
21.05,54.5464123198,48.4360957817,42.5815494746
21.1,56.5399856094,47.719768917,41.7574825071
21.15,53.254289544,48.4182587268,42.0656565153
21.2,54.4108134222,48.6168255837,41.6954888489
21.25,54.533294572,48.0660782461,41.5487426273
21.3,54.5235520273,48.4116154979,41.9085778522
21.35,53.0079245817,48.3091768549,42.0442908294
21.4,53.3813377398,48.1775171537,41.7343752721
21.45,53.2069276098,47.8326106234,41.9844179444
21.5,53.7733784179,47.8590051614,42.717089145
21.55,53.3479338498,47.7240980186,42.2724054697
21.6,55.0255807733,47.9808192395,42.006313065
21.65,52.5287983266,47.4249908848,42.374095741
21.7,55.1206438607,47.847258995,41.8229058732
21.75,53.8114891434,48.027629626,42.2696167081
21.8,52.4671459205,48.402779984,42.0789835419
21.85,54.0927443609,47.9216766217,41.7207089021
21.9,52.5586435221,47.9729598694,41.4154703833
21.95,54.9083502271,49.3039341352,41.8944491279
22,53.9618067991,48.0433206536,41.774913475
22.05,52.3251499344,48.0553757919,42.311808961
22.1,52.3631462076,46.8191110133,42.1827650293
22.15,53.23451094,47.9799905626,42.066351669
22.2,54.7727462971,47.8570759587,42.1963275913
22.25,51.9026016479,48.2281585521,41.5678187321
22.3,50.8306963554,47.6481973774,41.5207802734
22.35,51.3097053821,48.1104704945,41.9283257488
22.4,52.191232987,47.9689524344,42.3500861101
22.45,54.0108755761,47.495014242,41.9575453401
22.5,53.8888849379,47.484206729,41.7478398406
22.55,51.4756308257,48.8685696405,42.1691708959
22.6,51.8004121334,47.6192801963,42.1885502369
22.65,51.877034094,48.152737633,41.6383861438
22.7,50.5490688328,47.3715068546,41.6336080245
22.75,51.6733327963,48.5755737818,42.774628309
22.8,54.305763047,47.8477388538,42.2783330354
22.85,53.0956279352,48.3983637804,41.7399039927
22.9,52.1357625903,47.7652437715,42.2371113517
22.95,50.9617950821,47.4234685019,42.1623928261
23,52.1464404085,48.3432846797,41.6601889882
23.05,52.6210675428,47.6796686109,41.3341263406
23.1,51.8031174465,47.4575453546,42.2585123122
23.15,51.828757108,48.0141085697,41.9635617464
23.2,50.4499170501,48.7709493001,41.9348260422
23.25,50.9989865057,48.145053624,41.903560967
23.3,52.8966424544,48.1502133192,41.8245146453
23.35,51.7909883558,48.182432657,41.7561296215
23.4,53.4107472921,49.6036871095,41.6720012416
23.45,54.6522175688,47.8531216391,41.9343652228
23.5,52.2053114161,47.8649478853,42.3503788182
23.55,52.6499916781,47.6906895114,41.5549496015
23.6,52.2657156896,47.9520651686,41.8170399509
23.65,53.8165768908,47.7553708353,41.3696364626
23.7,51.8816767489,47.7868426585,42.4471602101
23.75,52.8528867545,48.3064352214,42.093027274
23.8,48.1610025973,48.2516796538,41.9440542275
23.85,53.3526301547,48.2487134411,42.0395769857
23.9,53.2236116501,48.1297149508,42.2438814424
23.95,54.3100118621,48.0552469523,42.2318351944
24,53.7245167886,48.6549499453,42.2308795641
24.05,52.2174614704,48.0075050722,41.8262861926
24.1,52.9599465775,47.7021821553,41.7032572126
24.15,53.3925968963,47.3970710141,41.5833810518
24.2,49.6107563161,47.6542250118,41.7919545631
24.25,51.439202668,48.6629967278,41.6676062748
24.3,51.3843927511,48.0777319543,41.8682139758
24.35,55.6716914806,47.8597844729,42.9076501491
24.4,50.7205545648,48.064710849,41.6783842985
24.45,50.7679765501,48.0391159408,41.6004999172
24.5,52.9753009913,48.603498669,41.8477130572
24.55,50.2013425267,48.1728800284,41.7319417718
24.6,52.1051287231,47.8515752405,42.3100751668
24.65,53.2564111246,48.140421366,41.8544115715
24.7,53.1694989037,48.5654486463,41.7788316371
24.75,52.3149198824,48.0755546556,41.6050209709
24.8,50.2816367932,48.0751835188,42.2910714134
24.85,52.1155191803,48.8253572317,42.6092408856
24.9,50.6798235386,47.7322839604,42.2425508557
24.95,53.7050339419,47.9763138527,41.6156704032
25,52.8437800654,47.5851654029,42.0208252541
25.05,51.6470048159,47.3836912095,42.2527091906
25.1,54.3044430958,48.3737128913,42.3729843437
25.15,54.5344858705,47.5517792793,42.3984832619
25.2,52.0606843268,48.9779946046,42.247642256
25.25,50.2022559522,47.9258542814,41.8336827019
25.3,50.3907999524,47.9872858051,42.2745298378
25.35,52.0935536711,48.7476815466,42.3535934238
25.4,50.8865281334,48.1448639128,41.4280581152
25.45,51.1215575113,48.0444231613,41.4110611951
25.5,51.4234239503,47.2917252537,41.8407127751
25.55,51.717549008,48.5656377638,42.1929330711
25.6,50.4660018403,48.740028879,42.3599150802
25.65,51.8658734212,46.9479235004,41.057595972
25.7,51.4390957557,48.4766396023,42.093285876
25.75,51.1177757437,47.9006597527,41.9900757729
25.8,51.533199842,47.7814557526,41.6870039916
25.85,53.1609264819,47.9193529146,41.9809163554
25.9,49.0457739375,48.132966557,42.3781741167
25.95,51.0343338703,48.3175089679,42.1296663447
26,51.1122286475,47.1657814957,42.2007257571
26.05,52.5797341218,47.5470316952,42.4650667704
26.1,51.448882025,49.1402551049,41.9753342568
26.15,50.7120282888,48.2912563192,42.0938904817
26.2,49.7894230827,47.6183173972,42.2763666023
26.25,53.4086176435,47.8473139385,41.2265965579
26.3,51.5702653112,48.3671214139,41.7498446655
26.35,53.1059547206,47.5766598463,41.8603650067
26.4,52.2467974578,48.2109783563,41.8197816593
26.45,51.6227737296,48.0771636571,41.8979107842
26.5,51.2248302864,48.5458440849,41.8805344039
26.55,50.5660276408,48.3479731245,41.7209964678
26.6,49.2302316551,47.7286986027,42.0211073806
26.65,49.7855968393,47.8165451073,42.2345395292
26.7,51.2624898275,48.1977112918,41.6568304723
26.75,50.938757866,47.4016432613,41.9213446698
26.8,50.9115226181,48.1911885339,42.0513418156
26.85,50.9036551917,47.8174747173,42.3185403558
26.9,50.2506811003,47.6555712371,42.0689073095
26.95,48.7970085174,47.1938639491,42.4700765736
27,52.7658492353,48.0411012405,41.3159798287
27.05,51.3478058337,48.0655405826,42.2156582094
27.1,48.9969813301,47.9802684379,42.1802301391
27.15,52.6781158039,47.7844151636,42.3241775405
27.2,52.269855275,48.3622916704,41.8321759275
27.25,50.146588416,47.893752355,42.2136000555
27.3,51.4894037352,48.2210181933,42.6479152954
27.35,51.1582201363,47.543250356,41.5964911301
27.4,51.5354447319,47.9788439797,42.7314687082
27.45,50.5463609182,48.4277819438,42.2079532321
27.5,53.2339711523,48.0256975089,41.9526396523
27.55,51.629456457,47.7065932371,42.4462081723
27.6,50.1719664641,49.2679262176,41.8786922967
27.65,52.1038575353,48.3733011469,42.0028755959
27.7,50.1086832079,48.5783199332,41.7860716116
27.75,52.0836459207,47.7464956784,41.6861352497
27.8,51.986002905,47.9662528468,41.6460360548
27.85,53.8240962546,47.4431692888,41.7837883984
27.9,49.6604711508,48.7379892348,41.8492020312
27.95,51.4506419917,47.565119074,41.9280914512
28,49.2956974042,48.1634827516,41.4777932449
28.05,52.3474227571,48.2004949928,42.1634335052
28.1,51.1290799078,47.6839562492,42.0816711759
28.15,51.6243522192,47.1771475575,41.7512909492
28.2,50.2432715323,47.7104693928,42.2318182161
28.25,50.6448704497,47.1702482651,42.2786552291
28.3,50.4884170186,47.9961347505,41.8418536229
