angle_deg,pattern_1_dB,pattern_2_dB,pattern_3_dB
120.5,-3.500030637,-18,-16.63320681
121,-3.521500028,-18,-16.61759515
121.5,-3.54290992,-18,-16.59621819
122,-3.564258103,-18,-16.56897083
122.5,-3.585542361,-18,-16.53576689
123,-3.606760465,-18,-16.4965398
123.5,-3.627910182,-18,-16.45124318
124,-3.648989266,-18,-16.39985117
124.5,-3.669995467,-18,-16.34235867
125,-3.690926524,-18,-16.2787813
125.5,-3.711780171,-18,-16.20915527
126,-3.732554134,-18,-16.13353702
126.5,-3.753246132,-18,-16.05200265
127,-3.773853878,-18,-15.96464729
127.5,-3.794375079,-18,-15.87158423
128,-3.814807435,-18,-15.77294393
128.5,-3.835148643,-18,-15.66887293
129,-3.855396394,-18,-15.55953266
129.5,-3.875548374,-18,-15.44509814
130,-3.895602265,-18,-15.32575665
130.5,-3.915555746,-18,-15.20170634
131,-3.935406493,-18,-15.07315481
131.5,-3.955152176,-18,-14.94031769
132,-3.974790467,-18,-14.80341728
132.5,-3.994319032,-18,-14.66268111
133,-4.013735539,-18,-14.51834066
133.5,-4.033037652,-18,-14.37063006
134,-4.052223035,-18,-14.21978488
134.5,-4.071289353,-18,-14.06604099
135,-4.09023427,-18,-13.90963353
135.5,-4.109055452,-18,-13.46961837
136,-4.127750564,-18,-13.04615803
136.5,-4.146317275,-18,-12.63806188
137,-4.164753256,-18,-12.24427559
137.5,-4.183056178,-18,-11.86386122
138,-4.20122372,-18,-11.49598074
138.5,-4.219253561,-18,-11.13988242
139,-4.237143385,-18,-10.79488944
139.5,-4.254890883,-18,-10.46039035
140,-4.272493749,-18,-10.1358309
140.5,-4.289949684,-18,-9.82070726
141,-4.307256396,-18,-9.514560065
141.5,-4.324411598,-18,-9.216969413
142,-4.341413014,-18,-8.927550497
142.5,-4.358258373,-18,-8.645949845
143,-4.374945416,-18,-8.371842038
143.5,-4.39147189,-18,-8.104926856
144,-4.407835555,-18,-7.844926771
144.5,-4.424034179,-18,-7.591584745
145,-4.440065544,-18,-7.344662293
145.5,-4.455927441,-18,-7.103937762
146,-4.471617676,-18,-6.869204816
146.5,-4.487134066,-18,-6.640271073
147,-4.502474442,-18,-6.416956907
147.5,-4.517636651,-18,-6.199094361
148,-4.532618553,-18,-5.986526186
148.5,-4.547418023,-18,-5.779104968
149,-4.562032955,-18,-5.57669235
149.5,-4.576461256,-18,-5.379158322
150,-4.590700854,-18,-5.186380589
150.5,-4.604749692,-18,-4.998243989
151,-4.618605733,-18,-4.814639971
151.5,-4.632266959,-18,-4.635466121
152,-4.645731373,-18,-4.460625726
152.5,-4.658996997,-18,-4.29002738
153,-4.672061873,-18,-4.123584621
153.5,-4.684924069,-18,-3.961215607
154,-4.69758167,-18,-3.802842805
154.5,-4.710032789,-18,-3.648392721
155,-4.722275558,-18,-3.49779564
155.5,-4.734308138,-18,-3.350985397
156,-4.74612871,-18,-3.207899155
156.5,-4.757735484,-18,-3.068477212
157,-4.769126695,-18,-2.932662813
157.5,-4.780300604,-18,-2.800401983
158,-4.791255499,-18,-2.671643371
158.5,-4.801989697,-18,-2.5463381
159,-4.812501544,-18,-2.424439638
159.5,-4.822789412,-18,-2.30590367
160,-4.832851706,-18,-2.190687983
160.5,-4.842686858,-17.94226978,-2.078752359
161,-4.852293334,-17.82864718,-1.970058473
161.5,-4.861669628,-17.71928105,-1.864569803
162,-4.870814269,-17.61403878,-1.762251539
162.5,-4.879725814,-17.51279619,-1.663070507
163,-4.888402858,-17.41543689,-1.56699509
163.5,-4.896844024,-17.32185178,-1.473995159
164,-4.905047975,-17.23193849,-1.384042009
164.5,-4.913013402,-17.14560097,-1.297108295
165,-4.920739035,-17.06274903,-1.213167978
165.5,-4.928223637,-16.98329798,-1.132196268
166,-4.93546601,-16.90716826,-1.054169579
166.5,-4.942464988,-16.83428517,-0.9790654782
167,-4.949219445,-16.76457854,-0.9068626431
167.5,-4.95572829,-16.69798248,-0.8375408231
168,-4.961990472,-16.63443513,-0.7710807999
168.5,-4.968004974,-16.57387845,-0.7074643524
169,-4.97377082,-16.516258,-0.6466742235
169.5,-4.979287074,-16.46152278,-0.5886940893
170,-4.984552836,-16.40962502,-0.5335085302
170.5,-4.989567247,-16.36052007,-0.4811030042
171,-4.994329487,-16.31416622,-0.4314638219
171.5,-4.998838777,-16.27052458,-0.3845781231
172,-5.003094377,-16.22955895,-0.3404338553
172.5,-5.007095591,-16.19123576,-0.2990197539
173,-5.010841758,-16.15552387,-0.2603253236
173.5,-5.014332264,-16.12239458,-0.2243408212
174,-5.017566534,-16.0918215,-0.1910572401
174.5,-5.020544033,-16.06378046,-0.160466296
175,-5.023264272,-16.03824947,-0.1325604134
175.5,-5.0257268,-16.01520865,-0.1073327145
176,-5.02793121,-15.99464016,-0.08477700741
176.5,-5.029877138,-15.97652818,-0.06488777755
177,-5.031564261,-15.96085884,-0.04766017856
177.5,-5.0329923,-15.94762019,-0.03309002507
178,-5.034161019,-15.93680219,-0.02117378627
178.5,-5.035070224,-15.92839664,-0.0119085806
179,-5.035719764,-15.92239719,-0.005292171321
179.5,-5.03610953,-15.91879933,-0.001322963187
180,-5.03623946,-15.91760035,0
180.5,-5.03610953,-15.91879933,-0.001322963187
181,-5.035719764,-15.92239719,-0.005292171321
181.5,-5.035070224,-15.92839664,-0.0119085806
182,-5.034161019,-15.93680219,-0.02117378627
182.5,-5.0329923,-15.94762019,-0.03309002507
183,-5.031564261,-15.96085884,-0.04766017856
183.5,-5.029877138,-15.97652818,-0.06488777755
184,-5.02793121,-15.99464016,-0.08477700741
184.5,-5.0257268,-16.01520865,-0.1073327145
185,-5.023264272,-16.03824947,-0.1325604134
185.5,-5.020544033,-16.06378046,-0.160466296
186,-5.017566534,-16.0918215,-0.1910572401
186.5,-5.014332264,-16.12239458,-0.2243408212
187,-5.010841758,-16.15552387,-0.2603253236
187.5,-5.007095591,-16.19123576,-0.2990197539
188,-5.003094377,-16.22955895,-0.3404338553
188.5,-4.998838777,-16.27052458,-0.3845781231
189,-4.994329487,-16.31416622,-0.4314638219
189.5,-4.989567247,-16.36052007,-0.4811030042
190,-4.984552836,-16.40962502,-0.5335085302
190.5,-4.979287074,-16.46152278,-0.5886940893
191,-4.97377082,-16.516258,-0.6466742235
191.5,-4.968004974,-16.57387845,-0.7074643524
192,-4.961990472,-16.63443513,-0.7710807999
192.5,-4.95572829,-16.69798248,-0.8375408231
193,-4.949219445,-16.76457854,-0.9068626431
193.5,-4.942464988,-16.83428517,-0.9790654782
194,-4.93546601,-16.90716826,-1.054169579
194.5,-4.928223637,-16.98329798,-1.132196268
195,-4.920739035,-17.06274903,-1.213167978
195.5,-4.913013402,-17.14560097,-1.297108295
196,-4.905047975,-17.23193849,-1.384042009
196.5,-4.896844024,-17.32185178,-1.473995159
197,-4.888402858,-17.41543689,-1.56699509
197.5,-4.879725814,-17.51279619,-1.663070507
198,-4.870814269,-17.61403878,-1.762251539
198.5,-4.861669628,-17.71928105,-1.864569803
199,-4.852293334,-17.82864718,-1.970058473
199.5,-4.842686858,-17.94226978,-2.078752359
200,-4.832851706,-18,-2.190687983
200.5,-4.822789412,-18,-2.30590367
201,-4.812501544,-18,-2.424439638
201.5,-4.801989697,-18,-2.5463381
202,-4.791255499,-18,-2.671643371
202.5,-4.780300604,-18,-2.800401983
203,-4.769126695,-18,-2.932662813
203.5,-4.757735484,-18,-3.068477212
204,-4.74612871,-18,-3.207899155
204.5,-4.734308138,-18,-3.350985397
205,-4.722275558,-18,-3.49779564
205.5,-4.710032789,-18,-3.648392721
206,-4.69758167,-18,-3.802842805
206.5,-4.684924069,-18,-3.961215607
207,-4.672061873,-18,-4.123584621
207.5,-4.658996997,-18,-4.29002738
208,-4.645731373,-18,-4.460625726
208.5,-4.632266959,-18,-4.635466121
209,-4.618605733,-18,-4.814639971
209.5,-4.604749692,-18,-4.998243989
210,-4.590700854,-18,-5.186380589
210.5,-4.576461256,-18,-5.379158322
211,-4.562032955,-18,-5.57669235
211.5,-4.547418023,-18,-5.779104968
212,-4.532618553,-18,-5.986526186
212.5,-4.517636651,-18,-6.199094361
213,-4.502474442,-18,-6.416956907
213.5,-4.487134066,-18,-6.640271073
214,-4.471617676,-18,-6.869204816
214.5,-4.455927441,-18,-7.103937762
215,-4.440065544,-18,-7.344662293
215.5,-4.424034179,-18,-7.591584745
216,-4.407835555,-18,-7.844926771
216.5,-4.39147189,-18,-8.104926856
217,-4.374945416,-18,-8.371842038
217.5,-4.358258373,-18,-8.645949845
218,-4.341413014,-18,-8.927550497
218.5,-4.324411598,-18,-9.216969413
219,-4.307256396,-18,-9.514560065
219.5,-4.289949684,-18,-9.82070726
220,-4.272493749,-18,-10.1358309
220.5,-4.254890883,-18,-10.46039035
221,-4.237143385,-18,-10.79488944
221.5,-4.219253561,-18,-11.13988242
222,-4.20122372,-18,-11.49598074
222.5,-4.183056178,-18,-11.86386122
223,-4.164753256,-18,-12.24427559
223.5,-4.146317275,-18,-12.63806188
224,-4.127750564,-18,-13.04615803
224.5,-4.109055452,-18,-13.46961837
225,-4.09023427,-18,-13.90963353
225.5,-4.071289353,-18,-14.06604099
226,-4.052223035,-18,-14.21978488
226.5,-4.033037652,-18,-14.37063006
227,-4.013735539,-18,-14.51834066
227.5,-3.994319032,-18,-14.66268111
228,-3.974790467,-18,-14.80341728
228.5,-3.955152176,-18,-14.94031769
229,-3.935406493,-18,-15.07315481
229.5,-3.915555746,-18,-15.20170634
230,-3.895602265,-18,-15.32575665
230.5,-3.875548374,-18,-15.44509814
231,-3.855396394,-18,-15.55953266
231.5,-3.835148643,-18,-15.66887293
232,-3.814807435,-18,-15.77294393
232.5,-3.794375079,-18,-15.87158423
233,-3.773853878,-18,-15.96464729
233.5,-3.753246132,-18,-16.05200265
234,-3.732554134,-18,-16.13353702
234.5,-3.711780171,-18,-16.20915527
235,-3.690926524,-18,-16.2787813
235.5,-3.669995467,-18,-16.34235867
236,-3.648989266,-18,-16.39985117
236.5,-3.627910182,-18,-16.45124318
237,-3.606760465,-18,-16.4965398
237.5,-3.585542361,-18,-16.53576689
238,-3.564258103,-18,-16.56897083
238.5,-3.54290992,-18,-16.59621819
239,-3.521500028,-18,-16.61759515
239.5,-3.500030637,-18,-16.63320681
240,-3.478503946,-17.72113295,-16.64317633
240.5,-3.456922144,-17.43238074,-16.64764392
241,-3.43528741,-17.15155862,-16.64676575
241.5,-3.413601914,-16.87823357,-16.64071272
242,-3.391867814,-16.61200823,-16.62966917
242.5,-3.370087259,-16.35251712,-16.61383154
243,-3.348262385,-16.09942328,-16.59340697
243.5,-3.326395318,-15.85241538,-16.56861186
244,-3.304488173,-15.61120517,-16.53967051
244.5,-3.282543053,-15.37552527,-16.50681364
245,-3.260562049,-15.14512717,-16.47027709
245.5,-3.23854724,-14.91977948,-16.43030042
246,-3.216500694,-14.69926643,-16.3871257
246.5,-3.194424464,-14.48338647,-16.34099624
247,-3.172320594,-14.271951,-16.2921555
247.5,-3.150191113,-14.06478335,-16.24084601
248,-3.128038037,-13.86171775,-16.18730841
248.5,-3.105863372,-13.66259845,-16.13178054
249,-3.083669108,-13.46727892,-16.07449668
249.5,-3.061457222,-13.27562117,-16.01568681
250,-3.039229679,-13.08749503,-15.95557601
250.5,-3.016988431,-12.90277765,-15.89438389
251,-2.994735413,-12.72135286,-15.83232418
251.5,-2.972472551,-12.5431108,-15.76960429
252,-2.950201754,-12.36794738,-15.70642505
252.5,-2.927924918,-12.19576391,-15.64298042
253,-2.905643926,-12.02646677,-15.57945735
253.5,-2.883360646,-11.859967,-15.51603562
254,-2.861076931,-11.69618004,-15.45288777
254.5,-2.838794622,-11.53502543,-15.3901791
255,-2.816515545,-11.37642654,-15.32806763
255.5,-2.79424151,-11.22031033,-15.26670417
256,-2.771974315,-11.06660717,-15.20623242
256.5,-2.749715742,-10.91525054,-15.14678901
257,-2.72746756,-10.76617694,-15.08850369
257.5,-2.705231522,-10.61932565,-15.03149942
258,-2.683009367,-10.4746386,-14.97589256
258.5,-2.66080282,-10.3320602,-14.92179302
259,-2.638613591,-10.19153719,-14.86930442
259.5,-2.616443375,-10.05301855,-14.81852433
260,-2.594293853,-9.916455337,-14.76954439
260.5,-2.572166692,-9.781800588,-14.72245053
261,-2.550063542,-9.649009214,-14.67732314
261.5,-2.52798604,-9.518037901,-14.63423727
262,-2.505935808,-9.388845014,-14.59326279
262.5,-2.483914455,-9.261390516,-14.55446459
263,-2.461923573,-9.135635881,-14.51790272
263.5,-2.43996474,-9.011544024,-14.48363257
264,-2.418039519,-8.889079224,-14.45170501
264.5,-2.39614946,-8.768207063,-14.42216655
265,-2.374296097,-8.648894359,-14.39505946
265.5,-2.35248095,-8.531109111,-14.37042191
266,-2.330705524,-8.414820437,-14.34828806
266.5,-2.308971311,-8.299998531,-14.32868822
267,-2.287279785,-8.186614606,-14.31164888
267.5,-2.26563241,-8.07464085,-14.29719283
268,-2.244030632,-7.964050384,-14.28533925
268.5,-2.222475885,-7.85481722,-14.27610373
269,-2.200969588,-7.746916218,-14.26949833
269.5,-2.179513145,-7.640323057,-14.26553166
270,-2.158107946,-7.535014192,-14.26420887
270.5,-2.136755368,-7.430966826,-14.26553166
271,-2.115456772,-7.328158878,-14.26949833
271.5,-2.094213507,-7.22656895,-14.27610373
272,-2.073026907,-7.126176304,-14.28533925
272.5,-2.051898291,-7.026960831,-14.29719283
273,-2.030828965,-6.928903028,-14.31164888
273.5,-2.009820223,-6.831983974,-14.32868822
274,-1.988873342,-6.736185306,-14.34828806
274.5,-1.967989588,-6.641489198,-14.37042191
275,-1.947170211,-6.547878339,-14.39505946
275.5,-1.92641645,-6.455335916,-14.42216655
276,-1.905729529,-6.363845592,-14.45170501
276.5,-1.885110658,-6.273391492,-14.48363257
277,-1.864561034,-6.183958182,-14.51790272
277.5,-1.844081844,-6.095530655,-14.55446459
278,-1.823674256,-6.008094315,-14.59326279
278.5,-1.80333943,-5.921634964,-14.63423727
279,-1.78307851,-5.836138785,-14.67732314
279.5,-1.762892629,-5.751592328,-14.72245053
280,-1.742782905,-5.667982502,-14.76954439
280.5,-1.722750446,-5.585296557,-14.81852433
281,-1.702796343,-5.503522078,-14.86930442
281.5,-1.68292168,-5.422646966,-14.92179302
282,-1.663127525,-5.342659437,-14.97589256
282.5,-1.643414933,-5.263548002,-15.03149942
283,-1.623784948,-5.185301464,-15.08850369
283.5,-1.604238603,-5.107908905,-15.14678901
284,-1.584776916,-5.03135968,-15.20623242
284.5,-1.565400895,-4.955643403,-15.26670417
285,-1.546111536,-4.880749944,-15.32806763
285.5,-1.526909821,-4.806669419,-15.3901791
286,-1.507796723,-4.733392182,-15.45288777
286.5,-1.4887732,-4.660908817,-15.51603562
287,-1.469840203,-4.589210133,-15.57945735
287.5,-1.450998667,-4.518287155,-15.64298042
288,-1.432249517,-4.448131119,-15.70642505
288.5,-1.413593668,-4.378733465,-15.76960429
289,-1.395032022,-4.31008583,-15.83232418
289.5,-1.376565472,-4.242180043,-15.89438389
290,-1.358194896,-4.175008122,-15.95557601
290.5,-1.339921165,-4.108562265,-16.01568681
291,-1.321745138,-4.042834843,-16.07449668
291.5,-1.303667662,-3.977818402,-16.13178054
292,-1.285689573,-3.913505653,-16.18730841
292.5,-1.2678117,-3.849889466,-16.24084601
293,-1.250034856,-3.786962872,-16.2921555
293.5,-1.232359849,-3.724719051,-16.34099624
294,-1.214787472,-3.663151333,-16.3871257
294.5,-1.197318512,-3.602253194,-16.43030042
295,-1.179953742,-3.542018247,-16.47027709
295.5,-1.162693927,-3.482440244,-16.50681364
296,-1.145539821,-3.423513071,-16.53967051
296.5,-1.128492171,-3.365230741,-16.56861186
297,-1.11155171,-3.307587397,-16.59340697
297.5,-1.094719163,-3.250577302,-16.61383154
298,-1.077995247,-3.194194839,-16.62966917
