frequency_Hz,conceptual_difference_normalized
2016.9087,0.28386300
2041.1935,0.27575285
2065.7708,0.26750071
2090.6440,0.25911736
2115.8167,0.25061332
2141.2925,0.24199881
2167.0750,0.23328373
2193.1680,0.22447762
2219.5752,0.21558962
2246.3003,0.20662845
2273.3472,0.19760241
2300.7197,0.18851934
2328.4219,0.17938666
2356.4576,0.17021132
2384.8308,0.16099983
2413.5457,0.15175829
2442.6063,0.14249239
2472.0169,0.13320744
2501.7816,0.12390841
2531.9046,0.11459997
2562.3904,0.10528655
2593.2432,0.09597235
2624.4675,0.08666144
2656.0678,0.07735782
2688.0485,0.06806543
2720.4144,0.05878829
2753.1699,0.04953053
2786.3198,0.04029647
2819.8689,0.03109069
2853.8219,0.02191809
2888.1838,0.01278399
2922.9594,0.00369417
2958.1537,-0.00534508
2993.7717,-0.01432687
3029.8187,-0.02324368
3066.2996,-0.03208731
3103.2198,-0.04084885
3140.5846,-0.04951867
3178.3993,-0.05808635
3216.6692,-0.06654076
3255.4000,-0.07486999
3294.5971,-0.08306141
3334.2661,-0.09110169
3374.4128,-0.09897685
3415.0429,-0.10667230
3456.1622,-0.11417294
3497.7767,-0.12146320
3539.8921,-0.12852716
3582.5147,-0.13534865
3625.6505,-0.14191134
3669.3056,-0.14819890
3713.4864,-0.15419507
3758.1992,-0.15988386
3803.4503,-0.16524963
3849.2463,-0.17027727
3895.5937,-0.17495232
3942.4991,-0.17926112
3989.9693,-0.18319093
4038.0111,-0.18673011
4086.6314,-0.18986820
4135.8370,-0.19259607
4185.6352,-0.19490599
4236.0329,-0.19679180
4287.0375,-0.19824893
4338.6561,-0.19927452
4390.8963,-0.19986744
4443.7655,-0.20002837
4497.2713,-0.19975981
4551.4214,-0.19906607
4606.2234,-0.19795332
4661.6853,-0.19642951
4717.8150,-0.19450435
4774.6205,-0.19218926
4832.1100,-0.18949729
4890.2917,-0.18644303
4949.1739,-0.18304251
5008.7651,-0.17931311
5069.0739,-0.17527339
5130.1088,-0.17094299
5191.8786,-0.16634246
5254.3921,-0.16149316
5317.6584,-0.15641704
5381.6864,-0.15113654
5446.4854,-0.14567439
5512.0645,-0.14005350
5578.4333,-0.13429676
5645.6012,-0.12842692
5713.5779,-0.12246643
5782.3730,-0.11643732
5851.9965,-0.11036104
5922.4583,-0.10425838
5993.7685,-0.09814933
6065.9373,-0.09205301
6138.9751,-0.08598756
6212.8923,-0.07997006
6287.6995,-0.07401650
6363.4074,-0.06814172
6440.0269,-0.06235935
6517.5690,-0.05668182
6596.0447,-0.05112033
6675.4653,-0.04568485
6755.8422,-0.04038413
6837.1869,-0.03522572
6919.5110,-0.03021601
7002.8263,-0.02536025
7087.1448,-0.02066262
7172.4786,-0.01612625
7258.8399,-0.01175330
7346.2409,-0.00754501
7434.6944,-0.00350179
7524.2129,0.00037677
7614.8092,0.00409177
7706.4964,0.00764494
7799.2876,0.01103861
7893.1960,0.01427561
7988.2351,0.01735919
8084.4186,0.02029298
8181.7602,0.02308093
8280.2738,0.02572722
8379.9736,0.02823622
8480.8739,0.03061246
8582.9891,0.03286053
8686.3337,0.03498509
8790.9228,0.03699079
8896.7711,0.03888224
9003.8940,0.04066400
9112.3066,0.04234053
9222.0246,0.04391617
9333.0637,0.04539511
9445.4398,0.04678141
9559.1689,0.04807893
9674.2675,0.04929139
9790.7518,0.05042229
9908.6388,0.05147495
10027.9451,0.05245251
10148.6880,0.05335789
10270.8847,0.05419384
10394.5528,0.05496293
10519.7099,0.05566753
10646.3739,0.05630984
10774.5631,0.05689190
10904.2957,0.05741558
11035.5904,0.05788262
11168.4660,0.05829459
11302.9415,0.05865294
11439.0362,0.05895901
11576.7695,0.05921401
11716.1612,0.05941907
11857.2313,0.05957518
12000.0000,0.05968331
