time_s,level_relative_dB,shown
0.218,-21.8,1
0.22,-22,1
0.222,-22.2,1
0.224,-22.4,1
0.226,-22.6,1
0.228,-22.8,1
0.23,-23,1
0.232,-23.2,1
0.234,-23.4,1
0.236,-23.6,1
0.238,-23.8,1
0.24,-24,1
0.242,-24.2,1
0.244,-24.4,1
0.246,-24.6,1
0.248,-24.8,1
0.25,-25,1
0.252,-25.2,1
0.254,-25.4,1
0.256,-25.6,1
0.258,-25.8,1
0.26,-26,1
0.262,-26.2,1
0.264,-26.4,1
0.266,-26.6,1
0.268,-26.8,1
0.27,-27,1
0.272,-27.2,1
0.274,-27.4,1
0.276,-27.6,1
0.278,-27.8,1
0.28,-28,1
0.282,-28.2,1
0.284,-28.4,1
0.286,-28.6,1
0.288,-28.8,1
0.29,-29,1
0.292,-29.2,1
0.294,-29.4,1
0.296,-29.6,1
0.298,-29.8,1
0.3,-30,1
0.302,-30.2,1
0.304,-30.4,1
0.306,-30.6,1
0.308,-30.8,1
0.31,-31,1
0.312,-31.2,1
0.314,-31.4,1
0.316,-31.6,1
0.318,-31.8,1
0.32,-32,1
0.322,-32.2,1
0.324,-32.4,1
0.326,-32.6,1
0.328,-32.8,1
0.33,-33,1
0.332,-33.2,1
0.334,-33.4,1
0.336,-33.6,1
0.338,-33.8,1
0.34,-34,1
0.342,-34.2,1
0.344,-34.4,1
0.346,-34.6,1
0.348,-34.8,1
0.35,-35,1
0.352,-35.2,1
0.354,-35.4,1
0.356,-35.6,1
0.358,-35.8,1
0.36,-36,1
0.362,-36.2,1
0.364,-36.4,1
0.366,-36.6,1
0.368,-36.8,1
0.37,-37,1
0.372,-37.2,1
0.374,-37.4,1
0.376,-37.6,1
0.378,-37.8,1
0.38,-38,1
0.382,-38.2,1
0.384,-38.4,1
0.386,-38.6,1
0.388,-38.8,1
0.39,-39,1
0.392,-39.2,1
0.394,-39.4,1
0.396,-39.6,1
0.398,-39.8,1
0.4,-40,1
0.402,-40.2,1
0.404,-40.4,1
0.406,-40.6,1
0.408,-40.8,1
0.41,-41,1
0.412,-41.2,1
0.414,-41.4,1
0.416,-41.6,1
0.418,-41.8,1
0.42,-42,1
0.422,-42.2,1
0.424,-42.4,1
0.426,-42.6,1
0.428,-42.8,1
0.43,-43,1
0.432,-43.2,1
0.434,-43.4,1
0.436,-43.6,1
0.438,-43.8,1
0.44,-44,1
0.442,-44.2,1
0.444,-44.4,1
0.446,-44.6,1
0.448,-44.8,1
0.45,-45,1
0.452,-45.2,1
0.454,-45.4,1
0.456,-45.6,1
0.458,-45.8,1
0.46,-46,1
0.462,-46.2,1
0.464,-46.4,1
0.466,-46.6,1
0.468,-46.8,1
0.47,-47,1
0.472,-47.2,1
0.474,-47.4,1
0.476,-47.6,1
0.478,-47.8,1
0.48,-48,1
0.482,-48.2,1
0.484,-48.4,1
0.486,-48.6,1
0.488,-48.8,1
0.49,-49,1
0.492,-49.2,1
0.494,-49.4,1
0.496,-49.6,1
0.498,-49.8,1
0.5,-50,1
0.502,-50.2,1
0.504,-50.4,1
0.506,-50.6,1
0.508,-50.8,1
0.51,-51,1
0.512,-51.2,1
0.514,-51.4,1
0.516,-51.6,1
0.518,-51.8,1
0.52,-52,1
0.522,-52.2,1
0.524,-52.4,1
0.526,-52.6,1
0.528,-52.8,1
0.53,-53,1
0.532,-53.2,1
0.534,-53.4,1
0.536,-53.6,1
0.538,-53.8,1
0.54,-54,1
0.542,-54.2,1
0.544,-54.4,1
0.546,-54.6,1
0.548,-54.8,1
0.55,-55,1
0.552,-55.2,1
0.554,-55.4,1
0.556,-55.6,1
0.558,-55.8,1
0.56,-56,1
0.562,-56.2,1
0.564,-56.4,1
0.566,-56.6,1
0.568,-56.8,1
0.57,-57,1
0.572,-57.2,1
0.574,-57.4,1
0.576,-57.6,1
0.578,-57.8,1
0.58,-58,1
0.582,-58.2,1
0.584,-58.4,1
0.586,-58.6,1
0.588,-58.8,1
0.59,-59,1
0.592,-59.2,1
0.594,-59.4,1
0.596,-59.6,1
0.598,-59.8,1
0.6,-60,1
0.602,-60.2,1
0.604,-60.4,1
0.606,-60.6,1
0.608,-60.8,1
0.61,-61,1
0.612,-61.2,1
0.614,-61.4,1
0.616,-61.6,1
0.618,-61.8,1
0.62,-62,1
0.622,-62.2,1
0.624,-62.4,1
0.626,-62.6,1
0.628,-62.8,1
0.63,-63,1
0.632,-63.2,1
0.634,-63.4,1
0.636,-63.6,1
0.638,-63.8,1
0.64,-64,1
0.642,-64.2,1
0.644,-64.4,1
0.646,-64.6,1
0.648,-64.8,1
0.65,-65,1
0.652,-65.2,1
0.654,-65.4,1
0.656,-65.6,1
0.658,-65.8,1
0.66,-66,1
0.662,-66.2,1
0.664,-66.4,1
0.666,-66.6,1
0.668,-66.8,1
0.67,-67,1
0.672,-67.2,1
0.674,-67.4,1
0.676,-67.6,1
0.678,-67.8,1
0.68,-68,1
0.682,-68.2,1
0.684,-68.4,1
0.686,-68.6,1
0.688,-68.8,1
0.69,-69,1
0.692,-69.2,1
0.694,-69.4,1
0.696,-69.6,1
0.698,-69.8,1
0.7,-70,1
0.702,-70.2,0
0.704,-70.4,0
0.706,-70.6,0
0.708,-70.8,0
0.71,-71,0
0.712,-71.2,0
0.714,-71.4,0
0.716,-71.6,0
0.718,-71.8,0
0.72,-72,0
0.722,-72.2,0
0.724,-72.4,0
0.726,-72.6,0
0.728,-72.8,0
0.73,-73,0
0.732,-73.2,0
0.734,-73.4,0
0.736,-73.6,0
0.738,-73.8,0
0.74,-74,0
0.742,-74.2,0
0.744,-74.4,0
0.746,-74.6,0
0.748,-74.8,0
0.75,-75,0
0.752,-75.2,0
0.754,-75.4,0
0.756,-75.6,0
0.758,-75.8,0
0.76,-76,0
0.762,-76.2,0
0.764,-76.4,0
0.766,-76.6,0
0.768,-76.8,0
0.77,-77,0
0.772,-77.2,0
0.774,-77.4,0
0.776,-77.6,0
0.778,-77.8,0
0.78,-78,0
0.782,-78.2,0
0.784,-78.4,0
0.786,-78.6,0
0.788,-78.8,0
0.79,-79,0
0.792,-79.2,0
0.794,-79.4,0
0.796,-79.6,0
0.798,-79.8,0
0.8,-80,0
0.802,-80.2,0
0.804,-80.4,0
0.806,-80.6,0
0.808,-80.8,0
0.81,-81,0
0.812,-81.2,0
0.814,-81.4,0
0.816,-81.6,0
0.818,-81.8,0
0.82,-82,0
0.822,-82.2,0
0.824,-82.4,0
0.826,-82.6,0
0.828,-82.8,0
0.83,-83,0
0.832,-83.2,0
0.834,-83.4,0
0.836,-83.6,0
0.838,-83.8,0
0.84,-84,0
0.842,-84.2,0
0.844,-84.4,0
0.846,-84.6,0
0.848,-84.8,0
0.85,-85,0
0.852,-85.2,0
0.854,-85.4,0
0.856,-85.6,0
0.858,-85.8,0
0.86,-86,0
0.862,-86.2,0
0.864,-86.4,0
0.866,-86.6,0
0.868,-86.8,0
0.87,-87,0
0.872,-87.2,0
0.874,-87.4,0
0.876,-87.6,0
0.878,-87.8,0
0.88,-88,0
0.882,-88.2,0
0.884,-88.4,0
0.886,-88.6,0
0.888,-88.8,0
0.89,-89,0
0.892,-89.2,0
0.894,-89.4,0
0.896,-89.6,0
0.898,-89.8,0
0.9,-90,0
0.902,-90.2,0
0.904,-90.4,0
0.906,-90.6,0
0.908,-90.8,0
0.91,-91,0
0.912,-91.2,0
0.914,-91.4,0
0.916,-91.6,0
0.918,-91.8,0
0.92,-92,0
0.922,-92.2,0
0.924,-92.4,0
0.926,-92.6,0
0.928,-92.8,0
0.93,-93,0
0.932,-93.2,0
0.934,-93.4,0
0.936,-93.6,0
0.938,-93.8,0
0.94,-94,0
0.942,-94.2,0
0.944,-94.4,0
0.946,-94.6,0
0.948,-94.8,0
0.95,-95,0
0.952,-95.2,0
0.954,-95.4,0
0.956,-95.6,0
0.958,-95.8,0
0.96,-96,0
0.962,-96.2,0
0.964,-96.4,0
0.966,-96.6,0
0.968,-96.8,0
0.97,-97,0
0.972,-97.2,0
0.974,-97.4,0
0.976,-97.6,0
0.978,-97.8,0
0.98,-98,0
0.982,-98.2,0
0.984,-98.4,0
0.986,-98.6,0
0.988,-98.8,0
0.99,-99,0
0.992,-99.2,0
0.994,-99.4,0
0.996,-99.6,0
0.998,-99.8,0
1,-100,0
1.002,-100.2,0
1.004,-100.4,0
1.006,-100.6,0
1.008,-100.8,0
1.01,-101,0
1.012,-101.2,0
1.014,-101.4,0
1.016,-101.6,0
1.018,-101.8,0
1.02,-102,0
1.022,-102.2,0
1.024,-102.4,0
1.026,-102.6,0
1.028,-102.8,0
1.03,-103,0
1.032,-103.2,0
1.034,-103.4,0
1.036,-103.6,0
1.038,-103.8,0
1.04,-104,0
1.042,-104.2,0
1.044,-104.4,0
1.046,-104.6,0
1.048,-104.8,0
1.05,-105,0
1.052,-105.2,0
1.054,-105.4,0
1.056,-105.6,0
1.058,-105.8,0
1.06,-106,0
1.062,-106.2,0
1.064,-106.4,0
1.066,-106.6,0
1.068,-106.8,0
1.07,-107,0
1.072,-107.2,0
1.074,-107.4,0
1.076,-107.6,0
1.078,-107.8,0
1.08,-108,0
1.082,-108.2,0
1.084,-108.4,0
1.086,-108.6,0
1.088,-108.8,0
1.09,-109,0
1.092,-109.2,0
1.094,-109.4,0
1.096,-109.6,0
1.098,-109.8,0
1.1,-110,0
1.102,-110.2,0
1.104,-110.4,0
1.106,-110.6,0
1.108,-110.8,0
1.11,-111,0
1.112,-111.2,0
1.114,-111.4,0
1.116,-111.6,0
1.118,-111.8,0
1.12,-112,0
1.122,-112.2,0
1.124,-112.4,0
1.126,-112.6,0
1.128,-112.8,0
1.13,-113,0
1.132,-113.2,0
1.134,-113.4,0
1.136,-113.6,0
1.138,-113.8,0
1.14,-114,0
1.142,-114.2,0
1.144,-114.4,0
1.146,-114.6,0
1.148,-114.8,0
1.15,-115,0
1.152,-115.2,0
1.154,-115.4,0
1.156,-115.6,0
1.158,-115.8,0
1.16,-116,0
1.162,-116.2,0
1.164,-116.4,0
1.166,-116.6,0
1.168,-116.8,0
1.17,-117,0
1.172,-117.2,0
1.174,-117.4,0
1.176,-117.6,0
1.178,-117.8,0
1.18,-118,0
1.182,-118.2,0
1.184,-118.4,0
1.186,-118.6,0
1.188,-118.8,0
1.19,-119,0
1.192,-119.2,0
1.194,-119.4,0
1.196,-119.6,0
1.198,-119.8,0
1.2,-120,0
